LOC,IslBryVas2,PlotBryVas2,IslBry2,PlotBry2,IslVas2,PlotVas2,DNSS,Age,AgeReg5km,Area,NND,NIB5,NIB10,NIB15,NIB20,NIB25,NIB30,AIB5,AIB10,AIB15,AIB20,AIB25,AIB30,pHadj,WTDmed
BHN,16,3,11,2,5,1,10,6748,12998,34165,494.02399,28,66,180,246,282,303,136966.06,250724.86,787479.72,1067126.63,1132109.99,1174084.02,5.71,8
CHV,34,11,19,6,15,5,10,11464,11563,25417,44.18775,31,89,117,152,239,290,90589.64,291732.67,441175.53,542655.9,971970.8,1084446.01,5.84,6.5
KLS,34,5,18,2,16,3,10,6234,6234,8011,63.17605,51,91,144,224,295,385,287173.16,427278.52,544001.23,896363.82,1190604.17,1556282.04,5.87,4.5
LCL,18,5,12,2,6,3,10,3662,4393,9422,3108.08248,11,73,178,264,306,341,18879.2,358823.41,730643.43,1042834.38,1177613.56,1319246.36,6.32,8
LVJ,21,11,11,6,10,5,10,11243,12998,6977,101.48597,32,84,204,254,288,319,142659.49,336422.26,952949.98,1078746.69,1141889.03,1239763.89,6.28,9
OKL,35,11,21,7,14,4,10,2227,11563,27549,586.33453,31,86,118,159,242,296,91323.52,276169.91,441749.64,556419.65,975442.04,1104397.28,6.63,6
RTR,24,7,13,4,11,3,10,1855,11243,4075,81.10573,5,82,171,234,266,299,15330.57,335825.12,837235.43,1031242.49,1111284.88,1163508.88,6.8,8.5
SFR,14,3,10,2,4,1,10,3614,3614,7716,40.57688,8,48,130,213,270,303,11576.04,147883.48,430403.19,809171.88,1039644.08,1155726.24,5.63,7
VLS,33,7,15,3,18,4,10,662,6234,28025,195.40039,50,93,151,219,300,393,298081.52,436682.44,542393.15,867358.92,1184574.04,1589496.03,6.43,0
HVZ,28,4,15,2,13,2,800,925,13469,3712,265.69081,34,62,113,151,185,256,149548.94,569486.55,751663.59,816521.1,903344.13,1185350.57,5.34,9.5
NSV,25,7,14,4,11,3,1000,11563,11563,3504,18.59112,27,88,118,157,242,295,89651.14,288816.57,441799.46,558113.78,974780,1095848.3,6.77,1.5
ZMB,24,12,11,6,13,6,1000,874,874,1032,127.62167,19,41,56,96,164,260,88754.29,119578.48,126983.58,330456.85,693476.47,1195703.48,6.33,3.5
ZMK,12,5,7,3,5,2,1000,109,874,2543,138.88219,19,41,56,96,164,262,89120.13,118195.63,126983.58,331052.47,689228.27,1196853.55,4.77,24.25
HLN,20,4,10,2,10,2,1600,13469,13469,2445,51.51345,31,60,94,148,183,256,147663.32,562224.35,689415.22,800805.66,911798,1191387.83,3.4,3
BZN,26,6,14,2,12,4,2300,11289,11997,12070,1975.16813,5,72,129,194,263,345,13936.39,333514.71,568130.54,735966.02,1071305,1382788.02,6.77,5.5
ZHJ,19,4,12,2,7,2,3000,6080,6234,76109,107.57799,59,93,145,207,313,394,346238.17,414711.36,534483.29,890662.42,1273601.96,1601714.82,5.67,9.5
PKV,22,4,13,2,9,2,3100,4393,13898,14680,209.16359,29,88,183,266,330,343,198217.91,409904.24,799705.61,1065428.17,1291507.81,1314496.66,4.85,10
NVS,18,9,9,6,9,3,3900,11747,12998,11538,42.92235,41,118,213,265,305,331,220750.54,594045.04,986404.57,1101205.87,1194575.93,1289037.8,6.16,10
SVD,18,4,10,2,8,2,4200,185,185,1305,13.7619,16,52,143,215,296,370,75902.9,193221.83,472227.57,782479.83,1447240.11,1798163.95,4.52,0
ZLM,26,9,15,4,11,5,4200,2351,13419,7783,278.53105,42,120,210,267,306,336,211889.1,595329.17,943245.78,1101536.77,1196452.81,1300335.88,6.12,5
BBN,12,4,7,2,5,2,5300,8318,8318,41277,383.40223,15,56,118,214,283,328,19340.22,153472.93,517974.43,834067.95,1065635.15,1218350.5,5.05,8.5
KCD,21,7,13,4,8,3,5700,13419,13918,6700,29.97715,22,141,195,273,310,335,72716.26,680214.32,829509.79,1081127.11,1230339.27,1305492.16,6.18,10
BRK,7,3,5,2,2,1,6000,8627,8627,14286,784.34021,10,65,145,209,303,346,35848.05,197826.83,569495.5,817606.13,1180129.67,1380250.6,4.68,4
DVR,14,5,9,3,5,2,6500,60,60,28809,18.84628,5,43,69,150,212,267,64373.23,172777.53,346626.73,820192.41,1050727.44,1209746.05,4.07,6
VRJ,27,14,13,6,14,8,7000,1313,1313,2284,1112.65598,6,18,68,164,251,301,1761.57,59733.31,273757.78,637888.53,945143.56,1459267.84,6.56,1
KKL,18,7,11,4,7,3,11300,60,60,5816,39.91844,20,61,112,189,279,359,91194.04,327795.22,483962.66,764252.65,1200508.71,1518483.12,3.43,5.5
HRD,12,3,6,2,6,1,14300,1297,1297,14745,85.74556,9,56,166,259,347,436,35279.88,227635.4,783923.2,1088926.58,1340396.26,1758516.88,6.09,9
STR,9,6,4,4,5,2,15600,90,90,5271,11.30769,22,65,152,231,315,405,58224.64,266678.49,635574.14,975301.06,1399638.97,1733910.64,4.61,1
HRC,8,5,4,4,4,1,16700,90,90,1947,2407.51709,7,16,50,124,234,293,11209.51,38683.78,150448.67,391360.81,888697.37,1123476.19,5.19,3
PRZ,7,2,4,2,3,0,19700,5507,5507,5586,175.17131,9,21,28,59,111,143,17814.73,62287.05,72710.64,190402.63,362117.3,436468.8,5.69,2.5
