"Analysis","Variable","Importance","Response","Analysis_Type","Response_Var"
"IslBryVas2_full","WTDmed",1.44301063533224,"IslBryVas2","Full Model","IslBryVas2"
"IslBryVas2_full","NND",0.159729247439792,"IslBryVas2","Full Model","IslBryVas2"
"IslBryVas2_full","Age",0.227151327476602,"IslBryVas2","Full Model","IslBryVas2"
"IslBryVas2_full","DNSS",2.75526710577868,"IslBryVas2","Full Model","IslBryVas2"
"IslBryVas2_full","Area",1.10708050933067,"IslBryVas2","Full Model","IslBryVas2"
"IslBryVas2_full","pHadj",2.86736530380269,"IslBryVas2","Full Model","IslBryVas2"
"IslBryVas2_full","NIB5",3.55015262461299,"IslBryVas2","Full Model","IslBryVas2"
"PlotBryVas2_full","WTDmed",0.483969158539243,"PlotBryVas2","Full Model","PlotBryVas2"
"PlotBryVas2_full","NND",0.0931722212313848,"PlotBryVas2","Full Model","PlotBryVas2"
"PlotBryVas2_full","Age",0.604110665441296,"PlotBryVas2","Full Model","PlotBryVas2"
"PlotBryVas2_full","DNSS",0.111494133428267,"PlotBryVas2","Full Model","PlotBryVas2"
"PlotBryVas2_full","Area",1.44455104037645,"PlotBryVas2","Full Model","PlotBryVas2"
"PlotBryVas2_full","pHadj",2.73436072914991,"PlotBryVas2","Full Model","PlotBryVas2"
"PlotBryVas2_full","NIB5",1.38566786194317,"PlotBryVas2","Full Model","PlotBryVas2"
"IslBry2_full","WTDmed",0.511287210781388,"IslBry2","Full Model","IslBry2"
"IslBry2_full","NND",0.048366783249354,"IslBry2","Full Model","IslBry2"
"IslBry2_full","Age",0.0774125051702039,"IslBry2","Full Model","IslBry2"
"IslBry2_full","DNSS",2.33305328223549,"IslBry2","Full Model","IslBry2"
"IslBry2_full","Area",0.0579223172536,"IslBry2","Full Model","IslBry2"
"IslBry2_full","pHadj",1.59761082320704,"IslBry2","Full Model","IslBry2"
"IslBry2_full","NIB5",2.08564515131519,"IslBry2","Full Model","IslBry2"
"PlotBry2_full","WTDmed",0.0546931491991159,"PlotBry2","Full Model","PlotBry2"
"PlotBry2_full","NND",0.594425774378438,"PlotBry2","Full Model","PlotBry2"
"PlotBry2_full","Age",0.56407707480758,"PlotBry2","Full Model","PlotBry2"
"PlotBry2_full","DNSS",0.0342019836743555,"PlotBry2","Full Model","PlotBry2"
"PlotBry2_full","Area",0.807928326596119,"PlotBry2","Full Model","PlotBry2"
"PlotBry2_full","pHadj",1.80662022738412,"PlotBry2","Full Model","PlotBry2"
"PlotBry2_full","NIB5",0.788312931086988,"PlotBry2","Full Model","PlotBry2"
"IslVas2_full","WTDmed",1.56059970990426,"IslVas2","Full Model","IslVas2"
"IslVas2_full","NND",0.203981739656098,"IslVas2","Full Model","IslVas2"
"IslVas2_full","Age",0.399149100144103,"IslVas2","Full Model","IslVas2"
"IslVas2_full","DNSS",1.54686450112883,"IslVas2","Full Model","IslVas2"
"IslVas2_full","Area",1.58310601654841,"IslVas2","Full Model","IslVas2"
"IslVas2_full","pHadj",2.50229836867401,"IslVas2","Full Model","IslVas2"
"IslVas2_full","NIB5",2.98812283826775,"IslVas2","Full Model","IslVas2"
"PlotVas2_full","WTDmed",0.644364526385975,"PlotVas2","Full Model","PlotVas2"
"PlotVas2_full","NND",0.531789049775343,"PlotVas2","Full Model","PlotVas2"
"PlotVas2_full","Age",0.225909282622385,"PlotVas2","Full Model","PlotVas2"
"PlotVas2_full","DNSS",0.210738540189561,"PlotVas2","Full Model","PlotVas2"
"PlotVas2_full","Area",1.27970806689238,"PlotVas2","Full Model","PlotVas2"
"PlotVas2_full","pHadj",2.08172056508248,"PlotVas2","Full Model","PlotVas2"
"PlotVas2_full","NIB5",1.21926802846874,"PlotVas2","Full Model","PlotVas2"
"IslBryVas2_residual","WTDmed",0.113987508771921,"IslBryVas2","Residual Analysis","IslBryVas2"
"IslBryVas2_residual","NND",0.131189258903545,"IslBryVas2","Residual Analysis","IslBryVas2"
"IslBryVas2_residual","Age",0.0316837659048373,"IslBryVas2","Residual Analysis","IslBryVas2"
"IslBryVas2_residual","DNSS",0.125242193798668,"IslBryVas2","Residual Analysis","IslBryVas2"
"IslBryVas2_residual","Area",0.0138866495198513,"IslBryVas2","Residual Analysis","IslBryVas2"
"IslBryVas2_residual","NIB5",0.0325339226565753,"IslBryVas2","Residual Analysis","IslBryVas2"
"PlotBryVas2_residual","WTDmed",0.0764746206886872,"PlotBryVas2","Residual Analysis","PlotBryVas2"
"PlotBryVas2_residual","NND",0.145397158308382,"PlotBryVas2","Residual Analysis","PlotBryVas2"
"PlotBryVas2_residual","Age",0.0691998234879547,"PlotBryVas2","Residual Analysis","PlotBryVas2"
"PlotBryVas2_residual","DNSS",0.0135482392338684,"PlotBryVas2","Residual Analysis","PlotBryVas2"
"PlotBryVas2_residual","Area",0.0830553205919584,"PlotBryVas2","Residual Analysis","PlotBryVas2"
"PlotBryVas2_residual","NIB5",0.0330734582172065,"PlotBryVas2","Residual Analysis","PlotBryVas2"
"IslBry2_residual","WTDmed",0.0678101415177179,"IslBry2","Residual Analysis","IslBry2"
"IslBry2_residual","NND",0.0982693482119191,"IslBry2","Residual Analysis","IslBry2"
"IslBry2_residual","Age",0.0463863824811091,"IslBry2","Residual Analysis","IslBry2"
"IslBry2_residual","DNSS",0.1988752278048,"IslBry2","Residual Analysis","IslBry2"
"IslBry2_residual","Area",0.00538592477321548,"IslBry2","Residual Analysis","IslBry2"
"IslBry2_residual","NIB5",0.0240582272799602,"IslBry2","Residual Analysis","IslBry2"
"PlotBry2_residual","WTDmed",0.00648092068924016,"PlotBry2","Residual Analysis","PlotBry2"
"PlotBry2_residual","NND",0.105501705910171,"PlotBry2","Residual Analysis","PlotBry2"
"PlotBry2_residual","Age",0.0738400793924915,"PlotBry2","Residual Analysis","PlotBry2"
"PlotBry2_residual","DNSS",0.0609510492440752,"PlotBry2","Residual Analysis","PlotBry2"
"PlotBry2_residual","Area",0.00107421450796802,"PlotBry2","Residual Analysis","PlotBry2"
"PlotBry2_residual","NIB5",0.0314183269013165,"PlotBry2","Residual Analysis","PlotBry2"
"IslVas2_residual","WTDmed",0.180093195149771,"IslVas2","Residual Analysis","IslVas2"
"IslVas2_residual","NND",0.164589315313925,"IslVas2","Residual Analysis","IslVas2"
"IslVas2_residual","Age",0.0314987955145986,"IslVas2","Residual Analysis","IslVas2"
"IslVas2_residual","DNSS",0.012331010169603,"IslVas2","Residual Analysis","IslVas2"
"IslVas2_residual","Area",0.00718813006500532,"IslVas2","Residual Analysis","IslVas2"
"IslVas2_residual","NIB5",0.0251386006926254,"IslVas2","Residual Analysis","IslVas2"
"PlotVas2_residual","WTDmed",0.226812237130539,"PlotVas2","Residual Analysis","PlotVas2"
"PlotVas2_residual","NND",0.25583355936632,"PlotVas2","Residual Analysis","PlotVas2"
"PlotVas2_residual","Age",0.116263954366755,"PlotVas2","Residual Analysis","PlotVas2"
"PlotVas2_residual","DNSS",0.10839410126987,"PlotVas2","Residual Analysis","PlotVas2"
"PlotVas2_residual","Area",0.176314576466263,"PlotVas2","Residual Analysis","PlotVas2"
"PlotVas2_residual","NIB5",0.145743943735119,"PlotVas2","Residual Analysis","PlotVas2"
