"Response_Variable","Variable","Estimate","Std_Error","z_value","p_value","Significant"
"IslBryVas2","DNSS",-0.112106374208477,0.0455774585917078,-2.45968901453565,0.0139057452247235,TRUE
"IslBryVas2","pHadj",0.159427555427217,0.0501152730989675,3.18121693385526,0.00146657765337293,TRUE
"IslBryVas2","NIB5",0.211370432530907,0.0509808482447867,4.14607523821501,3.38222728935526e-05,TRUE
"IslBryVas2","pHadj:NIB5_std",-0.125941709981599,0.055215215264447,-2.28092400579108,0.022552944154726,TRUE
"PlotBryVas2","pHadj",0.24672125014084,0.0824315209515487,2.99304498197791,0.0027620903618018,TRUE
"IslBry2","DNSS",-0.19348909307918,0.0549849819540694,-3.51894437722663,0.000433267536318471,TRUE
"IslBry2","NIB5",0.123142736765127,0.0582309748074413,2.11472909688248,0.0344530429555973,TRUE
"IslVas2","pHadj",0.248713006119859,0.0695059748379974,3.57829678239248,0.000345840616451383,TRUE
"IslVas2","NIB5",0.292335608584807,0.0780664047567351,3.74470438975334,0.000180606298025318,TRUE
"IslVas2","pHadj:NIB5_std",-0.192525096692435,0.0875235669596197,-2.19969436096291,0.0278285871595981,TRUE
"PlotVas2","pHadj",0.32115951571194,0.126504791000502,2.5387142508355,0.0111260655144281,TRUE
