Species,Species_Name_Author,Specialization,Specialization_Words
Ceratophysella scotica ,"Carpenter & Evans, 1899",1,tyrfobionti
Neelides minutus ,"Folsom, 1901)",1,tyrfobionti
Anurida granaria ,"Nicolet, 1847",2,neustonicke_hygrofilni
Anurida tullbergi,"Schött, 1891",2,neustonicke_hygrofilni
Ceratophysella denticulata ,"Bagnall, 1941",2,neustonicke_hygrofilni
Desoria fennica ,"Reuter, 1895)",2,neustonicke_hygrofilni
Isotoma viridis,"Bourlet, 1839",2,neustonicke_hygrofilni
Isotomurus palustris ,"Müller, 1776)",2,neustonicke_hygrofilni
Isotomurus plumosus ,"Bagnall, 1940",2,neustonicke_hygrofilni
Pachyotoma crassicauda ,"Tullberg, 1871)",2,neustonicke_hygrofilni
Sminthurides malmgreni ,"Tullberg, 1876)",2,neustonicke_hygrofilni
Sminthurides schoetti ,"Axelson, 1903",2,neustonicke_hygrofilni
Tetracanthella fjellbergi,"Deharveng, 1987",2,neustonicke_hygrofilni
Anurida ellipsoides,"Stach, 1949",3,ostatni
Brachystomella parvula ,"Schäffer, 1896",3,ostatni
Desoria trispinata ,"MacGillivray, 1896)",3,ostatni
Desoria violacea ,"Tullberg, 1876)",3,ostatni
Deutonura albella ,"Stach, 1921)",3,ostatni
Deutonura conjuncta ,"Stach, 1926)",3,ostatni
Folsomia inoculata,"Stach, 1947",3,ostatni
Folsomia manolachei," Bagnall, 1939",3,ostatni
Folsomia penicula,"Bagnall, 1939",3,ostatni
Folsomia quadrioculata ,"Tullberg, 1871)",3,ostatni
Friesea truncata,"Cassagnau, 1958",3,ostatni
Heterosminthurus bilineatus ,"Bourlet, 1842)",3,ostatni
Chaetophorura simplex ,"Gisin, 1958)",3,ostatni
Isotomiella minor ,"Schäffer, 1896)",3,ostatni
Lepidocyrtus cyaneus ,"Tullberg, 1871",3,ostatni
Lepidocyrtus lanuginosus ,"Linnaeus, 1788)",3,ostatni
Lepidocyrtus lignorum ,"Fabricius, 1793)",3,ostatni
Megalothorax minimus," Willem, 1900",3,ostatni
Mesaphorura florae ,"Simón, Ruiz, Martinez & Lucianez, 1994",3,ostatni
Mesaphorura macrochaeta ,"Rusek, 1976",3,ostatni
Mesaphorura tenuisensillata ,"Rusek, 1974",3,ostatni
Mesaphorura yosiii ,"Rusek, 1967)",3,ostatni
Micranurida balta," Fjellberg, 1998",3,ostatni
Micranurida pygmaea ,"Börner, 1901",3,ostatni
Neanura muscorum ,"Templeton, 1836)",3,ostatni
Oligaphorura absoloni ,"Börner, 1901)",3,ostatni
Oligaphorura groenlandica ,"Tullberg, 1876)",3,ostatni
Parisotoma notabilis ,"Schäffer, 1896)",3,ostatni
Pogonognathellus flavescens ,"Tullberg, 1871)",3,ostatni
Proisotoma minima,"Absolon, 1901",3,ostatni
Protaphorura armata ,"Tullberg, 1869)",3,ostatni
Protaphorura aurantiaca ,"Ridley, 1880)",3,ostatni
Pseudachorutes laricis,"Arbea & Jordana, 1989",3,ostatni
Pseudisotoma sensibilis,"Tullberg, 1876",3,ostatni
Pseudosinella albida ,"Stach, 1930)",3,ostatni
Pygmarrhopalites pygmaeus ,"Wankel, 1860)",3,ostatni
Sminthurinus aureus ,"Lubbock, 1862)",3,ostatni
Sminthurinus signatus ,"Krausbauer, 1898)",3,ostatni
Sphaeridia furcata ,"Dunger & Bretfeld, 1989",3,ostatni
Sphaeridia pumilis ,"Krausbauer, 1898)",3,ostatni
Tetrodontophora bielanensis ,"Waga, 1842)",3,ostatni
Tomocerina minuta ,"Tullberg, 1876)",3,ostatni
Willemia anophthalma ,"Börner, 1901",3,ostatni
