Locality,Anurida ellipsoides,Anurida granaria,Anurida tullbergi,Brachystomella parvula,Ceratophysella denticulata,Ceratophysella scotica,Chaetophorura simplex,Desoria fennica,Desoria trispinata,Desoria violacea,Deutonura albella,Deutonura conjuncta,Folsomia inoculata,Folsomia manolachei,Folsomia penicula,Folsomia quadrioculata,Friesea truncata,Heterosminthurus bilineatus,Isotoma viridis,Isotomiella minor,Isotomurus palustris,Isotomurus plumosus,Lepidocyrtus cyaneus,Lepidocyrtus lanuginosus,Lepidocyrtus lignorum,Megalothorax minimus,Mesaphorura florae,Mesaphorura macrochaeta,Mesaphorura tenuisensillata,Mesaphorura yosiii,Micranurida balta,Micranurida pygmaea,Neanura muscorum,Neelides minutus,Oligaphorura absoloni,Oligaphorura groenlandica,Pachyotoma crassicauda,Parisotoma notabilis,Pogonognathellus flavescens,Proisotoma minima,Protaphorura armata,Protaphorura aurantiaca,Pseudachorutes laricis,Pseudisotoma sensibilis,Pseudosinella albida,Pygmarrhopalites pygmaeus,Sminthurides malmgreni,Sminthurides schoetti,Sminthurinus aureus,Sminthurinus signatus,Sphaeridia furcata,Sphaeridia pumilis,Tetracanthella fjellbergi,Tetrodontophora bielanensis,Tomocerina minuta,Willemia anophthalma
LCL_A,,,,,,1,,,,,1,,,,,1,2,,,,,,,,,2,,,,,,,,,,,,2,,,,,2,,,1,,4,,,,,,,,
LCL_B,,,,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
BHN_A,,,,,1,,,1,,,,,,,,,3,1,9,1,,,2,,,,,,,,,,,1,,,,2,,,,,1,,,,2,2,,,2,,,,,
BHN_B,,,,,6,,,,,,,,,,,,,1,5,5,8,,1,,5,,,,,,,,,,,,,15,,,,,1,,,,1,3,,,,13,,,,
ZLM_A,,,,,2,,,,,,,,,,,,3,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,
ZLM_B,,,,,,,,,,2,,,,,,6,1,,,2,2,,,6,,,,,,,,,1,,,,,9,1,,1,,,,,,,1,,,,5,,,,
LVJ_A,,,,,,,,,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,
LVJ_B,,,,2,1,,,18,,,,,,,,,2,,,2,,,,,,1,,,,,,,,,,,,5,,,,,,,,,1,1,1,,,1,,,,
NVS_A,,,,,,,,,,,,,,,,,1,,,3,,,,,,9,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
NVS_B,,1,,,,,,,,,,,,,,,,,,2,5,,,,,2,,,,,,,,2,,,,5,,,,,,,,,,1,,,,2,,,,
PKV_A,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,1,3,,,,,,,,1,1,,,,,,,,,
