Locality,Total_species,Tirfobionti,Neustonicke_hygrofilni,Ostatni
LCL_A,9,1,1,7
LCL_B,5,0,2,3
BHN_A,13,1,5,7
BHN_B,12,0,5,7
ZLM_A,6,0,3,3
ZLM_B,12,0,2,10
LVJ_A,4,0,0,4
LVJ_B,11,0,4,7
NVS_A,4,0,0,4
NVS_B,8,1,3,4
PKV_A,6,0,2,4
PKV_B,5,0,1,4
BBN_A,4,0,0,4
BBN_B,7,2,0,5
KCD_A,11,0,2,9
KCD_B,16,1,1,14
BZN_A,6,0,2,4
BZN_B,10,0,3,7
ZHJ_A,8,0,3,5
ZHJ_B,12,0,5,7
BRK_A,4,0,2,2
BRK_B,6,0,1,5
KLS_A,6,0,1,5
KLS_B,15,0,6,9
VLS_A,3,0,1,2
VLS_B,4,0,1,3
PRZ_A,13,1,0,12
PRZ_B,13,1,1,11
HRC_A,7,0,5,2
HRC_B,6,0,2,4
OKL_A,10,0,2,8
OKL_B,6,0,2,4
NSV_A,6,1,3,2
NSV_B,7,1,1,5
CHV_A,3,0,2,1
CHV_B,8,1,2,5
KKL_A,1,0,1,0
KKL_B,7,0,2,5
HRD_A,6,0,2,4
HRD_B,7,0,3,4
STR_A,4,0,3,1
STR_B,9,0,4,5
SVD_A,2,0,1,1
SVD_B,8,0,0,8
ZMB_A,4,0,0,4
ZMB_B,13,1,4,8
ZMK_A,4,0,0,4
ZMK_B,8,1,1,6
DVR_A,1,0,0,1
DVR_B,3,0,0,3
VRJ_A,2,0,2,0
VRJ_B,8,0,1,7
HVZ_A,5,1,2,2
HVZ_B,9,0,0,9
HLN_A,4,1,2,1
HLN_B,1,0,1,0
SFR_A,5,0,2,3
SFR_B,13,1,5,7
RTR_A,8,0,1,7
RTR_B,5,0,0,5
