Species,Specialization,Specializatio_by_words,Short_names
Brachysira brebissonii,3,Fen_specialist,BraBre
Brachysira neoexilis,3,Fen_specialist,BraNeo
Brachysira ocalanensis,3,Fen_specialist,BraOca
Brachysira serians,3,Fen_specialist,BraSer
Brachysira styriaca,3,Fen_specialist,BraSty
Brachysira vitrea,3,Fen_specialist,BraVit
Decussata placenta,3,Fen_specialist,DecPla
Diatomella balfouriana,3,Fen_specialist,DiaBal
Encyonopsis cesatii,3,Fen_specialist,EncCes
Encyonopsis microcephala,3,Fen_specialist,EncMic
Encyonopsis minuta,3,Fen_specialist,EnsMin
Eunotia arcubus,3,Fen_specialist,EunArc
Eunotia bilunaris,3,Fen_specialist,EunBil
Eunotia exigua,3,Fen_specialist,EunExi
Eunotia flexuosa,3,Fen_specialist,EunFle
Eunotia glacialifalsa,3,Fen_specialist,EunGlf
Eunotia glacialis,3,Fen_specialist,EunGla
Eunotia incisa,3,Fen_specialist,EunInc
Eunotia paludosa,3,Fen_specialist,EunPal
Eunotia ursamaioris,3,Fen_specialist,EunUrs
Eunotia valida,3,Fen_specialist,EunVal
Frustulia crassinervia,3,Fen_specialist,FruCra
Frustulia saxonica,3,Fen_specialist,FruSax
Iconella curvula,3,Fen_specialist,IcoCur
Iconella delicatissima,3,Fen_specialist,IcoDel
Neidium affine,3,Fen_specialist,NeiAff
Neidium bisulcatum,3,Fen_specialist,NeiBis
Pinnularia acrosphaeria,3,Fen_specialist,PinAcr
Pinnularia biceps,3,Fen_specialist,PinBic
Pinnularia divergens,3,Fen_specialist,PinDiv
Pinnularia gibba,3,Fen_specialist,PinGib
Pinnularia sinistra,3,Fen_specialist,PinSin
Pinnularia stomatophora,3,Fen_specialist,PinSto
Pinnularia subcapitata,3,Fen_specialist,PinSct
Sellaphora tridentula,3,Fen_specialist,SelTri
Stauroforma exiguiformis,3,Fen_specialist,StaExi
Adlafia bryophila,2,Wetland_specialist,AdlBry
Adlafia parabryophila,2,Wetland_specialist,AdlPar
Aulacoseira alpigena,2,Wetland_specialist,AulAlp
Aulacoseira nivalis,2,Wetland_specialist,AulNiv
Aulacoseira pusilla,2,Wetland_specialist,AulPus
Aulacoseira tenella,2,Wetland_specialist,AulTen
Aulacoseira valida,2,Wetland_specialist,AulVal
Caloneis silicula,2,Wetland_specialist,CalSil
Caloneis tenuis,2,Wetland_specialist,CalTen
Caloneis undulata,2,Wetland_specialist,CalUnd
Cavinula cocconeiformis,2,Wetland_specialist,CavCoc
Cavinula lapidosa,2,Wetland_specialist,CavLap
Cavinula variostriata,2,Wetland_specialist,CavVar
Ctenophora pulchella,2,Wetland_specialist,CtePul
Cymbopleura naviculiformis,2,Wetland_specialist,CymNav
Cymbopleura subaequalis,2,Wetland_specialist,CymSub
Diploneis elliptica,2,Wetland_specialist,DipEll
Diploneis krammeri,2,Wetland_specialist,DipKra
Diploneis oblongella,2,Wetland_specialist,DipObl
Diploneis oculata,2,Wetland_specialist,DipOcu
Diploneis ovalis,2,Wetland_specialist,DipOva
Diploneis parma,2,Wetland_specialist,DipPar
Diploneis subovalis,2,Wetland_specialist,DipSub
Encyonema lunatum,2,Wetland_specialist,EncLun
Encyonema pergracile,2,Wetland_specialist,EncPrg
Eucocconeis flexella,2,Wetland_specialist,EucFle
Eucocconeis laevis,2,Wetland_specialist,EucLae
Eunotia bidens,2,Wetland_specialist,EunBid
Eunotia botuliformis,2,Wetland_specialist,EunBot
Eunotia fallax,2,Wetland_specialist,EunFal
Eunotia implicata,2,Wetland_specialist,EunImp
Eunotia metamonodon,2,Wetland_specialist,EunMet
Eunotia microcephala,2,Wetland_specialist,EunMic
Eunotia minor,2,Wetland_specialist,EunMin
Eunotia muscicola,2,Wetland_specialist,EunMus
Eunotia neofallax,2,Wetland_specialist,EunNeo
Eunotia nymanniana,2,Wetland_specialist,EunNym
Eunotia praerupta,2,Wetland_specialist,EunPra
Eunotia rhomboidea,2,Wetland_specialist,EunRho
Eunotia tenella,2,Wetland_specialist,EunTen
Fallacia insociabilis,2,Wetland_specialist,FalIns
Fallacia vitrea,2,Wetland_specialist,FalVit
Fragilariforma bicapitata,2,Wetland_specialist,FraBic
Fragilariforma virescens,2,Wetland_specialist,FraVir
Gomphonema graciledictum,2,Wetland_specialist,GomGra
Halamphora montana,2,Wetland_specialist,HalMon
Chamaepinnularia hassiaca,2,Wetland_specialist,ChaHas
Chamaepinnularia mediocris,2,Wetland_specialist,ChaMed
Chamaepinnularia soehrensis,2,Wetland_specialist,ChaSoe
Kobayasiella subtilissima,2,Wetland_specialist,KobSub
Nitzschia acidoclinata,2,Wetland_specialist,NitAci
Nitzschia alpina,2,Wetland_specialist,NitAlp
Nitzschia frustulum,2,Wetland_specialist,NitFru
Nitzschia nana,2,Wetland_specialist,NitNan
Nitzschia palustris,2,Wetland_specialist,NitPls
Nupela pennsylvanica,2,Wetland_specialist,NupPen
Nupela silvahercynia,2,Wetland_specialist,NupSil
Pinnularia brebissonii,2,Wetland_specialist,PinBre
Pinnularia decrescens,2,Wetland_specialist,PinDec
Pinnularia divergentissima,2,Wetland_specialist,PinDvt
Pinnularia eifeliana,2,Wetland_specialist,PinEif
Pinnularia frequens,2,Wetland_specialist,PinFre
Pinnularia gigas,2,Wetland_specialist,PinGig
Pinnularia legumen,2,Wetland_specialist,PinLeg
Pinnularia lokana,2,Wetland_specialist,PinLok
Pinnularia macilenta,2,Wetland_specialist,PinMac
Pinnularia marchica,2,Wetland_specialist,PinMar
Pinnularia microstauron,2,Wetland_specialist,PinMic
Pinnularia elongata,2,Wetland_specialist,PinElo
Pinnularia neomajor,2,Wetland_specialist,PinNeo
Pinnularia cuneata,2,Wetland_specialist,PinCun
Pinnularia nobilis,2,Wetland_specialist,PinNob
Pinnularia nodosa,2,Wetland_specialist,PinNod
Pinnularia rupestris,2,Wetland_specialist,PinRup
Pinnularia streptoraphe,2,Wetland_specialist,PinStr
Pinnularia subgibba,2,Wetland_specialist,PinSgb
Pinnularia subrupestris,2,Wetland_specialist,PinSrp
Pinnularia transversa,2,Wetland_specialist,PinTra
Pinnularia viridiformis,2,Wetland_specialist,PinVrf
Pinnularia viridis,2,Wetland_specialist,PinVrd
PinnulariaÂ perirrorataÂ ,2,Wetland_specialist,PinPer
PinnulariaÂ silvatica,2,Wetland_specialist,PinSil
Psammothidium acidoclinatum,2,Wetland_specialist,PsaAci
Stauroneis anceps,2,Wetland_specialist,StaAnc
Stauroneis gracilior,2,Wetland_specialist,StaGra
Stauroneis kriegerii,2,Wetland_specialist,StaKri
Stauroneis phoenicenteron,2,Wetland_specialist,StaPho
Stauroneis smithii,2,Wetland_specialist,StaSmi
Stauroneis thermicola,2,Wetland_specialist,StaThe
Tabellaria flocculosa,2,Wetland_specialist,TabFlo
Tabellaria ventricosa,2,Wetland_specialist,TabVen
Tryblionella hungarica,2,Wetland_specialist,TryHun
Aulacoseira ambigua,1,Wetland_tolerant ,AulAmb
Aulacoseira italica,1,Wetland_tolerant ,AulIta
Caloneis bacillum,1,Wetland_tolerant ,CalBac
Cymbella aspera,1,Wetland_tolerant ,CymAsp
Denticula kuetzingii,1,Wetland_tolerant ,DenKue
Diatoma ehrenbergii,1,Wetland_tolerant ,DiaEhr
Encyonema minutum,1,Wetland_tolerant ,EnnMin
Encyonema perpusillum,1,Wetland_tolerant ,EncPrp
Encyonema silesiacum,1,Wetland_tolerant ,EncSil
Encyonema ventricosum,1,Wetland_tolerant ,EncVen
Encyonema langebertalotii,1,Wetland_tolerant ,EncLan
Frustulia vulgaris,1,Wetland_tolerant ,FruVul
Gomphonema acidoclinatum,1,Wetland_tolerant ,GomAci
Gomphonema acuminatum,1,Wetland_tolerant ,GomAcu
Gomphonema angustatum,1,Wetland_tolerant ,GomAng
Gomphonema bozenae,1,Wetland_tolerant ,GomBoz
Gomphonema clavatum,1,Wetland_tolerant ,GomCla
Gomphonema exilissimum,1,Wetland_tolerant ,GomExi
Gomphonema hebridense,1,Wetland_tolerant ,GomHeb
Gomphonema micropus,1,Wetland_tolerant ,GomMic
Gomphonema minutum,1,Wetland_tolerant ,GomMin
Gomphonema parvulum,1,Wetland_tolerant ,GomPar
Gomphonema pseudobohemicum,1,Wetland_tolerant ,GomPse
