"Species","Brachysira brebissonii","Brachysira neoexilis","Brachysira ocalanensis","Brachysira serians","Brachysira styriaca","Brachysira vitrea","Decussata placenta","Diatomella balfouriana","Encyonopsis cesatii","Encyonopsis microcephala","Encyonopsis minuta","Eunotia arcubus","Eunotia bilunaris","Eunotia exigua","Eunotia flexuosa","Eunotia glacialifalsa","Eunotia glacialis","Eunotia incisa","Eunotia paludosa","Eunotia ursamaioris","Eunotia valida","Frustulia crassinervia","Frustulia saxonica","Iconella curvula","Iconella delicatissima","Neidium affine","Neidium bisulcatum","Pinnularia acrosphaeria","Pinnularia biceps","Pinnularia divergens","Pinnularia gibba","Pinnularia sinistra","Pinnularia stomatophora","Pinnularia subcapitata","Sellaphora tridentula","Stauroforma exiguiformis","Adlafia bryophila","Adlafia parabryophila","Aulacoseira alpigena","Aulacoseira nivalis","Aulacoseira pusilla","Aulacoseira tenella","Aulacoseira valida","Caloneis silicula","Caloneis tenuis","Caloneis undulata","Cavinula cocconeiformis","Cavinula lapidosa","Cavinula variostriata","Ctenophora pulchella","Cymbopleura naviculiformis","Cymbopleura subaequalis","Diploneis elliptica","Diploneis krammeri","Diploneis oblongella","Diploneis oculata","Diploneis ovalis","Diploneis parma","Diploneis subovalis","Encyonema lunatum","Encyonema pergracile","Eucocconeis flexella","Eucocconeis laevis","Eunotia bidens","Eunotia botuliformis","Eunotia fallax","Eunotia implicata","Eunotia metamonodon","Eunotia microcephala","Eunotia minor","Eunotia muscicola","Eunotia neofallax","Eunotia nymanniana","Eunotia praerupta","Eunotia rhomboidea","Eunotia tenella","Fallacia insociabilis","Fallacia vitrea","Fragilariforma bicapitata","Fragilariforma virescens","Gomphonema graciledictum","Halamphora montana","Chamaepinnularia hassiaca","Chamaepinnularia mediocris","Chamaepinnularia soehrensis","Kobayasiella subtilissima","Nitzschia acidoclinata","Nitzschia alpina","Nitzschia frustulum","Nitzschia nana","Nitzschia palustris","Nupela pennsylvanica","Nupela silvahercynia","Pinnularia brebissonii","Pinnularia decrescens","Pinnularia divergentissima","Pinnularia eifeliana","Pinnularia frequens","Pinnularia gigas","Pinnularia legumen","Pinnularia lokana","Pinnularia macilenta","Pinnularia marchica","Pinnularia microstauron","Pinnularia elongata","Pinnularia neomajor","Pinnularia cuneata","Pinnularia nobilis","Pinnularia nodosa","Pinnularia rupestris","Pinnularia streptoraphe","Pinnularia subgibba","Pinnularia subrupestris","Pinnularia transversa","Pinnularia viridiformis","Pinnularia viridis","Pinnularia perirrorata ","Pinnularia silvatica","Psammothidium acidoclinatum","Stauroneis anceps","Stauroneis gracilior","Stauroneis kriegerii","Stauroneis phoenicenteron","Stauroneis smithii","Stauroneis thermicola","Tabellaria flocculosa","Tabellaria ventricosa","Tryblionella hungarica","Aulacoseira ambigua","Aulacoseira italica","Caloneis bacillum","Cymbella aspera","Denticula kuetzingii","Diatoma ehrenbergii","Encyonema minutum","Encyonema perpusillum","Encyonema silesiacum","Encyonema ventricosum","Encyonema langebertalotii","Frustulia vulgaris","Gomphonema acidoclinatum","Gomphonema acuminatum","Gomphonema angustatum","Gomphonema bozenae","Gomphonema clavatum","Gomphonema exilissimum","Gomphonema hebridense","Gomphonema micropus","Gomphonema minutum","Gomphonema parvulum","Gomphonema pseudobohemicum","Gomphonema subclavatum","Gomphonema varioreduncum","Meridion circulare","Meridion constrictum","Nanofrustulum cataractum","Navicula angusta","Navicula exilis","Navicula notha","Nitzschia amphibia","Nitzschia clausii","Nitzschia fonticola","Nitzschia linearis","Nitzschia microcephala","Nitzschia palea","Nitzschia paleacea","Nitzschia recta","Pinnularia obscura","Placoneis abiscoensis","Placoneis elginensis","Placoneis cuneata","Rhopalodia rupestris","Rossithidium petersenii","Sellaphora atomoides","Sellaphora bacillum","Sellaphora nigrii","Sellaphora pseudoventralis","Sellaphora pupula","Sellaphora rectangularis","Sellaphora saugerresii","Sellaphora ventraloides","Sellaphora vitabunda","Staurosira construens","Staurosira venter","Staurosirella berolinensis","Staurosirella pinnata","Surirella angusta","Achnanthidium caledonicum","Achnanthidium lineare","Achnanthidium minutissimum","Amphora copulata","Asterionella formosa","Aulacoseira granulata","Aulacoseira muzzanensis","Caloneis aerophila","Cocconeis placentula","Cyclostephanos dubius","Discostella stelligera","Fragilaria capucina","Fragilaria delicatissima","Fragilaria gracilis","Fragilaria nanana","Fragilaria tenera","Fragilaria vaucheriae","Gogorevia exilis","Hantzschia abundans","Hantzschia amphioxys","Hantzschia elongata","Hippodonta capitata","Humidophila brekkaensis","Humidophila perpusilla","Karayevia clevei","Luticola acidoclinata","Luticola mutica","Mayamaea atomus","Mayamaea permitis","Navicula cryptocephala","Navicula lanceolata","Navicula radiosa","Navicula rhynchocephala","Navicula veneta","Pinnularia borealis","Planothidium frequentissimum","Planothidium lanceolatum","Pseudostaurosira brevistriata","Pseudostaurosira subconstricta","Rhopalodia gibba","Stephanocyclus meneghinianus","Stephanodiscus hantzschii","Ulnaria ulna","Ulnaria acus"
"Specialization","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Specializatio_by_words","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Fen_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_specialist","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Wetland_tolerant ","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist","Generalist"
"KKL_A_SP6","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KKL_A_HM8","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"DVR_A_SP6","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"DVR_A_SP3","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"STR_A_SP2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"STR_A_HM2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SVD_A_SP5","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SVD_A_HM8","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
