Short_names,BraBre,BraNeo,BraOca,BraSer,BraSty,BraVit,DecPla,DiaBal,EncCes,EncMic,EnsMin,EunArc,EunBil,EunExi,EunFle,EunGlf,EunGla,EunInc,EunPal,EunUrs,EunVal,FruCra,FruSax,IcoCur,IcoDel,NeiAff,NeiBis,PinAcr,PinBic,PinDiv,PinGib,PinSin,PinSto,PinSct,SelTri,StaExi,AdlBry,AdlPar,AulAlp,AulNiv,AulPus,AulTen,AulVal,CalSil,CalTen,CalUnd,CavCoc,CavLap,CavVar,CtePul,CymNav,CymSub,DipEll,DipKra,DipObl,DipOcu,DipOva,DipPar,DipSub,EncLun,EncPrg,EucFle,EucLae,EunBid,EunBot,EunFal,EunImp,EunMet,EunMic,EunMin,EunMus,EunNeo,EunNym,EunPra,EunRho,EunTen,FalIns,FalVit,FraBic,FraVir,GomGra,HalMon,ChaHas,ChaMed,ChaSoe,KobSub,NitAci,NitAlp,NitFru,NitNan,NitPls,NupPen,NupSil,PinBre,PinDec,PinDvt,PinEif,PinFre,PinGig,PinLeg,PinLok,PinMac,PinMar,PinMic,PinElo,PinNeo,PinCun,PinNob,PinNod,PinRup,PinStr,PinSgb,PinSrp,PinTra,PinVrf,PinVrd,PinPer,PinSil,PsaAci,StaAnc,StaGra,StaKri,StaPho,StaSmi,StaThe,TabFlo,TabVen,TryHun,AulAmb,AulIta,CalBac,CymAsp,DenKue,DiaEhr,EnnMin,EncPrp,EncSil,EncVen,EncLan,FruVul,GomAci,GomAcu,GomAng,GomBoz,GomCla,GomExi,GomHeb,GomMic,GomMin,GomPar,GomPse,GomSub,GomVar,MerCir,MerCon,NanCat,NavAng,NavExi,NavNot,NitAmp,NitCla,NitFon,NitLin,NitMic,NitPla,NitPlc,NitRec,PinObs,PlaAbi,PlaElg,PlaCun,RhoRup,RosPet,SelAto,SelBac,SelNig,SelPse,SelPup,SelRec,SelSau,SelVen,SelVit,StaCon,StaVen,StaBer,StaPin,SurAng,AchCal,AchLin,AchMin,AmpCop,AstFor,AulGra,AulMuz,CalAer,CocPla,CycDub,DisSte,FraCap,FraDel,FraGra,FraNan,FraTen,FraVau,GogExi,HanAbu,HanAmp,HanElo,HipCap,HumBre,HumPer,KarCle,LutAci,LutMut,MayAto,MayPer,NavCry,NavLan,NavRad,NavRhy,NavVen,PinBor,PlaFre,PlaLan,PseBre,PseSub,RhoGib,SteMen,SteHan,UlnUln,UlnAcu
KKL_A_SP6,,,,,2,,,,,,,,14,16,,,,,174,2,,,,,,,2,,,,,,,117,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,6,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,8,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,,1,6,,18,,4,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
KKL_A_HM8,,,,,,,,,,,,,2,102,,,,,116,,,,,,,,,,,,,,,36,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,10,,28,,2,,24,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
DVR_A_SP6,,,,2,,,,,,,,,2,,,,,,370,,,,1,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,4,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,
DVR_A_SP3,,,,59,,,,,,,,,8,13,,,,,39,,,,32,22,,39,29,,,2,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,6,,,24,,,,,,,,2,,24,,,,,,,,,,,,,,,,,,9,8,2,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STR_A_SP2,,,,,,,,,,,,,14,73,,,,,2,2,,25,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STR_A_HM2,,,,,,,,,,,,,2,36,,1,,,22,,,12,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,282,,,1,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVD_A_SP5,,,,,,,,,,,,,54,18,,,,,20,,1,4,6,12,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,2,,,75,,1,,,,,,,,,,,,2,,,53,,,,,,,2,,,,,,,,14,,8,96,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVD_A_HM8,,,,,,,,,,,,,4,59,,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,45,111,,,6,,,,,,,4,,,,,,,,4,,10,14,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,2,,,,4,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,
HVZ_A_SP4,,,,,,,,,,,,,,18,,,,,333,,,,,,,,,,,,,2,,,,,19,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,,1,,,,,,,,,,,,,,,
HVZ_A_HM3,,,,,,,,,,,,,26,21,,,,,,,,,,,,,2,,,,,17,,26,,,,,,,,,,,,,,,,,,,,,,,,,,23,2,,,,4,,10,,,4,,,,,,20,,,,,14,,,,,2,31,,,,,,22,,,,,,,,,,,2,,2,,,2,2,,,2,,,,,,,2,,10,,,,,,,,,,,,,,,2,,,,,,10,,2,,,,,2,,,,,,,7,,,,,,,,,,,,,,,,,62,,16,,,,41,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
