Locality_Code,Site_Name,Total_species,Spec_0_Generalist,Spec_1_Wetland_tolerant,Spec_2_Wetland_specialist,Spec_3_Fen_specialist,Pattern
KKL,KKL_A_SP6,27,3,7,9,8,SP
KKL,KKL_A_HM8,20,6,6,4,4,HM
DVR,DVR_A_SP6,15,2,1,6,6,SP
DVR,DVR_A_SP3,20,0,0,10,10,SP
STR,STR_A_SP2,11,0,1,4,6,SP
STR,STR_A_HM2,12,0,0,6,6,HM
SVD,SVD_A_SP5,21,2,0,11,8,SP
SVD,SVD_A_HM8,20,3,3,10,4,HM
HVZ,HVZ_A_SP4,10,3,1,3,3,SP
HVZ,HVZ_A_HM3,33,3,8,17,5,HM
HLN,HLN_A_HM3,5,0,0,0,5,HM
HLN,HLN_A_SP2,5,0,0,0,5,SP
ZMK,ZMK_A_SP7,12,3,5,0,4,SP
ZMK,ZMK_A_HM8,23,9,3,7,4,HM
VRJ,VRJ_A_SP4,20,4,5,8,3,SP
VRJ,VRJ_A_HM3,27,3,8,10,6,HM
ZMB,ZMB_A_SP5,23,2,6,12,3,SP
ZMB,ZMB_A_HM3,54,5,17,24,8,HM
HRD,HRD_A_SP4,51,17,10,19,5,SP
HRD,HRD_A_SP3,41,17,10,11,3,SP
BRK,BRK_A_SP3,11,1,0,7,3,SP
BRK,BRK_A_SP4,8,0,0,5,3,SP
PRZ,PRZ_A_SP3,17,0,3,11,3,SP
PRZ,PRZ_A_HM3,20,0,5,10,5,HM
HRC,HRC_A_HM2,6,0,0,4,2,HM
HRC,HRC_A_SP3,7,0,0,4,3,SP
CHV,CHV_A_SP4,25,2,7,13,3,SP
CHV,CHV_A_HM2,30,8,9,8,5,HM
OKL,OKL_A_SP5,9,2,2,5,0,SP
OKL,OKL_A_HM2,48,6,17,19,6,HM
KLS,KLS_A_SP4,37,5,7,18,7,SP
KLS,KLS_A_HM6,30,3,4,16,7,HM
ZHJ,ZHJ_A_SP6,7,1,1,5,0,SP
ZHJ,ZHJ_A_SP2,22,0,3,15,4,SP
BZN,BZN_A_SP2,17,3,5,7,2,SP
BZN,BZN_A_HM2,24,2,9,12,1,HM
VLS,VLS_A_SP5,5,0,0,5,0,SP
VLS,VLS_A_HM5,44,5,16,18,5,HM
NSV,NSV_A_SP2,28,5,7,11,5,SP
NSV,NSV_A_HM2,52,8,16,22,6,HM
BBN,BBN_A_SP2,14,0,0,7,7,SP
BBN,BBN_A_SP5,10,0,1,5,4,SP
RTR,RTR_A_SP4,6,0,0,5,1,SP
RTR,RTR_A_HM7,8,0,0,5,3,HM
LVJ,LVJ_A_SP3,9,2,1,5,1,SP
LVJ,LVJ_A_SP2,36,4,10,16,6,SP
PKV,PKV_A_SP3,34,1,3,17,13,SP
PKV,PKV_A_SP4,19,1,1,9,8,SP
KCD,KCD_A_SP3,44,5,13,19,7,SP
KCD,KCD_A_SP7,12,5,3,4,0,SP
NVS,NVS_A_SP5,20,1,5,9,5,SP
NVS,NVS_A_HM7,8,2,0,5,1,HM
LCL,LCL_A_SP6,21,5,6,10,0,SP
LCL,LCL_A_HM6,44,13,16,11,4,HM
BHN,BHN_A_SP5,27,2,7,14,4,SP
BHN,BHN_A_HM6,8,0,0,6,2,HM
SFR,SFR_A_SP4,39,3,3,22,11,SP
SFR,SFR_A_HM6,35,4,9,16,6,HM
ZLM,ZLM_A_SP2,47,3,5,24,15,SP
ZLM,ZLM_A_HM3,45,6,13,17,9,HM
