Species,PCo1,PCo2,Specializatio_by_words,Specialization_Level
BraBre,-0.0271005038701192,0.04407411840977291,Fen_specialist,Fen_specialist
BraNeo,-0.04870549489251037,0.06178547484447256,Fen_specialist,Fen_specialist
BraOca,0.04496820821726766,-0.3037226822301939,Fen_specialist,Fen_specialist
BraSer,-0.20092035519283566,-0.028837952013384592,Fen_specialist,Fen_specialist
BraSty,-0.46071645938470257,-0.21436694496257908,Fen_specialist,Fen_specialist
BraVit,0.1968790009933162,-0.2654348142593494,Fen_specialist,Fen_specialist
DecPla,0.2877023878316203,-0.2058799251426131,Fen_specialist,Fen_specialist
DiaBal,0.35153553256910225,-0.18265450952607132,Fen_specialist,Fen_specialist
EncCes,0.2409878933458471,-0.24211890964139826,Fen_specialist,Fen_specialist
EncMic,0.3156806829990195,-0.25465428398782286,Fen_specialist,Fen_specialist
EnsMin,0.04768742785541217,-0.16006501270783896,Fen_specialist,Fen_specialist
EunArc,0.30534541714674196,-0.24061956405551088,Fen_specialist,Fen_specialist
EunBil,-0.07051370016449747,-0.18126048076091159,Fen_specialist,Fen_specialist
EunExi,-0.14237207837090757,-0.049936243634162825,Fen_specialist,Fen_specialist
EunFle,0.3165653151510946,-0.06754217735167507,Fen_specialist,Fen_specialist
EunGlf,0.042071121924689266,0.24085050154662066,Fen_specialist,Fen_specialist
EunGla,-0.14631669887122087,-0.13986367608396702,Fen_specialist,Fen_specialist
EunInc,0.03541258927968735,0.22093732976222238,Fen_specialist,Fen_specialist
EunPal,-0.4170200762584376,-0.1298320250927831,Fen_specialist,Fen_specialist
EunUrs,-0.13546995221287722,0.11843092754466544,Fen_specialist,Fen_specialist
EunVal,0.06620726075137227,-0.05438211722180166,Fen_specialist,Fen_specialist
FruCra,-0.07019906437301204,0.057686302141462725,Fen_specialist,Fen_specialist
FruSax,-0.10648149645882994,0.03205018449034396,Fen_specialist,Fen_specialist
IcoCur,-0.07957168383386733,-0.08020344539112235,Fen_specialist,Fen_specialist
IcoDel,-0.08219286499727661,0.10833540491848546,Fen_specialist,Fen_specialist
