Locality,LOC,PLOT,FULL_NAME,pH_adjusted,Algoscore,Moisture_Topsoil,WTD_median,F_CLASS_median,EIV_weighted_by_species_ranges_and_covers,EIV_unweighted,Alkalinity,pH_soil,TOC,TN_sqrt,PO4_log,Cl_log,NO2,SO4_log,NO3_log,F,HCO3_sqrt,NH4 _log,K_log,Na,Li,Mg_sqrt,Sr_sqrt,Ba_sqrt,Ca_sqrt,Fe_log,Mn_log,Zn_log,Al_log,Age,Age_Reg5km,Age_Reg25_km,Aream2,Areakm2
BBN_A,BBN,A,Babín A ,5.05,3,2,8.5,3.5,8.46,8,0.54,4.7,377,2.898275349,-0.946921557,0.705863712,0.042402236,1.053078443,-1.737283693,0.004919809,5.522680509,-0.468521083,0.045322979,5.04,0.00128363,1.46628783,0.173205081,0.003166353,2.598076211,1.755874856,-0.698970004,-0.886056648,0.952792443,8318,8318,13918,41277,0.041
BBN_B,BBN,B,Babín B ,4.75,5,4,22,6.5,8.29,7.47,0.54,4.6,394,2.11896201,-1.37675071,0.781036939,0.019794288,0.100370545,-0.638272164,0.003950927,6.473020933,-0.638272164,0.644438589,5.11,0.01,1.435270009,0.132652933,0.003222633,2.712931993,0.994756945,-0.721246399,-1.698970004,0.269512944,8318,8318,13918,41277,0.041
BHN_A,BHN,A,Bahna A,5.71,4,3,8,6.5,7.79,7.44,0.54,4.7,375,2.851315486,-1.075720714,0.350248018,0.019561856,0.588831726,-1.22184875,0.09,6.32455532,-0.552841969,0.303196057,3.95,0.00809412,1.280624847,0.489897949,0.003243091,3.096772513,2.403120521,0.426511261,-0.346787486,1.620136055,6748,12998,13918,34165,0.034
BHN_B,BHN,B,Bahna B,5.64,5,4,15,7,7.6,7.32,0.31,4.9,420,3.464101615,-0.182038195,1.456366033,0.013846155,1.344392274,-1.342413298,0.08,9.853933225,0.252367514,1.165541077,10.3,0.01,2.321637353,0.3,0.003300835,5.14781507,1.348304863,-0.337242168,-0.744727495,1.021189299,6748,12998,13918,34165,0.034
BRK_A,BRK,A,Borky A,4.68,3,2,4,3.5,8.68,7.89,0.91,4.4,426,2.8,-1.259637311,0.553883027,0.010944359,0.037426498,-1.754298305,0.13,5.059644256,-0.327902142,0.599883072,2,0.01,1.53622915,0.316227766,0.08,3.507135583,1.591064607,0.29666519,-1,0.44870632,8627,8627,11997,14286,0.014
BRK_B,BRK,B,Borky B,5.01,5,3,5,4.5,7.61,7.56,0.88,4.5,408,2.481934729,-1.356547324,0.274157849,0.012158249,0.846955325,-0.886056648,0.13,4.404543109,-0.853871964,0.096910013,3.69,0.01,1.44222051,0.316227766,0.11,3.492849839,1.968949681,-0.180456064,-1.045757491,0.82672252,8627,8627,11997,14286,0.014
BZN_A,BZN,A,Bažantka A ,6.77,2,3,5.5,2,8.87,8.17,3.35,4.8,398,1.732050808,-1.48148606,1.089905111,0.006411479,0,-1.301029996,0.18,11.91637529,-0.552841969,0.361727836,6.99,0.006826327,2.810693865,0.412310563,0.001127682,5.403702434,2.677606953,0.324282455,-0.638272164,0.900913068,11289,11997,11997,12070,0.012
BZN_B,BZN,B,Bažantka B ,6.89,4,2,6.5,4,8.47,8.02,3.97,4.7,364,1.769180601,-1.602059991,0.862727528,0.017112976,-0.244125144,-1.22184875,0.18,13.0537351,-0.431798276,0.436162647,6.96,0.004875212,3.193743885,0.447213595,0.007847964,6.211280061,2.029383778,-0.013228266,-0.958607315,0.652246341,11289,11997,11997,12070,0.012
CHV_A,CHV,A,Chvojnov A ,5.84,2,3,6.5,3,8.41,7.61,2.08,5.5,410,2.32594067,-1.107905397,0.575187845,0.022571082,-0.13667714,-1.301029996,0.06,8.485281374,-0.721246399,0.222716471,7.48,0.02,1.720465053,0.346410162,0.002476088,4.207136794,1.599883072,-0.397940009,-0.958607315,0.57634135,11464,11563,11997,25417,0.025
CHV_B,CHV,B,Chvojnov B ,6.27,3,2,12,6,6.93,7.53,1.64,5.6,378,2.224859546,-0.970616222,0.665580991,0.014321421,-0.075720714,-1.22184875,0.1,8.461678321,-0.522878745,0.068185862,8.13,0.01,1.565247584,0.3,0.004730946,3.521363372,1.57863921,0.025305865,-0.657577319,1.357934847,11464,11563,11997,25417,0.025
DVR_A,DVR,A,Dvo?išt? A,4.07,3,2,6,3.5,8.11,8,0.54,4.6,424,2.913760457,-0.779891912,0.551449998,0.008601753,-0.795880017,-1.512410284,0.017707303,3.714835124,-0.769551079,-0.004364805,3.48,0.008171698,0.98488578,0.2067236,0.003915528,1.60623784,1.08278537,-1.045757491,-1.522878745,0.652246341,60,60,13469,28809,0.029
DVR_B,DVR,B,Dvo?išt? B ,3.76,5,4,15,5,7.34,7.42,0.31,4.3,134,2.095232684,-0.91721463,0.46686762,0.028357634,-1,-1.36077115,0.008961265,1.523154621,-1.400878867,-0.537602002,3.29,0.001057119,0.781024968,0.187741123,0.003636354,1.292284798,1.017033339,-1.397940009,-1.698970004,0.965201701,60,60,13469,28809,0.029
HLN_A,HLN,A,Hliní? A,3.4,2,1,3,4,8.44,8,0.57,3.8,430,1.941648784,-1.26760624,1.195899652,0.038628967,-1.698970004,-1.740966289,0.016334903,1.664331698,-1.376458291,0.322219295,6.07,0.004243899,1.063014581,0.073642046,0.004347533,1.303840481,0.653212514,-1.15490196,-1.522878745,0.1430148,13469,13469,13469,2445,0.002
HLN_B,HLN,B,Hliní? B ,3.56,3,1,4,4.5,8.32,7.83,0.54,3.8,399,2.439262184,-1.187086643,1.23299611,0.014034144,-0.721246399,-1.852245247,1.35E-05,1.506651917,-0.721246399,0.519827994,6.17,0.007915201,1.034408043,0.195667245,0.003407756,1.652271164,1.008600172,-0.886056648,-1.301029996,0.652246341,13469,13469,13469,2445,0.002
HRC_A,HRC,A,Hrachovišt? A,5.19,2,1,3,3.5,9.28,8.38,0.93,4,435,2.28035085,-0.863279433,0.133538908,0.023734079,0.021189299,-1.311324407,0.16,5.648008499,-0.698970004,-0.167491087,3,0.003996472,1.479864859,0.179314568,0.09,1.957038579,1.638489257,-0.142667504,-0.920818754,1.100370545,90,90,11563,1947,0.002
HRC_B,HRC,B,Hrachovišt? B,5.01,3,2,8.5,5.5,8.51,8.24,0.87,4.3,50.5,3.376388603,-0.261219442,0.220108088,0.032759378,0.401400541,-1.455354114,0.444,5.272570531,-0.356547324,-0.356547324,4.75,0.004784752,1.558845727,0.2,0.001788475,2.049390153,1.958085849,-0.113509275,-0.22184875,1.967547976,90,90,11563,1947,0.002
