Locality,TalSto,PilCon,Sta007,TalVer,HygCoc,HygCon,CalCla,DidPro,PyrLep,StaPer007,ChlSet,Chlo018,PenMon,Ven010,Cla016,Phi015,Gor052,Mel017,ParMic,StaPse,Hya063,Pod047,p_Glo030,OidMai,c_Aga024,Clo041,Chl031,XepLeu,c_Leo28,f_Hya071,NepAur,ParXan,LepNud,Tri021,Lac058,ClaBis,Cha042,SuiVar,MetBru,Tre039,o_Leo261,MycMet,Tyl025,StaPer069,Aur066,Cla098,Pen043,Hyg118,Phi028,Chal059,ClaArc,Cla073,f_Hya038,f_Hya065,GalPal,Hya076,VarGig,o_Aur055,Xen142,o_Atr034,Hya074,AraSph,Ven037,Tal044,o_Lec062,ChlHum,Lep020,Art089,Ple064,RutHen,Ven032,Cis061,GeoSim,f_Cla108,Ren101,Cis053,p_Roz138,Tom078,SphPal,Scl072,Cap134,o_Xyl079,LacRuf,Cap057,LepOrc,Orb116,o_Aur179,Cud107,PseCur,Lac159,Ape083,RusCae,Hya049,MycGal,ApiAru,p_Asc156,PhyVac,FusSpo,Pod093,Tre149,Gor170,PodHor,c_Aga056,ChlCau,f_Cha100,f_Pez201,Sch128,Hya054,o_Sor094,Sym145,c_Leo139,Mor086,c_Leo077,Cha097,Ser178,VisCar,Ser218,f_Con084,Chl099,Ser112,f_Aur214,Per106,Cyp105,Sch127,Pez091,Ser550,f_Hya151,o_Leo087,PerDel,Sis346,UstApp,OrbMul,Sco163,Pyr172,Tyl102,Sta144,TheTer,LopPic,Oeh175,Neo167,EntTor,ChaPse,p_Roz213,TriAsp,HypElo,Cis190,DidCla,Vis162,TriKon,SolTer,f_Her263,RicFib,Hym171,Cys143,Ach173,PyrTri,o_Ple202,o_Rhi153,Mel103,AraAur,Nep199,MenCil,LinElo,Ren194,o_Tre184,Pha265,Oeh189,Oli216,Mel124,Hya140,AngFil,o_Rhi185,Rut150,Ser272,Oid090,Sub291,Ser133,PenRol,f_Hya109,NeoPas,EntMou,Hya212,Tom282,o_Ple217,Rhi183,EntSer,Hya125,DicArt,p_Ent253,Mor230,AceMac,RicMel,Pod120,OrbBem,Hya250,SaiPod,HelPlu,GanApp,Clo220,o_Orb155,o_Sor174,AltAlt,RusSar,PenOno,Hya166,c_Leo088,PhaSta,EntBic,Hya158,o_Ony160,Oeh168,Hym169,VarGig177,Mor180,TalCin,PezCil,f_Hel186,o_Hel187,RhiRos,PhiBam,Mel198,Col200,Lac203,Del204,Hya205,f_Lor206,f_Glo207,SuiBov,Amp210,Hya211,Hya219,OidTen,GalTib,StaTri224,f_Rhi226,Ext227,Dim229,Mar231,Sui232,Oid235,Sta236,DacDim,Tri240,Xen242,PyrBis,o_Sor244,EmeDon,CadLut,Pen249,CybSua,f_Rhi254,MycSan,,TolInf,Car268,StaTri269,Cor271,StaDen,Her276,Ace279,Pyr283,f_Her285,Ace287,Mel292,Hya294,Cla301,IlyEur,SymAci,Tet305,o_Bol307,PseCha,TreHyd,LinFlu,NeoKie,f_Glo316,Ino319,AthPyr,Pez326,FusAve,Pol329,ZaaVer,Cal342,Mor343,ApeStr,o_Tre351,AlaAcu,Chl365,Exo379,Oeh380,VarDel,o_Leo396,f_Her400,Myr401,o_Sor406,Tre465,f_Rhy496,Cla505,Oid555,Ser628,ClaHom,Schi266
BBN_A,6.46,0,12.24,0.02,0.94,0,18.33,0.02,0,0.02,0.01,0,0,0.04,0,11.41,0,5.96,2.45,0.07,0,0,1.02,0,0,0,0.01,0.02,0,0,0,5.43,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0.01,0,0.69,0,0,0,0,0.02,0,0,4.2,0,0,0,0,0,0,0,0.13,0.22,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,2,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0.06,0.8,0,0,0,0,0.09,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,1.11,0,0,0.16,0,0.76,0,0.37,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0.01,0,0,0.11,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0.35,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
BBN_B,0.6,0,0,0.07,0.02,0,0.01,0.18,0.05,0,14.7,0,0.01,0,11.47,0.02,0,5.98,0.06,0,0,0.1,7.04,3.16,0,0,0.1,0,0,0,0,0.02,0,0,1.75,0,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,0,0,0,0,0,0.17,0.04,0,0,0,0,0,0.07,0,0,0,0.01,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,1.79,0,0,0.01,0.01,2.54,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.16,0,0.95,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.07,0,0,0,0.08,0.1,0,0,0,0,0,1.06,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,0.21,0,0,0,0.01,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0.73,0,0,0.6,0,0,0,0
BHN_A,1.22,0.22,1.49,1.66,0,0.89,1.15,23.63,0.63,0.34,0,0.35,0.01,0,0,0.3,0,2.27,0.44,0.16,0,0.71,1.01,0,0,0.16,0.11,0.27,0.01,0,0.26,0.2,0,0,0.47,0,4.57,0,0,0,0,0,0,0,0.69,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,4.76,0.42,0,0,0,16.97,0,0,0.01,0,0.27,0.04,0.34,0,0,0,0.57,0,0,0,0.36,0,0,0,0,0.33,0.41,0,0,0,0,0,0,0,0,0,0.36,0,0.04,0.04,0.63,0,0,0,0,0,0,0.04,0,0,0,0,0.09,0,0.04,0,0.01,0,0,0,0.21,0,0.17,0,0.05,0,0,0.06,0,0.02,0,0,0.14,0,0.4,0.01,0,0,0,0.11,0,0,0.07,0,0.01,0,0,0.04,0.27,0,0.03,0.12,0,0,0.23,2.27,0.05,0,0.12,0,0.29,0,0,0.45,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.13,0.16,0.37,0.08,0,0,0.25,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0.01,0,0.05,0.06,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.07,0.02,0.02,0.03,0,0,0,0.04,0.24,0,0.01,0,0,0.11,0,0.01,0,0,,0,0,0,2.14,0,0,0,0.01,0,0,0,0,0.19,0,0,0.11,0.09,0.02,0,0.05,0,1.92,0,0,0,0,0.02,0.01,0,0,0.15,0,0.08,0,0.01,0.1,0.03,0,0,0.01,0,0,0,0,0,0,0,0
BHN_B,0,0.21,3.24,0,0,0,0.16,0.59,0.9,0,0,20.83,0,0,0.31,0.02,0,0,0.16,0.19,0,0.02,0,0,0,0.04,2.18,0,0,0,0,0,0,0,0,15.55,0,0,0.03,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0.08,0,0,0,0.04,0,0,0,0,0,0,0,0.23,9.75,9.16,0,0,0.03,0.08,0,3.87,0,0,0,0,0,0,0.64,0.11,0,0.03,0.24,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0.19,0,0.08,0.18,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52,0,0,0.01,0,0.03,0.07,0,0,0,1.1,0,0.04,0.01,0.04,0,0,0,0.2,0.01,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,1.87,0,0,0,0,0,0,0,0.04,0,0.03,0.22,0,0,0,0.24,0.08,0,0,0,0,0,0,0,0.03,0.02,0,0.03,0,0.19,0,0.03,0,0.97,0,0,0,0,0,0,0.77,0,0.01,0,0,0,0,0,0,0,0.19,0.01,0.18,0,0,0,0.04,0,0.19,0,0.01,0,0,0.05,0,0.02,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.04,0,0,0.08,0,0.32,0,0,0.72,0,0,0,0,0,0.11,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
BRK_A,0,0.01,5.37,0.02,0,0,0.74,2.97,0.34,5.23,0,0,0.09,0,0,0.28,0,0,1.67,0.27,0,0,0.43,0,0,0,0,0.33,0.06,0,0.75,0.38,0,9.84,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0.26,0.04,0.41,0,0.03,0,0,0,0,0,0.01,0,4.11,0,0,0,0,0,0,0,0,0.11,0.01,0.24,0,0,0,0,0,0,0,0.26,0.26,1.57,0,13.71,0,0,0,0.48,0.1,0,0,0,0,0,0,0,0,0.05,0,0,0,0.01,2.76,0.12,0,0,0.01,0,0,0,0,0.15,0,0,0,0.03,0,0,0,0.63,0,0.05,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,1.24,0,0,0.34,0.02,0.46,0.31,0,0,0,1.24,0,1.2,0,0,0,0,0.02,0.08,0,0.1,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0.04,0,0.02,0,0,0,0,0.01,0,0,0,0,0.21,0,0.08,0.01,0.01,0.07,0.29,0,0,0,0,0,0.09,0,0.02,0,0,0,0,0.83,0.03,0.87,0,0,0.23,0,0,0,0,0,1.63,0,0,0,2.71,0.23,0,0.27,0,0,0,0,0,0,0.36,0.03,0,0.07,0,0,0.15,0,0,0.18,0,0,0.41,0,0,0,0,0,0,,0,0,0.08,0,0,0,0,0.17,0,0,0,0,0,0.06,0,0,0,0.37,0,0.12,0,0.03,0,0,0,0,0.19,0,0,0,0,0.89,0,0,0.03,0,0.07,0,0,0,0.04,0,0,0,0,0,0,0
BRK_B,18.57,0.19,4.06,2.89,39.34,0,0.35,0.43,0.05,0.27,0,0,0,0,0.76,3.93,0,1.13,0.21,0.06,0,0,0.12,0,0,0,0,0.55,0,0,0.01,0.27,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0.02,0,2.35,0,0,0.01,0,0,0.12,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0,0,0,0,0.06,0.17,0,0.09,0,0.2,0,0,0,0,0.31,0,1.68,0,0,0,0.19,0,0,0,0,0,0,0.02,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.1,0,0,0.03,0.12,0,0.02,0,0,0.02,0.02,0,0.02,0,0,0,0,0.13,0,0,0,0,0.03,0.46,0,0,0,0,0.09,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.53,0,0.01,0,0,0,0,0.04,0,0,,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BZN_A,1.96,3.22,0.86,52.72,0,2.78,3.98,6.14,0.84,0,0,0.02,0,0,0,0,0,0,2,1.47,0,0,0,0,0,0.47,0,4.27,0,0,0.09,0.36,0,0,0.03,0,0.09,0,0,0,0,0,0,0,0.28,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0.04,0,0,0.25,0,0,0.01,0,0,0,0.02,0,0,0,0.14,0,0,0,0,0,0.06,0,0,0.17,0,0,0,0,0,0.01,0.08,0,0.07,0,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.16,0.02,0,0,0.24,0,0.06,0.02,0.07,0,0,0.23,0,0.01,0,0,1.48,0,0,0.01,0.09,0,0,0,0,0,0,0,0.05,0,0.01,0.8,0.04,0,0,0,0,0,0.04,0,0.14,0,0.01,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.75,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.01,0,0,0,0,0.01,1.12,0,0,0,0,0,0.56,0.05,0.21,0,0,,0.01,0.19,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BZN_B,9.256544503,0.178010471,4.492146597,2.020942408,0,5.738219895,1.623036649,0.408376963,7.445026178,0,0,0.492146597,0,0.031413613,0,0.062827225,0,0,1.329842932,0.795811518,0,0,0,0,0.020942408,4.785340314,0.052356021,0.083769634,0,0,0.115183246,0.010471204,0,0,0,0,0.586387435,0,0,0,0,0,0,0.083769634,0,0,0,0,0,0.010471204,0,0,0,0,0,0,0.12565445,0,0,0,0,0,0.104712042,0,0,0,0,0.010471204,2.230366492,0,0.408376963,0.136125654,0,0,0,0.32460733,0,0,0,0.638743455,0,0,0,0,0.010471204,0.157068063,0,0,0.335078534,0,0,0,0,0,0,0.157068063,0,0.104712042,0,0.471204188,0,0,0,0,1.455497382,0,1.706806283,0,0,0,0,0,0,0,0,0.314136126,6.523560209,0,0,0,7.717277487,0.104712042,0.031413613,0.942408377,0,0,0.261780105,0,0.282722513,0,0,0.031413613,0,0,0,0,0,0,0,0,0.439790576,0,0,0.083769634,0,0.010471204,0,0.115183246,0,0.010471204,0,0,0.010471204,0.481675393,0.146596859,0.157068063,0,0.031413613,0,0,0.418848168,0,0.104712042,0,0,0,0,0,0,0,0,0,0,0,0,4.12565445,0,0,0,0.020942408,0,0,0.994764398,0,0,0,0,0,0,0,0,0,0,0,0,0.167539267,0,0.701570681,0.439790576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041884817,0,0,0,0,0,0,0,0.062827225,0.010471204,0,0,0,0,0,0,0,0.104712042,0,0,0.010471204,0,0.073298429,0.083769634,0,0,0,0,0.020942408,0.010471204,0,0,0,0,0.104712042,0,0.795811518,0,0,,0.010471204,0,0.387434555,0.094240838,0.073298429,0,0,0.397905759,0,0,0,0,0,0,0,0.471204188,0.554973822,0.010471204,0.136125654,0.083769634,0,0.010471204,0,0,0,0.094240838,0.020942408,0.188481675,0,0,0.010471204,0,0.010471204,0,0,0,0,0,0,0.020942408,0,0,0,0,0,0,0,0
CHV_A,41.11,1.57,1.39,0.81,15.94,0.33,0.63,0.15,0.06,0,0,0,0.97,0,0.03,0.93,2.32,0.35,0.39,0.04,0.61,0.95,0.07,0,0,0,0,0.6,0,0,0,0.49,0,0,2.38,0,0,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.03,0.28,0.01,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.26,0,0,0.08,0,0.31,0,0,0,1.51,0,0,0.12,0,0.02,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.21,0.01,0.05,0,0.01,0.02,0,0.59,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0.03,0.2,1.39,0,0,0.59,0,0.01,0.03,0.01,0,0.12,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0.02,0,0,0,2.95,0.23,0,0,0,0,0,0,0,0,0.07,0.03,0.04,0,0.09,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.54,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.07,0,0,0,0,0.02,0.12,0,0.42,0,0,0.01,0,0,0,0,,0,0.02,0.05,0.02,0,0,0.04,0,0,0,0,0,0.03,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
CHV_B,6.1,0.73,0.91,0.01,0,8.36,3.24,0.68,2.92,1.43,0,0.32,0,0,0,0,0,0,4.36,1.09,0,0,0,0,0,0,0,2.02,0,0,0.45,0.03,0,0,0,0,0,0,0.62,0,0,0,0,0,0.02,0,0,0,0,0.63,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0.47,0,0,0,0.41,0,0,0,0,0.08,0.04,0,0,2.76,0,6.45,0,0,0,0.23,0,0,0.05,0.29,0.05,0,0.11,0,0.04,0.77,0,1.36,0,0,0,0,0.27,0,0,0,1.23,0,0,0,0,0,0.34,0.2,0.64,0,0,0,0,1.02,0,0,0,0,0.04,0,0,0,0,0,0,0.08,1.13,0,0.12,0,0.09,0.2,0.4,0.61,0.16,0.02,0.04,0,0.55,0.05,0.44,0.36,0.41,0,0,0.05,0,0.19,0,0.13,0,0,0,0,0,0,0,0.12,0,0,0.05,2.56,0.02,0,0.58,0,0,0,0,0,0.17,0,0,0,0.01,0,0,0.06,0,0.05,0.28,0,0.38,0,0.05,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0.06,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.12,1.06,0,0,0,0.39,0,0,0.26,0,0,0.15,0.74,0.06,0,0,,0,0,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0.06,0,0,0,0,0.2,0,0,0,0,0,0,0,0
