,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,
,,,,Bažanka,Bažanka,Borky,Borky,Chvojnov,Chvojnov,Dvo?išt?,Dvo?išt?,Hliní?,Hliní?,Hovízna,Hovízna,Hrachovišt?,Hrachovišt?,Hráde?ek,Hráde?ek,Kališt?,Kališt?,Kukla,Kukla,Oklika,Oklika,Nad Svitákem,Nad Svitákem,Sta?kovský ryb.,Sta?kovský ryb.,Starý Vdovec,Starý Vdovec,V Lisovech,V Lisovech,V Rájích,V Rájích,Zhejral,Zhejral,Žemli?ka baz,Žemli?ka baz,Žemli?ka kys,Žemli?ka kys,Babín,Babín,Bahna,Bahna,Kocanda,Kocanda,Louky u ?erného lesa,Louky u ?erného lesa,Louky v Jeníkov?,Louky v Jeníkov?,Návesník,Návesník,Pa?ez,Pa?ez,Pod kamenným vrchem,Pod kamenným vrchem,Ratajské rybvníky,Ratajské rybvníky,Šafranice,Šafranice,Zlámanec,Zlámanec,
,,,,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,a,b,a,b,a,b,a,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,a,b,
No.,Group name:,,,Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,
1,CL00001,Talaromyces_stollii,TalSto,1.96,9.256544503,0,18.57,41.11,6.1,16.45,0.74,1.83,0,9.320848133,2.01,10.33,0,0.62,0,0.14,0,0,0,36.72360248,0.08,0.11,0,3.23,1.65,0.11,0.02,0.65,6.97,0.95,6.22406639,2.41,0.01,0.051072523,0,0.43,0.14,6.46,0.6,1.22,0,1.983002833,0,0.141057935,0.385706183,31.98,0,0,0,6.27,0,11.22,0.47,20.23,0,0,0,0.03,0,259.185901
2,CL00004,Pilidium_concavum,PilCon,3.22,0.178010471,0.01,0.19,1.57,0.73,0.03,0,0,0,0,0,1,0.15,0.84,0.13,8.49,1.32,0,0.02,0.562888199,28.85,0.69,31.28695839,0,0,0,0,1.88,7.47,14.15,0,9.23,3.26,0.153217569,0,0,0,0,0,0.22,0.21,0.519357885,0,0.74559194,3.788996029,0.16,0.567612688,0.25,5.27,0.78,31.04,0,0.04,0.19,2.93,0.33,2.58,0,0.01,165.0426332
3,CL00006,Stagonospora_sp,Sta007,0.86,4.492146597,5.37,4.06,1.39,0.91,1.38,0.16,0.69,0.068645958,0.010763104,0.02,3.4,0.15,10.69,1.8,5.12,3.63,0.06,0.79,2.01863354,4.49,6.32,2.161057951,0.59,0.74,0.16,0,1.71,4.57,1.02,0.355660937,2.73,5.94,1.940755873,0.03,0.02,0.02,12.24,0,1.49,3.24,1.605288008,0.49,0.826196474,25.44526375,0.26,0.81803005,11.95,0.36,0.61,2.46,0.07,0.01,0,0.3,0.15,2.89,17.57,0.03,162.6824422
4,CL00003,Talaromyces_verruculosus,TalVer,52.72,2.020942408,0.02,2.89,0.81,0.01,0,0.03,2.93,0,0,0.02,0.01,0.02,3.55,1.38,0.27,0.01,0.63,0.05,0.097049689,0.07,0.39,0.268788302,0,0.04,0,0,56.99,6.73,0,0,3.85,0,4.468845761,0,0.89,0.05,0.02,0.07,1.66,0,0,0,0.43324937,0.158820193,0.12,0.100166945,0.02,0.24,4.3,0.14,0.01,0.02,1.84,0.24,0.12,0.04,0,0,150.7478627
5,CL00002,Hygrocybe_coccineocrenata,HygCoc,0,0,0,39.34,15.94,0,5.51,16.28,0,0,17.19944032,0,0,0,2.92,0.01,0.31,0.67,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.079035764,0.01,0.5,0,0,0,24.06,0.94,0.02,0,0,0,0,0,0.567214974,0,0,0,0,0.56,0.02,10.34,10.92,0,0,0,0,0,0,146.3456911
7,CL00014,Hygrocybe_conica,HygCon,2.78,5.738219895,0,0,0.33,8.36,0,0,0,0,0,0,0,0,0,0,17.05,32.87,0,0,2.600931677,5.22,0.07,4.053327599,0,0,0,0,0,0,0.43,4.267931239,0,0,20.07150153,0,0,0,0,0,0.89,0,0.566572238,0,0,0,5.61,0,0,0,0,0,0,0.01,0,0,12.39,0,0.39,0,123.6984842
6,CL00009,Cladosporium_cladosporioides,CalCla,3.98,1.623036649,0.74,0.35,0.63,3.24,0.23,0.09,0.51,0.085807448,0.591970724,0.9,6.49,2.3,4.71,3.64,4.05,2.6,0.03,2.15,1.339285714,2.89,9.55,2.300827868,0.05,0.15,0.03,0.03,3.28,3.79,0.69,0.968188105,1.34,0.96,1.608784474,0.42,0.11,0.06,18.33,0.01,1.15,0.16,0.141643059,0.57,0.624685139,1.168462847,0.62,5.008347245,1.49,0.6,0.47,2.09,0.54,0.03,0.03,1.45,0.38,1.09,10.28,0.5,115.2410393
