"","DCA1","DCA2","DCA3","DCA4","Locality","LOC","Plot","LOC_Plot","Treatment"
"BZN_a",-1.90234868961997,-0.153760727556736,0.647252307891664,-0.530430307017812,"Bažanka","BZN","a","BZN_a","Pristine"
"BZN_b",-1.33755941421972,0.154987376825505,-0.22359706225997,0.327897079154615,"Bažanka","BZN","b","BZN_b","Degraded"
"BRK_a",-0.0548856722029945,0.785925047072326,0.284234567762951,-0.522736169751015,"Borky","BRK","a","BRK_a","Pristine"
"BRK_b",-0.0577825817490656,-1.49789791624569,0.599547352613064,0.939326264020108,"Borky","BRK","b","BRK_b","Degraded"
"CHV_a",-0.0561153683587974,-1.3598008327933,0.348910071232925,0.914645011687883,"Chvojnov","CHV","a","CHV_a","Pristine"
"CHV_b",-0.897331618953085,0.441473130267096,-0.228101687534772,0.623703632545036,"Chvojnov","CHV","b","CHV_b","Degraded"
"DVR_a",0.19510004246814,-1.55618977836777,0.939050674448881,-0.0307397642913232,"Dvo?išt?","DVR","a","DVR_a","Pristine"
"DVR_b",0.909569726689855,-1.72836408932379,1.48175665284934,0.126337466123773,"Dvo?išt?","DVR","b","DVR_b","Degraded"
"HLN_a",1.59707944147586,0.292023510359804,-0.00901479635696756,-1.2015695503877,"Hliní?","HLN","a","HLN_a","Pristine"
"HLN_b",2.24644104804692,-2.02950694246791,-2.70526218624672,0.61211100384836,"Hliní?","HLN","b","HLN_b","Degraded"
"HVZ_a",0.198566907509651,-1.65564817977594,0.346810510950432,0.546698381417391,"Hovízna","HVZ","a","HVZ_a","Pristine"
"HVZ_b",2.37274206779486,1.19759501174324,1.99744717053805,-0.773398870250702,"Hovízna","HVZ","b","HVZ_b","Degraded"
"HRC_a",-0.331390580605288,-0.000335231304701367,-0.344677978906392,-0.302686656212835,"Hrachovišt?","HRC","a","HRC_a","Pristine"
"HRC_b",0.0529132146697233,1.53330767228546,-1.38356408370268,-1.70591279070723,"Hrachovišt?","HRC","b","HRC_b","Degraded"
"HRD_a",-1.53322150146501,-0.252892672936979,0.122305785542182,-0.0732630287840756,"Hráde?ek","HRD","a","HRD_a","Pristine"
"HRD_b",-0.702172283424135,1.00696567775729,-0.45660599098581,0.224458932021691,"Hráde?ek","HRD","b","HRD_b","Degraded"
"KLS_a",-1.38827585065706,0.153480762204915,-0.136901338133398,0.936492032664855,"Kališt?","KLS","a","KLS_a","Pristine"
"KLS_b",-1.02351944108482,0.504561331884232,-0.326062446671266,0.477218334718251,"Kališt?","KLS","b","KLS_b","Degraded"
"KKL_a",2.38646200401511,0.489939192756778,0.517152950550863,-0.983268485507562,"Kukla","KKL","a","KKL_a","Pristine"
"KKL_b",0.688358760469593,1.73294908481623,-0.50546121218032,-0.184946005356798,"Kukla","KKL","b","KKL_b","Degraded"
"OKL_a",-0.74327911545026,-0.751643188931509,0.0168902544292662,0.978133245070323,"Oklika","OKL","a","OKL_a","Pristine"
"OKL_b",-1.15541702204751,0.84367974120177,-0.58049185181,0.525367628784229,"Oklika","OKL","b","OKL_b","Degraded"
"NSV_a",-1.19162338101471,0.298743021561185,-0.0141234726574853,0.0207933035781092,"Nad Svitákem","NSV","a","NSV_a","Pristine"
"NSV_b",-1.7601332485467,1.33521447265865,-1.30519439930541,1.28569592603157,"Nad Svitákem","NSV","b","NSV_b","Degraded"
"STR_a",0.501085678069788,-1.6727695078723,-2.00797728544256,-0.773430549234629,"Sta?kovský ryb.","STR","a","STR_a","Pristine"
"STR_b",1.20649394512448,-0.870913818922138,-0.342635533837016,-0.498723307793719,"Sta?kovský ryb.","STR","b","STR_b","Degraded"
"SVD_a",1.70267532129672,0.0481787130529776,0.256792903099668,0.174739480309662,"Starý Vdovec","SVD","a","SVD_a","Pristine"
"SVD_b",3.22950114161536,0.490156669950288,0.986787862159366,-0.251717054751865,"Starý Vdovec","SVD","b","SVD_b","Degraded"
"VLS_b",-1.95969807379144,-0.135232245697782,0.727882497070965,-0.62113949689283,"V Lisovech","VLS","b","VLS_b","Degraded"
"VLS_a",-1.23287878128322,0.253680539756818,-0.0868453948928947,0.141889775716321,"V Lisovech","VLS","a","VLS_a","Pristine"
"VRJ_b",0.0758957472720818,0.669820316192629,-0.120034806118786,0.39917746293446,"V Rájích","VRJ","b","VRJ_b","Degraded"
"VRJ_a",0.883140983301123,-0.0655113516179537,-0.447106806452949,0.848998108698824,"V Rájích","VRJ","a","VRJ_a","Pristine"
"ZHJ_b",-1.83936256495126,0.157654778878067,-0.443722140781272,-0.794828957035452,"Zhejral","ZHJ","b","ZHJ_b","Degraded"
"ZHJ_a",0.345537211863422,1.15933535334268,-1.47560218482999,-0.965788119956589,"Zhejral","ZHJ","a","ZHJ_a","Pristine"
"ZMB_a",-1.0243838080174,0.261384537249521,-0.183977570984607,0.534446671740708,"Žemli?ka baz","ZMB","a","ZMB_a","Pristine"
"ZMB_b",4.44499116411228,0.490782044207147,0.129447420963225,-0.104642814039668,"Žemli?ka baz","ZMB","b","ZMB_b","Degraded"
"ZMK_a",2.22346634738938,-1.09417374787209,-1.73071404423439,1.45356576537206,"Žemli?ka kys","ZMK","a","ZMK_a","Pristine"
"ZMK_b",1.03431046055797,-1.5727006489708,1.23399066381099,0.719141132685031,"Žemli?ka kys","ZMK","b","ZMK_b","Degraded"
"BBN_a",-0.210199806798685,-0.665482110494574,-0.197581186005162,-0.213791323407718,"Babín","BBN","a","BBN_a","Pristine"
"BBN_b",0.691220919581718,-1.1538602381928,0.7576904329216,-0.867567602205947,"Babín","BBN","b","BBN_b","Degraded"
"BHN_a",-1.16060676357971,0.0741982899992846,-0.119578956228796,-0.376627175253195,"Bahna","BHN","a","BHN_a","Pristine"
"BHN_b",0.850134837526775,2.40153633324044,-0.685463797665215,-0.416949870400911,"Bahna","BHN","b","BHN_b","Degraded"
"KCD_a",-0.296497837645118,-1.40455268661652,1.81538726287059,-1.62604980871539,"Kocanda","KCD","a","KCD_a","Pristine"
"KCD_b",0.207157343021332,1.72285305339038,1.77629144717452,1.93236170610315,"Kocanda","KCD","b","KCD_b","Degraded"
"LCL_a",-0.2543354899867,1.15422323470521,-1.08703621532649,0.878081913643163,"Louky u ?erného lesa","LCL","a","LCL_a","Pristine"
"LCL_b",-1.39306308500212,0.396029534900675,-0.309517981387401,-0.252854332777078,"Louky u ?erného lesa","LCL","b","LCL_b","Degraded"
"LVJ_a",-0.419139795567958,-1.11256144790865,-0.377729356087056,1.2782926399962,"Louky v Jeníkov?","LVJ","a","LVJ_a","Pristine"
"LVJ_b",-1.11883230956282,0.828364838736438,-0.472583220702726,-0.263389327113335,"Louky v Jeníkov?","LVJ","b","LVJ_b","Degraded"
"NVS_a",-0.615532585220061,0.866810874120545,-0.340782692238551,0.324412829454483,"Návesník","NVS","a","NVS_a","Pristine"
"NVS_b",0.850130142208654,2.11828843291487,-0.591016743247854,0.391033484907531,"Návesník","NVS","b","NVS_b","Degraded"
