Species,value
Acrotritia ardua,3
Adoristes ovatus,3
Achipteria coleoptrata,3
Astegistes pilosus,2
Banksinoma lanceolata,3
Berniniella sigma,3
Brachychthonius berlesei,2
Brachychthonius impressus,3
Caenobelba montana,2
Carabodes rugosior,3
Cepheus cepheiformis,3
Ceratoppia quadridentata,3
Ceratoppia sexpilosa,2
Ceratozetes gracilis,3
Ceratozetes mediocris,3
Cultroribula bicultrata,3
Damaeus clavipes,3
Dissorhina ornata,3
Edwardzetes edwardsi,3
Eniochthonius minutissimus,3
Eobrachychthonius longisetosus,3
Eupelops occultus,3
Eupelops plicatus,2
Eupelops strenzkei,2
Euzetes globulus,3
Fosseremus laciniatus,3
Fuscozetes fuscipes,3
Galumna obvia,3
Gustavia microcephala,3
Hermannia convexa,2
Hoplopthiracarus illinoisensis,1
Hydrozetes confervae,1
Hydrozetes lacustris,1
Hypochthonius rufulus,2
Chamobates cuspidatus,3
Chamobates voigtsi,3
Liacarus coracinus,3
Liebstadia similis,3
Limnozetes ciliatus,1
Liochthonius alpestris,3
Liochthonius brevis,3
Liochthonius furcillatus,2
Liochthonius hystricinus,3
Liochthonius lapponicus,2
Liochthonius muscorum,3
Liochthonius peduncularius,2
Liochthonius perfusorius,2
Liochthonius simplex,3
Liochthonius tuxeni,3
Malaconothrus monodactylus,1
Microppia minus,3
Minunthozetes semirufus,3
Mixochthonius pilososetosus,3
Mucronothrus nasalis,1
Nanhermannia comitalis,3
Nanhermannia coronata,2
Neobrachyochthonius marginatus,3
Nothrus palustris,3
Nothus pratensis,1
Oppiella neerlandica,2
Oppiella nova,3
Oppiella propinqua,3
Oppiella subpectinata,3
Oppiella uliginosa,3
Parachipteria willmanni,2
Pergalumna nervosa,2
Pilogalumna tenuiclava,2
Platynothrus peltifer,3
Platynothrus thori,2
Podoribates longipes,3
Poecilochthonius spiciger,3
Punctoribates sellnicki,2
Quadroppia maritalis,3
Ramusella furcata,2
Sellnickochthonius cricoides,2
Sellnickochthonius hungaricus,3
Sellnickochthonius zelawaiensis,3
Scheloribates circumcarinatus,2
Scheloribates laevigatus,3
Scheloribates latipes,3
Scheloribates pallidulus,3
Steganacarus carinatus,3
Steganacarus applicatus,3
Steganacarus spinosus,3
Steganacarus striculus,2
Suctobelba atomaria,3
Suctobelba granulata,3
Suctobelba trigona,3
Suctobelbella acutidens,3
Suctobelbella lobata,2
Suctobelbella arcana,3
Suctobelbella falcata,3
Suctobelbella forsslundi,3
Suctobelbella latirostris,2
Suctobelbella palustris,2
Suctobelbella perforata,3
Suctobelbella sarekensis,3
Suctobelbella similis,3
Suctobelbella singularis,3
Suctobelbella subcornigera,3
Suctobelbella subtrigona,3
Suctobelbella tuberculata,2
Synchthonius crenulatus,2
Tectocepheus velatus,3
Trhypochthoniellus longisetus,1
Trhypochthonius sphagnicola,1
Trichoribates incisellus,3
Trimalaconothrus angulatus,1
Trimalaconothrus foveolatus,1
Trimalaconothrus glaber,1
Trimalaconothrus maior,1
Trimalaconothrus sculptus,1
Trimalaconothrus vietsi,1
Zetomimus furcatus,1
,
,
,
,
1 = raseliniste,
2= raseliniste + další biotopy,
3= obecny vyskyt,
