Species,Specialization,short_name,explanation
Acrotritia ardua,3,AcrArd,1 = raseliniste
Adoristes ovatus,3,AdoOva,2= raseliniste + další biotopy
Achipteria coleoptrata,3,AchCol,3= obecny vyskyt
Astegistes pilosus,2,AstPil,
Banksinoma lanceolata,3,BanLan,
Berniniella sigma,3,BerSig,
Brachychthonius berlesei,2,BraBer,
Brachychthonius impressus,3,BraImp,
Caenobelba montana,2,CaeMon,
Carabodes rugosior,3,CarRug,
Cepheus cepheiformis,3,CepCep,
Ceratoppia quadridentata,3,CerQua,
Ceratoppia sexpilosa,2,CerSex,
Ceratozetes gracilis,3,CerGra,
Ceratozetes mediocris,3,CerMed,
Cultroribula bicultrata,3,CulBic,
Damaeus clavipes,3,DamCla,
Dissorhina ornata,3,DisOrn,
Edwardzetes edwardsi,3,EdwEdw,
Eniochthonius minutissimus,3,EniMin,
Eobrachychthonius longisetosus,3,EobLon,
Eupelops occultus,3,EupOcc,
Eupelops plicatus,2,EupPli,
Eupelops strenzkei,2,EupStr,
Euzetes globulus,3,EuzGlo,
Fosseremus laciniatus,3,FosLac,
Fuscozetes fuscipes,3,FusFus,
Galumna obvia,3,GalObv,
Gustavia microcephala,3,GusMic,
Hermannia convexa,2,HerCon,
Hoplopthiracarus illinoisensis,1,HopIll,
Hydrozetes confervae,1,HydCon,
Hydrozetes lacustris,1,HydLac,
Hypochthonius rufulus,2,HypRuf,
Chamobates cuspidatus,3,ChaCus,
Chamobates voigtsi,3,ChaVoi,
Liacarus coracinus,3,LiaCor,
Liebstadia similis,3,LieSim,
Limnozetes ciliatus,1,LimCil,
Liochthonius alpestris,3,LioAlp,
Liochthonius brevis,3,LioBre,
Liochthonius furcillatus,2,LioFur,
Liochthonius hystricinus,3,LioHys,
Liochthonius lapponicus,2,LioLap,
Liochthonius muscorum,3,LioMus,
Liochthonius peduncularius,2,LioPed,
Liochthonius perfusorius,2,LioPer,
Liochthonius simplex,3,LioSim,
Liochthonius tuxeni,3,LioTux,
Malaconothrus monodactylus,1,MalMon,
Microppia minus,3,MicMin,
Minunthozetes semirufus,3,MinSem,
Mixochthonius pilososetosus,3,MixPil,
Mucronothrus nasalis,1,MucNas,
Nanhermannia comitalis,3,NanCom,
Nanhermannia coronata,2,NanCor,
Neobrachyochthonius marginatus,3,NeoMar,
Nothrus palustris,3,NotPal,
Nothus pratensis,1,NotPra,
Oppiella neerlandica,2,OppNee,
Oppiella nova,3,OppNov,
Oppiella propinqua,3,OppPro,
Oppiella subpectinata,3,OppSub,
Oppiella uliginosa,3,OppUli,
Parachipteria willmanni,2,ParWil,
Pergalumna nervosa,2,PerNer,
Pilogalumna tenuiclava,2,PilTen,
Platynothrus peltifer,3,PlaPel,
Platynothrus thori,2,PlaTho,
Podoribates longipes,3,PodLon,
Poecilochthonius spiciger,3,PoeSpi,
Punctoribates sellnicki,2,PunSel,
Quadroppia maritalis,3,QuaMar,
Ramusella furcata,2,RamFur,
Sellnickochthonius cricoides,2,SelCri,
Sellnickochthonius hungaricus,3,SelHun,
Sellnickochthonius zelawaiensis,3,SelZel,
Scheloribates circumcarinatus,2,SchCir,
Scheloribates laevigatus,3,SchLae,
Scheloribates latipes,3,SchLat,
Scheloribates pallidulus,3,SchPal,
Steganacarus carinatus,3,SteCar,
Steganacarus applicatus,3,SteApp,
Steganacarus spinosus,3,SteSpi,
Steganacarus striculus,2,SteStr,
Suctobelba atomaria,3,SucAto,
Suctobelba granulata,3,SucGra,
Suctobelba trigona,3,SucTri,
Suctobelbella acutidens,3,SucAcu,
Suctobelbella lobata,2,SucLob,
Suctobelbella arcana,3,SucArc,
Suctobelbella falcata,3,SucFal,
Suctobelbella forsslundi,3,SucFor,
Suctobelbella latirostris,2,SucLat,
Suctobelbella palustris,2,SucPal,
Suctobelbella perforata,3,SucPer,
Suctobelbella sarekensis,3,SucSar,
Suctobelbella similis,3,SucSim,
Suctobelbella singularis,3,SucSin,
Suctobelbella subcornigera,3,SucSbc,
Suctobelbella subtrigona,3,SucSbt,
Suctobelbella tuberculata,2,SucTub,
Synchthonius crenulatus,2,SynCre,
Tectocepheus velatus,3,TecVel,
Trhypochthoniellus longisetus,1,TrhLon,
Trhypochthonius sphagnicola,1,TrhSph,
Trichoribates incisellus,3,TriInc,
Trimalaconothrus angulatus,1,TriAng,
Trimalaconothrus foveolatus,1,TriFov,
Trimalaconothrus glaber,1,TriGla,
Trimalaconothrus maior,1,TriMai,
Trimalaconothrus sculptus,1,TriScu,
Trimalaconothrus vietsi,1,TriVie,
Zetomimus furcatus,1,ZetFur,
