Locality,AcrArd,AdoOva,AchCol,AstPil,BanLan,BerSig,BraImp,BraBer,CaeMon,CarRug,CepCep,CerQua,CerSex,CerGra,CerMed,CulBic,DamCla,DisOrn,EdwEdw,EniMin,EobLon,EupOcc,EupPli,EupStr,EuzGlo,FosLac,FusFus,GalObv,GusMic,HerCon,HopIll,HydCon,HydLac,HypRuf,ChaCus,ChaVoi,LiaCor,LieSim,LimCil,LioAlp,LioBre,LioFur,LioHys,LioLap,LioMus,LioPed,LioPer,LioSim,LioTux,MalMon,MicMin,MinSem,MixPil,MucNas,NanCom,NanCor,NeoMar,NotPal,NotPra,OppNee,OppNov,OppPro,OppSub,OppUli,ParWil,PerNer,PilTen,PlaPel,PlaTho,PodLon,PoeSpi,PunSel,QuaMar,RamFur,SelCri,SelHun,SelZel,SchCir,SchLae,SchLat,SchPal,SteCar,SteApp,SteSpi,SteStr,SucAto,SucGra,SucTri,SucAcu,SucLob,SucArc,SucFal,SucFor,SucLat,SucPal,SucPer,SucSar,SucSim,SucSin,SucSbc,SucSbt,SucTub,SynCre,TecVel,TrhLon,TrhSph,TriInc,TriAng,TriFov,TriGla,TriMai,TriScu,TriVie,ZetFur
Specialization,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,1,1,1,2,3,3,3,3,1,3,3,2,3,2,3,2,2,3,3,1,3,3,3,1,3,2,3,3,1,2,3,3,3,3,2,2,2,3,2,3,3,2,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,2,2,3,1,1,3,1,1,1,1,1,1,1
LCL_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,6,0,3,23,2,0,0,0,0,94,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,10,0,0,7,11,0,5,1,0,0,0,0,5,0,0,0,4,0,0,0,0,44,0,0,0,0,11,1,0,0,0,0,0,13,0,3,0,0,6,0,0,0,1,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LCL_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
BHN_A,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,14,0,0,0,0,0,53,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,39,0,0,0,0,0,24,0,0,91,1,0,0,0,9,0,0,0,1,0,0,0,0,25,0,1,0,0,2,4,0,0,0,0,0,14,0,1,0,0,1,0,0,20,0,1,0,0,0,0,8,0,0,0,9,0,0,0,0,1,0,0,0,0,0
BHN_B,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,6,9,0,0,0,0,0,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,19,0,0,0,0,0,17,0,0,1,0,0,0,0,18,0,0,0,9,9,0,0,0,5,0,0,0,0,9,14,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,1,0,0
ZLM_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,0,0,2,1,0,0,0,23,0,0,0,0,0,0,0,2,0
ZLM_B,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,23,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,22,0,10,0,0,0,0,0,0,0,7,8,0,0,0,0,0,2,0,0,2,0,11,4,2,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
LVJ_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,4,0,0,0,1,0,5,0,0,3,0,2,2,0,8,11,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LVJ_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,15,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NVS_A,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,8,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
