Locality,Total,Fen_specialists,Fen_tolerant,Generalist
LCL_A,27,2,9,16
LCL_B,10,1,4,5
BHN_A,25,3,8,14
BHN_B,24,4,5,15
ZLM_A,16,3,7,6
ZLM_B,24,1,6,17
LVJ_A,20,4,6,10
LVJ_B,12,2,3,7
NVS_A,13,2,6,5
NVS_B,16,2,4,10
PKV_A,11,4,4,3
PKV_B,28,5,8,15
BBN_A,9,4,4,1
BBN_B,10,3,4,3
KCD_A,22,2,7,13
KCD_B,29,2,5,22
BZN_A,17,4,5,8
BZN_B,23,4,6,13
ZHJ_A,11,3,3,5
ZHJ_B,19,3,8,8
BRK_A,16,5,4,7
BRK_B,11,2,4,5
KLS_A,12,2,6,4
KLS_B,25,2,11,12
VLS_A,3,2,0,1
VLS_B,6,2,2,2
PRZ_A,12,3,6,3
PRZ_B,18,3,4,11
HRC_A,8,2,4,2
HRC_B,6,3,2,1
OKL_A,19,2,7,10
OKL_B,12,1,3,8
NSV_A,12,3,4,5
NSV_B,19,3,6,10
CHV_A,9,2,4,3
CHV_B,25,3,7,15
KKL_A,5,2,2,1
KKL_B,7,2,3,2
HRD_A,14,5,5,4
HRD_B,10,3,4,3
STR_A,19,8,7,4
STR_B,25,5,14,6
SVD_A,6,4,1,1
SVD_B,31,4,9,18
ZMB_A,15,5,4,6
ZMB_B,8,2,3,3
ZMK_A,9,4,3,2
ZMK_B,17,4,4,9
DVR_A,18,4,9,5
DVR_B,19,5,7,7
VRJ_A,6,2,1,3
VRJ_B,31,3,9,19
HVZ_A,20,6,7,7
HVZ_B,23,2,7,14
HLN_A,11,4,3,4
HLN_B,13,2,5,6
SFR_A,6,1,2,3
SFR_B,18,1,7,10
RTR_A,34,2,7,25
RTR_B,25,1,7,17
