Species,Specialization,Specialization_Words,Taxonomy
Achnanthidium sp.,0,Non_wetland,Zygnematophyceae
Actinotaenium crassiusculum,3,Fen_specialist,Zygnematophyceae
Actinotaenium cucurbita,2,Wetland_specialist,Zygnematophyceae
Actinotaenium turgidum,2,Wetland_specialist,Zygnematophyceae
Amphora s.l.,0,Non_wetland,Zygnematophyceae
Anabaena oscillarioides,0,Non_wetland,Cyanobacteria
Anabaena sp.,0,Non_wetland,Cyanobacteria
Anabaena sp. II,0,Non_wetland,Cyanobacteria
Anathece minutissima,0,Non_wetland,Cyanobacteria
Anisonema acinus,0,Non_wetland,Euglenida
Anisonema ovale,0,Non_wetland,Euglenida
Anisonema prosgeobium,?,Unknown,Euglenida
Anisonema variabile,?,Unknown,Euglenida
Ankistrodesmus falcatus,2,Wetland_specialist,Chlorophyta
Ankistrodesmus spiralis,2,Wetland_specialist,Chlorophyta
Anthophysa vegetans,0,Non_wetland,Chrysophyceae
Aphanocapsa holsatica,1,Wetland_tolerant,Cyanobacteria
Aphanocapsa hyalina,2,Wetland_specialist,Cyanobacteria
Aphanocapsa sp.,0,Non_wetland,Cyanobacteria
Aphanothece cf. microscopica,2,Wetland_specialist,Cyanobacteria
Aphanothece sp.,0,Non_wetland,Cyanobacteria
Aphanothece stagnina,1,Wetland_tolerant,Cyanobacteria
"Astasia ""velox"" nom. prov.",?,Unknown,Euglenida
Astasia clava,0,Non_wetland,Euglenida
Astasia conica,?,Unknown,Euglenida
Astasia cylindrica,0,Non_wetland,Euglenida
Astasia dangeardii,?,Unknown,Euglenida
Astasia fustis,?,Unknown,Euglenida
Astasia harrisii,?,Unknown,Euglenida
Astasia parvula,?,Unknown,Euglenida
Astasia praecompleta,0,Non_wetland,Euglenida
Astasia pygmaea,?,Unknown,Euglenida
Astasia skadowskii,0,Non_wetland,Euglenida
Astasia tortuosa,0,Non_wetland,Euglenida
Asterionella formosa,1,Wetland_tolerant,Bacillariophyceae
Atractomonas laevis,?,Unknown,Euglenida
Aulacoseira granulata,1,Wetland_tolerant,Bacillariophyceae
Aulacoseira sp.,0,Non_wetland,Bacillariophyceae
Bambusina borreri,3,Fen_specialist,Zygnematophyceae
Binuclearia tectorum,0,Non_wetland,Chlorophyta
Botryosphaerella sudetica,3,Fen_specialist,Chlorophyta
Caloneis sp.,0,Non_wetland,Bacillariophyceae
Calycimonas physaloides,?,Unknown,Euglenida
Calycimonas robusta,?,Unknown,Euglenida
Carteria sp.,0,Non_wetland,Chlorophyta
Cavinula sp.,0,Non_wetland,Bacillariophyceae
cf. Eustigmatos,0,Non_wetland,Eustigmatophyceae
cf. Lepochromulina,0,Non_wetland,Chrysophyceae
cf. Neidium,0,Non_wetland,Bacillariophyceae
"cf. Scytonema (nev?tví se, neheterocytuje)",0,Non_wetland,Bacillariophyceae
cf. Ulnaria acus,0,Non_wetland,Bacillariophyceae
Chaetophoropsis elegans,0,Non_wetland,Chlorophyta
Chamaepinnularia sp.,0,Non_wetland,Bacillariophyceae
Chilomonas insignis,0,Non_wetland,Cryptophyta
Chlamydomonas cf. acidophila,3,Fen_specialist,Chlorophyta
Chlamydomonas sp.,0,Non_wetland,Chlorophyta
Chlorella sp.,0,Non_wetland,Chlorophyta
Chloromonas sp.,0,Non_wetland,Chlorophyta
Chromulina sp. I (cca 8 um),2,Wetland_specialist,Chrysophyceae
Chromulina sp. II (cca 20 um),2,Wetland_specialist,Chrysophyceae
Chromulina sp. III (cca 30 um),2,Wetland_specialist,Chrysophyceae
"Chromulina sp. IV (kulatá, cca 13 um)",2,Wetland_specialist,Chrysophyceae
Chroococcus turgidus,0,Non_wetland,Cyanobacteria
Chroomonas sp.,0,Non_wetland,Cryptophyta
Chrysocrinus sp.,0,Non_wetland,Chrysophyceae
Chrysopyxis paludosa,3,Fen_specialist,Chrysophyceae
Closterium abruptum,2,Wetland_specialist,Zygnematophyceae
Closterium acerosum,0,Non_wetland,Zygnematophyceae
Closterium acutum,0,Non_wetland,Zygnematophyceae
Closterium attenuatum,2,Wetland_specialist,Zygnematophyceae
Closterium baillyanum,0,Non_wetland,Zygnematophyceae
Closterium closterioides,2,Wetland_specialist,Zygnematophyceae
Closterium cornu,2,Wetland_specialist,Zygnematophyceae
Closterium costatum,2,Wetland_specialist,Zygnematophyceae
Closterium cynthia,2,Wetland_specialist,Zygnematophyceae
Closterium delpontei,2,Wetland_specialist,Zygnematophyceae
Closterium dianae,2,Wetland_specialist,Zygnematophyceae
Closterium dianae var. arcuatum,2,Wetland_specialist,Zygnematophyceae
Closterium gracile,2,Wetland_specialist,Zygnematophyceae
Closterium intermedium,2,Wetland_specialist,Zygnematophyceae
Closterium juncidum,2,Wetland_specialist,Zygnematophyceae
Closterium kuetzingii,0,Non_wetland,Zygnematophyceae
Closterium limneticum,0,Non_wetland,Zygnematophyceae
Closterium littorale,0,Non_wetland,Zygnematophyceae
Closterium lunula,0,Non_wetland,Zygnematophyceae
Closterium moniliferum,0,Non_wetland,Zygnematophyceae
Closterium moniliferum var. submoniliferum,0,Non_wetland,Zygnematophyceae
Closterium navicula,0,Non_wetland,Zygnematophyceae
Closterium parvulum,0,Non_wetland,Zygnematophyceae
Closterium praelongum,0,Non_wetland,Zygnematophyceae
Closterium ralfsii,2,Wetland_specialist,Zygnematophyceae
Closterium regulare,0,Non_wetland,Zygnematophyceae
Closterium rostratum,2,Wetland_specialist,Zygnematophyceae
Closterium setaceum,2,Wetland_specialist,Zygnematophyceae
Closterium strigosum,1,Wetland_tolerant,Zygnematophyceae
Closterium striolatum,2,Wetland_specialist,Zygnematophyceae
Closterium tumidulum,1,Wetland_tolerant,Zygnematophyceae
Closterium venus,0,Non_wetland,Zygnematophyceae
Coelastrum astroideum,1,Wetland_tolerant,Chlorophyta
Coelastrum cambricum,2,Wetland_specialist,Chlorophyta
Coelastrum pulchrum,0,Non_wetland,Chlorophyta
Coelastrum sphaericum,2,Wetland_specialist,Chlorophyta
Cosmarium botrytis,0,Non_wetland,Zygnematophyceae
Cosmarium brebissonii,?,Unknown,Zygnematophyceae
Cosmarium caelatum,?,Unknown,Zygnematophyceae
Cosmarium cf. formosulum,0,Non_wetland,Zygnematophyceae
Cosmarium connatum,2,Wetland_specialist,Zygnematophyceae
Cosmarium margaritiferum,2,Wetland_specialist,Zygnematophyceae
Cosmarium neodepressum,2,Wetland_specialist,Zygnematophyceae
Cosmarium pachydermum,2,Wetland_specialist,Zygnematophyceae
Cosmarium pyramidatum,2,Wetland_specialist,Zygnematophyceae
Cosmarium quadratum,0,Non_wetland,Zygnematophyceae
Cosmarium reniforme,0,Non_wetland,Zygnematophyceae
Cosmarium sp.,0,Non_wetland,Zygnematophyceae
Cosmarium tetraophthalmum,0,Non_wetland,Zygnematophyceae
Cryptomonas curvata,0,Non_wetland,Cryptophyta
Cryptomonas marssonii,0,Non_wetland,Cryptophyta
Cryptomonas sp. I,0,Non_wetland,Cryptophyta
Cryptomonas sp. II (ca 30 um),0,Non_wetland,Cryptophyta
Cryptomonas paramaecium,0,Non_wetland,Cryptophyta
Cyanothece major,2,Wetland_specialist,Cryptophyta
Cylindrocystis brebissoni,2,Wetland_specialist,Zygnematophyceae
Cylindrospermum stagnale,2,Wetland_specialist,Cyanobacteria
Cymbella cf. aspera,0,Non_wetland,Bacillariophyceae
Cymbella sp. (cca 130-170 um),0,Non_wetland,Bacillariophyceae
Cymbopleura naviculiformis,0,Non_wetland,Bacillariophyceae
Denticula sp.,0,Non_wetland,Bacillariophyceae
Desmodesmus abundans,0,Non_wetland,Chlorophyta
Desmodesmus abundans sensu Scenedesmus sempervirens,0,Non_wetland,Chlorophyta
Desmodesmus armatus,0,Non_wetland,Chlorophyta
Desmodesmus cf. armatus,0,Non_wetland,Chlorophyta
Desmodesmus cf. pannonicus,?,Unknown,Chlorophyta
Desmodesmus communis,0,Non_wetland,Chlorophyta
Desmodesmus denticulatus,0,Non_wetland,Chlorophyta
Desmodesmus magnus,0,Non_wetland,Chlorophyta
Desmodesmus opoliensis,0,Non_wetland,Chlorophyta
Dictyosphaerium ehrenbergianum,0,Non_wetland,Chlorophyta
Dinematomonas dimorphum,?,Unknown,Euglenida
Dinematomonas litoralis,0,Non_wetland,Euglenida
Dinobryon cylindricum,0,Non_wetland,Chrysophyceae
Dinobryon pediforme,3,Fen_specialist,Chrysophyceae
Dinobryon sp.,0,Non_wetland,Chrysophyceae
Diploneis elliptica-like,0,Non_wetland,Bacillariophyceae
Diploneis sp.,0,Non_wetland,Bacillariophyceae
Dispora crucigenioides,2,Wetland_specialist,Chlorophyta
Distigma acutum,?,Unknown,Euglenida
Distigma cf. gracilis,?,Unknown,Euglenida
Distigma curvatum,2,Wetland_specialist,Euglenida
Distigma elegans,?,Unknown,Euglenida
Distigma glabrum,?,Unknown,Euglenida
Distigma gracilis,?,Unknown,Euglenida
Distigma proteus,0,Non_wetland,Euglenida
Distigma pseudoproteus,?,Unknown,Euglenida
Distigma sennii,?,Unknown,Euglenida
"Distigma sp. (""costatum"")",3,Fen_specialist,Euglenida
Distigma striatogranulatum,?,Unknown,Euglenida
Distigma tenue,?,Unknown,Euglenida
Dolichospermum sp.,0,Non_wetland,Cyanobacteria
Dylakosoma pelophilum,3,Fen_specialist,Euglenida
Dylakosoma symbionticum,3,Fen_specialist,Euglenida
Encyonema? (cca 30 um),0,Non_wetland,Bacillariophyceae
"Encyonema? (cca 40x6,5 um)",0,Non_wetland,Bacillariophyceae
Encyonema? (cca 60 um),0,Non_wetland,Bacillariophyceae
Encyonopsis sp.,0,Non_wetland,Bacillariophyceae
Entosiphon ovatus,0,Non_wetland,Euglenida
Entosiphon sulcatus,0,Non_wetland,Euglenida
Epipyxis utriculus,0,Non_wetland,Chrysophyceae
Epithemia gibba,0,Non_wetland,Bacillariophyceae
Epithemia? (cca 50 um),0,Non_wetland,Bacillariophyceae
Eremosphaera viridis,3,Fen_specialist,Chlorophyta
Euastrum ampullaceum,2,Wetland_specialist,Zygnematophyceae
Euastrum ansatum,0,Non_wetland,Zygnematophyceae
Euastrum bidentatum,0,Non_wetland,Zygnematophyceae
Euastrum binale,3,Fen_specialist,Zygnematophyceae
Euastrum crassum,2,Wetland_specialist,Zygnematophyceae
Euastrum denticulatum,0,Non_wetland,Zygnematophyceae
Euastrum gayanum,0,Non_wetland,Zygnematophyceae
Euastrum minimum,0,Non_wetland,Zygnematophyceae
Euastrum oblongum,0,Non_wetland,Zygnematophyceae
Euastrum verrucosum,0,Non_wetland,Zygnematophyceae
Eucapsis alpina,2,Wetland_specialist,Cyanobacteria
Euglena adhaerens,0,Non_wetland,Euglenida
Euglena agilis,0,Non_wetland,Euglenida
Euglena deses,0,Non_wetland,Euglenida
Euglena deses sensu intermedia,0,Non_wetland,Euglenida
Euglena longa,3,Fen_specialist,Euglenida
Euglena mutabilis,2,Wetland_specialist,Euglenida
Euglena sp.,0,Non_wetland,Euglenida
Euglenaformis proxima,0,Non_wetland,Euglenida
Euglenaria anabaena,0,Non_wetland,Euglenida
Euglenaria caudata,0,Non_wetland,Euglenida
Euglenopsis vacuolata,?,Unknown,Euglenida
"Eunotia (cca 25 um, drobná, zahnutá, kapitátní)",2,Wetland_specialist,Bacillariophyceae
Eunotia (cca 30+-10 um),2,Wetland_specialist,Bacillariophyceae
"Eunotia (cca 35 um, zahnutá, kapitátní)",2,Wetland_specialist,Bacillariophyceae
Eunotia bilunaris-group,3,Fen_specialist,Bacillariophyceae
Eunotia sp. ,2,Wetland_specialist,Bacillariophyceae
"Eunotia sp. (vláknitá, valvár tenký)",2,Wetland_specialist,Bacillariophyceae
Eustigmatophyceae s.l.,0,Non_wetland,Eustigmatophyceae
Fragilaria (cca 70-160x3-6 um),0,Non_wetland,Bacillariophyceae
Frustulia (cca 55+-10 um),0,Non_wetland,Bacillariophyceae
Frustulia cf. vulgaris,0,Non_wetland,Bacillariophyceae
Geitlerinema splendidum,0,Non_wetland,Cyanobacteria
Gloeocystis cf. vesiculosa,0,Non_wetland,Chlorophyta
Gomphonema acuminatum,0,Non_wetland,Bacillariophyceae
Gomphonema sp. (n?co jako parvulum),0,Non_wetland,Bacillariophyceae
Goniomonas truncata,0,Non_wetland,Cryptophyta
Gymnodinium cf. cnecoides,2,Wetland_specialist,Dinophyta
Gymnodinium cf. uberrimum,0,Non_wetland,Dinophyta
Gymnodinium planum,0,Non_wetland,Dinophyta
Gymnodinium sp.,0,Non_wetland,Dinophyta
Gymnodinium triceratium,3,Fen_specialist,Dinophyta
Gyropaigne kosmos,?,Unknown,Euglenida
Gyropaigne lefevrei,3,Fen_specialist,Euglenida
Hapalosiphon pumilus,2,Wetland_specialist,Cyanobacteria
Heteroleibleinia pusilla,0,Non_wetland,Cyanobacteria
Heteronema acutissimum,0,Non_wetland,Euglenida
Heteronema citriformis,?,Unknown,Euglenida
Heteronema mutabile,?,Unknown,Euglenida
Heteronema nebulosum,1,Wetland_tolerant,Euglenida
Heteronema polymorphum,?,Unknown,Euglenida
Heteronema sacculus,?,Unknown,Euglenida
Humidophila perpusilla,0,Non_wetland,Bacillariophyceae
Humidophila sp.,0,Non_wetland,Bacillariophyceae
Hyalotheca dissiliens,0,Non_wetland,Zygnematophyceae
Jenningsia deflexum,0,Non_wetland,Euglenida
Jenningsia granulifera,?,Unknown,Euglenida
Jenningsia inflexum,0,Non_wetland,Euglenida
Jenningsia macrostoma,?,Unknown,Euglenida
Jenningsia sacculus,1,Wetland_tolerant,Euglenida
Jenningsia sp.,0,Non_wetland,Euglenida
Kamptonema cf. chlorinum,0,Non_wetland,Cyanobacteria
Kamptonema formosum,0,Non_wetland,Cyanobacteria
Kamptonema sp.,0,Non_wetland,Cyanobacteria
Katodinium sp.,0,Non_wetland,Dinophyta
Khawkinea sp.,2,Wetland_specialist,Euglenida
Kirchneriella obesa,0,Non_wetland,Chlorophyta
Klebsormidium sp.,0,Non_wetland,Klebsormidiophyta
Komvophoron sp.,0,Non_wetland,Cyanobacteria
Lacunastrum gracillimum,0,Non_wetland,Chlorophyta
Lemmermannia tetrapedia,1,Wetland_tolerant,Chlorophyta
"Lepocinclis ""longissima var. hyalina"" nom. prov.",?,Unknown,Euglenida
Lepocinclis acus,0,Non_wetland,Euglenida
Lepocinclis cyclidiopsis,?,Unknown,Euglenida
Lepocinclis fusca,0,Non_wetland,Euglenida
Lepocinclis spirogyroides,0,Non_wetland,Euglenida
Leptolyngbya sp.,0,Non_wetland,Cyanobacteria
Limnococcus limneticus,0,Non_wetland,Cyanobacteria
Limnothrix redekei,1,Wetland_tolerant,Cyanobacteria
Luticola sp.,0,Non_wetland,Bacillariophyceae
Mallomonas sp.,0,Non_wetland,Chrysophyceae
Menoidium bibacillatum,?,Unknown,Euglenida
Menoidium gladius,?,Unknown,Euglenida
Menoidium minimum,0,Non_wetland,Euglenida
Menoidium pellucidum,0,Non_wetland,Euglenida
Meridion sp.,0,Non_wetland,Bacillariophyceae
Merismopedia sphagnicola,3,Fen_specialist,Cyanobacteria
Mesotaenium macrococcum,0,Non_wetland,Zygnematophyceae
Micrasterias americana,0,Non_wetland,Zygnematophyceae
Micrasterias papilifera,0,Non_wetland,Zygnematophyceae
Micrasterias ralfsii,3,Fen_specialist,Zygnematophyceae
Micrasterias rotata,0,Non_wetland,Zygnematophyceae
Micrasterias thomasiana,0,Non_wetland,Zygnematophyceae
Micrasterias thomasiana var. notata,0,Non_wetland,Zygnematophyceae
Micrasterias truncata,2,Wetland_specialist,Zygnematophyceae
Microcoleus sp.,0,Non_wetland,Cyanobacteria
Microcystis sp.,1,Wetland_tolerant,Cyanobacteria
Microcystis viridis,1,Wetland_tolerant,Cyanobacteria
Microcystis wesenbergii,1,Wetland_tolerant,Cyanobacteria
Microspora sp.,2,Wetland_specialist,Chlorophyta
Microthamnion kuetzingianum,2,Wetland_specialist,Chlorophyta
Microthamnion strictissimum,3,Fen_specialist,Chlorophyta
Monactinus simplex,0,Non_wetland,Chlorophyta
Monoraphidium contortum,1,Wetland_tolerant,Chlorophyta
Monoraphidium griffithii,1,Wetland_tolerant,Chlorophyta
Mougeotia sp.,0,Non_wetland,Zygnematophyceae
Mucidosphaerium sp.,0,Non_wetland,Chlorophyta
Navicula (cca 30 um),0,Non_wetland,Bacillariophyceae
Navicula cf. radiosa,0,Non_wetland,Bacillariophyceae
Navicula cf. rhynchocephala,0,Non_wetland,Bacillariophyceae
Neglectella solitaria,2,Wetland_specialist,Chlorophyta
Neidium-like,0,Non_wetland,Bacillariophyceae
Netrium digitus,2,Wetland_specialist,Zygnematophyceae
Netrium interruptum,2,Wetland_specialist,Zygnematophyceae
"Nitzschia (cca 180, vypadá jak Ulnaria)",0,Non_wetland,Bacillariophyceae
Nitzschia (cca 35+-10 um),0,Non_wetland,Bacillariophyceae
Nitzschia cf. nana,0,Non_wetland,Bacillariophyceae
Nitzschia sp.,0,Non_wetland,Bacillariophyceae
Nostoc commune,0,Non_wetland,Cyanobacteria
Nostoc paludosum,0,Non_wetland,Cyanobacteria
Nostoc sp.,0,Non_wetland,Cyanobacteria
Notosolenus apocamptus,0,Non_wetland,Euglenida
Notosolenus mediocanellatus,0,Non_wetland,Euglenida
