Locality,Pasti Cerven,Smyk Kveten,Smyk Cerven,Pasti Kveten,All Combined,Smyk Method,Pasti Method,Kveten Month,Cerven Month
BBN_A,2,5,3,0,9,7,2,5,5
BBN_B,3,4,5,2,10,6,4,6,8
BHN_A,2,4,2,3,8,5,3,7,4
BHN_B,0,3,0,5,8,3,5,8,0
BZN_A,2,2,2,0,4,2,2,2,4
BZN_B,0,4,2,0,5,5,0,4,2
BRK_A,3,2,3,4,10,5,5,6,6
BRK_B,1,5,4,3,12,8,4,8,5
DVR_A,0,2,6,4,10,6,4,6,6
DVR_B,4,4,5,2,12,8,4,6,9
HLN_A,0,6,4,2,10,8,2,8,4
HLN_B,0,1,1,1,3,2,1,2,1
HVZ_A,4,4,5,4,12,8,6,6,9
HVZ_B,5,5,4,5,17,9,8,10,9
HRD_A,0,1,5,2,8,6,2,3,5
HRD_B,1,4,4,1,8,6,2,5,5
HRC_A,0,2,4,0,6,6,0,2,4
HRC_B,1,2,1,2,6,3,3,4,2
CHV_A,1,6,4,1,9,8,1,7,5
CHV_B,3,5,4,4,12,7,6,9,7
KLS_A,1,2,4,1,5,4,1,3,5
KLS_B,0,2,1,1,3,2,1,3,1
KCD_A,1,4,8,1,14,12,2,5,9
KCD_B,2,3,2,3,8,5,4,6,3
KKL_A,1,2,3,1,7,5,2,3,4
KKL_B,0,4,6,1,10,9,1,5,6
LCL_A,1,2,2,1,5,3,2,3,3
LCL_B,1,2,1,0,4,3,1,2,2
LVJ_A,2,3,2,4,9,4,5,7,4
LVJ_B,0,3,4,0,6,6,0,3,4
NSV_A,1,3,5,1,9,7,2,4,6
NSV_B,0,3,0,1,4,3,1,4,0
OKL_A,1,1,3,2,5,3,2,3,4
OKL_B,0,2,4,1,5,4,1,3,4
NVS_A,1,3,0,2,5,3,2,5,1
NVS_B,0,1,0,0,1,1,0,1,0
PRZ_A,1,0,0,1,2,0,2,1,1
PRZ_B,0,0,2,0,2,2,0,0,2
PKV_A,0,4,5,3,12,9,3,7,5
PKV_B,0,4,1,3,7,4,3,7,1
RTR_A,3,2,4,4,11,5,6,6,7
RTR_B,1,6,1,1,7,6,2,7,2
STR_A,0,5,2,1,7,6,1,6,2
STR_B,2,7,4,2,12,8,4,9,6
SVD_A,2,4,3,3,10,7,4,7,4
SVD_B,0,4,7,2,12,10,2,6,7
SFR_A,2,6,4,1,9,8,2,7,6
SFR_B,3,3,4,1,9,6,3,4,7
VLS_A,1,1,6,1,7,6,2,2,6
VLS_B,1,2,3,3,7,4,3,5,4
VRJ_A,0,5,3,2,10,8,2,7,3
VRJ_B,1,1,3,3,7,4,3,4,4
ZHJ_A,2,3,4,0,7,5,2,3,6
ZHJ_B,2,3,5,0,9,7,2,3,7
ZLM_A,1,2,6,1,10,8,2,3,7
ZLM_B,1,2,4,3,8,5,3,5,5
ZMB_A,0,5,2,3,9,6,3,8,2
ZMB_B,3,1,1,1,6,2,4,2,4
ZMK_A,0,10,4,5,19,14,5,15,4
ZMK_B,0,1,3,6,10,4,6,7,3
