Locality,Pasti Cerven,Smyk Kveten,Smyk Cerven,Pasti Kveten,All Combined,Smyk Method,Pasti Method,Kveten Month,Cerven Month
BBN_A,0,0,0,0,0,0,0,0,0
BBN_B,0,0,0,0,0,0,0,0,0
BHN_A,0,0,0,0,0,0,0,0,0
BHN_B,0,0,0,0,0,0,0,0,0
BZN_A,0,0,0,0,0,0,0,0,0
BZN_B,0,0,0,0,0,0,0,0,0
BRK_A,0,0,0,0,0,0,0,0,0
BRK_B,0,0,0,0,0,0,0,0,0
DVR_A,0,0,0,0,0,0,0,0,0
DVR_B,1,0,0,1,1,0,1,1,1
HLN_A,0,0,0,1,1,0,1,1,0
HLN_B,0,0,0,0,0,0,0,0,0
HVZ_A,1,0,0,1,1,0,1,1,1
HVZ_B,2,0,0,2,2,0,2,2,2
HRD_A,1,0,0,0,1,0,1,0,1
HRD_B,0,0,0,0,0,0,0,0,0
HRC_A,0,0,0,0,0,0,0,0,0
HRC_B,1,0,0,0,1,0,1,0,1
CHV_A,0,0,0,1,1,0,1,1,0
CHV_B,1,0,0,1,1,0,1,1,1
KLS_A,0,0,0,0,0,0,0,0,0
KLS_B,0,0,0,0,0,0,0,0,0
KCD_A,0,0,0,0,0,0,0,0,0
KCD_B,0,0,0,0,0,0,0,0,0
KKL_A,0,0,0,0,0,0,0,0,0
KKL_B,0,0,0,1,1,0,1,1,0
LCL_A,0,0,0,0,0,0,0,0,0
LCL_B,0,0,0,0,0,0,0,0,0
LVJ_A,0,0,0,0,0,0,0,0,0
LVJ_B,0,0,0,0,0,0,0,0,0
NSV_A,0,0,0,0,0,0,0,0,0
NSV_B,0,0,0,0,0,0,0,0,0
OKL_A,0,0,0,0,0,0,0,0,0
OKL_B,0,0,0,0,0,0,0,0,0
NVS_A,0,0,0,0,0,0,0,0,0
NVS_B,0,0,0,0,0,0,0,0,0
PRZ_A,0,1,0,0,1,1,0,1,0
PRZ_B,0,0,0,0,0,0,0,0,0
PKV_A,1,0,0,1,1,0,1,1,1
PKV_B,0,0,0,0,0,0,0,0,0
RTR_A,0,0,0,1,1,0,1,1,0
RTR_B,0,0,0,0,0,0,0,0,0
STR_A,0,0,0,0,0,0,0,0,0
STR_B,2,0,0,0,2,0,2,0,2
SVD_A,0,0,0,0,0,0,0,0,0
SVD_B,0,0,0,0,0,0,0,0,0
SFR_A,0,1,0,0,1,1,0,1,0
SFR_B,0,0,0,0,0,0,0,0,0
VLS_A,0,0,0,0,0,0,0,0,0
VLS_B,0,0,0,0,0,0,0,0,0
VRJ_A,0,0,0,0,0,0,0,0,0
VRJ_B,0,0,0,0,0,0,0,0,0
ZHJ_A,0,0,0,0,0,0,0,0,0
ZHJ_B,0,0,0,0,0,0,0,0,0
ZLM_A,0,0,0,0,0,0,0,0,0
ZLM_B,0,0,0,0,0,0,0,0,0
ZMB_A,0,0,1,0,1,1,0,0,1
ZMB_B,0,0,0,0,0,0,0,0,0
ZMK_A,0,0,0,1,1,0,1,1,0
ZMK_B,0,0,0,1,1,0,1,1,0
