Locality,Pasti Cerven,Smyk Kveten,Smyk Cerven,Pasti Kveten,All Combined,Smyk Method,Pasti Method,Kveten Month,Cerven Month
BBN_A,2,2,0,3,5,2,4,4,2
BBN_B,4,5,0,5,11,5,7,9,4
BHN_A,4,1,1,5,7,1,6,6,5
BHN_B,4,1,0,7,8,1,7,8,4
BZN_A,2,0,1,0,3,1,2,0,3
BZN_B,2,1,2,1,4,2,2,2,4
BRK_A,3,1,1,4,5,1,4,5,4
BRK_B,6,1,2,2,9,3,6,3,8
DVR_A,0,0,1,2,3,1,2,2,1
DVR_B,0,1,0,3,4,1,3,4,0
HLN_A,0,0,0,4,4,0,4,4,0
HLN_B,0,0,1,4,4,1,4,4,1
HVZ_A,1,2,0,3,6,2,4,5,1
HVZ_B,3,3,1,8,12,4,9,11,3
HRD_A,2,1,0,5,7,1,6,6,2
HRD_B,5,1,1,4,9,2,7,5,6
HRC_A,0,0,0,3,3,0,3,3,0
HRC_B,4,0,0,2,5,0,5,2,4
CHV_A,5,0,1,5,9,1,8,5,6
CHV_B,5,0,2,7,10,2,8,7,7
KLS_A,5,0,1,4,7,1,7,4,6
KLS_B,1,1,0,5,6,1,6,5,1
KCD_A,2,5,1,5,10,5,6,9,3
KCD_B,6,1,0,6,10,1,9,7,6
KKL_A,1,0,0,5,6,0,6,5,1
KKL_B,4,1,1,3,8,2,6,4,5
LCL_A,4,0,1,4,7,1,6,4,5
LCL_B,5,3,0,3,8,3,5,6,5
LVJ_A,2,1,1,4,6,2,4,5,3
LVJ_B,3,3,0,5,9,3,7,8,3
NSV_A,4,0,2,3,6,2,5,3,5
NSV_B,4,0,0,3,5,0,5,3,4
OKL_A,3,0,1,5,7,1,6,5,4
OKL_B,5,0,0,7,8,0,8,7,5
NVS_A,2,1,0,0,3,1,2,1,2
NVS_B,1,0,0,2,2,0,2,2,1
PRZ_A,4,1,0,3,7,1,6,4,4
PRZ_B,4,0,0,0,4,0,4,0,4
PKV_A,3,2,0,6,9,2,7,8,3
PKV_B,0,4,1,4,8,4,4,8,1
RTR_A,0,3,0,5,8,3,5,8,0
RTR_B,0,1,1,5,5,2,5,5,1
STR_A,1,2,2,2,6,4,2,4,3
STR_B,3,2,1,3,7,3,4,5,4
SVD_A,1,1,1,6,8,1,7,7,2
SVD_B,2,1,0,4,6,1,5,5,2
SFR_A,3,4,0,4,7,4,5,6,3
SFR_B,3,1,2,5,8,3,6,5,5
VLS_A,3,0,1,4,7,1,6,4,4
VLS_B,6,0,0,3,7,0,7,3,6
VRJ_A,6,2,0,6,11,2,9,8,6
VRJ_B,3,1,2,6,9,3,6,7,5
ZHJ_A,2,2,1,3,6,3,4,4,3
ZHJ_B,2,3,1,3,8,4,4,6,3
ZLM_A,1,2,0,3,5,2,3,5,1
ZLM_B,3,3,2,5,11,5,6,8,5
ZMB_A,0,3,1,4,7,4,4,6,1
ZMB_B,2,0,1,0,3,1,2,0,3
ZMK_A,0,0,1,6,7,1,6,6,1
ZMK_B,0,3,1,5,8,3,5,8,1
