Locality,Pasti Cerven,Smyk Kveten,Smyk Cerven,Pasti Kveten,All Combined,Smyk Method,Pasti Method,Kveten Month,Cerven Month
BBN_A,7,2,0,6,10,2,8,8,7
BBN_B,6,2,0,4,9,2,7,6,6
BHN_A,5,0,1,5,9,1,8,5,6
BHN_B,1,3,1,7,10,3,8,9,2
BZN_A,2,2,1,2,6,2,4,4,3
BZN_B,6,2,2,5,14,4,10,7,8
BRK_A,5,0,1,4,6,1,5,4,6
BRK_B,2,2,1,3,6,2,4,5,3
DVR_A,0,1,3,5,9,4,5,6,3
DVR_B,3,0,0,5,6,0,6,5,3
HLN_A,0,3,2,6,9,3,6,9,2
HLN_B,0,1,2,3,6,3,3,4,2
HVZ_A,6,2,0,4,11,2,9,6,6
HVZ_B,1,0,1,3,5,1,4,3,2
HRD_A,6,3,0,6,12,3,10,8,6
HRD_B,2,3,1,8,12,3,10,10,3
HRC_A,7,1,3,7,16,4,13,8,10
HRC_B,3,1,0,6,7,1,6,7,3
CHV_A,4,2,1,4,8,2,6,6,5
CHV_B,7,1,1,8,14,2,12,9,8
KLS_A,5,0,1,7,9,1,8,7,6
KLS_B,3,0,2,5,8,2,6,5,5
KCD_A,1,1,0,3,5,1,4,4,1
KCD_B,0,1,1,1,2,1,1,2,1
KKL_A,5,1,1,3,9,2,7,4,6
KKL_B,3,4,2,7,12,5,7,11,5
LCL_A,6,1,2,8,14,3,11,9,8
LCL_B,8,1,2,3,11,2,9,4,10
LVJ_A,2,0,0,7,7,0,7,7,2
LVJ_B,5,3,2,7,16,5,11,10,7
NSV_A,8,2,1,7,14,2,12,9,9
NSV_B,3,0,0,5,7,0,7,5,3
OKL_A,5,2,0,5,8,2,7,6,5
OKL_B,4,1,1,8,11,2,9,9,5
NVS_A,1,4,0,1,6,4,2,5,1
NVS_B,3,2,0,2,6,2,4,4,3
PRZ_A,7,3,0,9,15,3,12,12,7
PRZ_B,6,1,0,5,9,1,8,6,6
PKV_A,9,3,2,6,16,4,12,9,11
PKV_B,0,1,0,3,4,1,3,4,0
RTR_A,2,2,1,2,5,2,3,4,3
RTR_B,0,0,0,2,2,0,2,2,0
STR_A,4,1,2,9,11,2,9,10,6
STR_B,9,0,1,8,15,1,14,8,10
SVD_A,6,0,1,5,9,1,8,5,7
SVD_B,5,0,2,5,8,2,6,5,7
SFR_A,9,1,0,6,11,1,10,7,9
SFR_B,4,1,0,4,7,1,6,5,4
VLS_A,6,1,2,6,11,2,9,7,8
VLS_B,5,1,1,7,12,2,10,8,6
VRJ_A,6,1,1,6,8,2,7,6,7
VRJ_B,0,0,1,1,2,1,1,1,1
ZHJ_A,7,1,2,6,13,2,11,7,9
ZHJ_B,6,1,1,5,9,1,8,6,7
ZLM_A,3,2,2,4,9,4,6,6,5
ZLM_B,0,1,1,2,3,2,2,2,1
ZMB_A,0,1,1,6,8,2,6,7,1
ZMB_B,3,1,2,5,8,2,6,6,5
ZMK_A,0,1,0,4,5,1,4,5,0
ZMK_B,0,1,0,7,8,1,7,8,0
