Locality,Pasti Cerven,Smyk Kveten,Smyk Cerven,Pasti Kveten,All Combined,Smyk Method,Pasti Method,Kveten Month,Cerven Month
BBN_A,9,4,0,9,15,4,12,12,9
BBN_B,10,7,0,9,20,7,14,15,10
BHN_A,9,1,2,10,16,2,14,11,11
BHN_B,5,4,1,14,18,4,15,17,6
BZN_A,4,2,2,2,9,3,6,4,6
BZN_B,8,3,4,6,18,6,12,9,12
BRK_A,8,1,2,8,11,2,9,9,10
BRK_B,8,3,3,5,15,5,10,8,11
DVR_A,0,1,4,7,12,5,7,8,4
DVR_B,4,1,0,9,11,1,10,10,4
HLN_A,0,3,2,11,14,3,11,14,2
HLN_B,0,1,3,7,10,4,7,8,3
HVZ_A,8,4,0,8,18,4,14,12,8
HVZ_B,6,3,2,13,19,5,15,16,7
HRD_A,9,4,0,11,20,4,17,14,9
HRD_B,7,4,2,12,21,5,17,15,9
HRC_A,7,1,3,10,19,4,16,11,10
HRC_B,8,1,0,8,13,1,12,9,8
CHV_A,9,2,2,10,18,3,15,12,11
CHV_B,13,1,3,16,25,4,21,17,16
KLS_A,10,0,2,11,16,2,15,11,12
KLS_B,4,1,2,10,14,3,12,10,6
KCD_A,3,6,1,8,15,6,10,13,4
KCD_B,6,2,1,7,12,2,10,9,7
KKL_A,6,1,1,8,15,2,13,9,7
KKL_B,7,5,3,11,21,7,14,16,10
LCL_A,10,1,3,12,21,4,17,13,13
LCL_B,13,4,2,6,19,5,14,10,15
LVJ_A,4,1,1,11,13,2,11,12,5
LVJ_B,8,6,2,12,25,8,18,18,10
NSV_A,12,2,3,10,20,4,17,12,14
NSV_B,7,0,0,8,12,0,12,8,7
OKL_A,8,2,1,10,15,3,13,11,9
OKL_B,9,1,1,15,19,2,17,16,10
NVS_A,3,5,0,1,9,5,4,6,3
NVS_B,4,2,0,4,8,2,6,6,4
PRZ_A,11,5,0,12,23,5,18,17,11
PRZ_B,10,1,0,5,13,1,12,6,10
PKV_A,13,5,2,13,26,6,20,18,15
PKV_B,0,5,1,7,12,5,7,12,1
RTR_A,2,5,1,8,14,5,9,13,3
RTR_B,0,1,1,7,7,2,7,7,1
STR_A,5,3,4,11,17,6,11,14,9
STR_B,14,2,2,11,24,4,20,13,16
SVD_A,7,1,2,11,17,2,15,12,9
SVD_B,7,1,2,9,14,3,11,10,9
SFR_A,12,6,0,10,19,6,15,14,12
SFR_B,7,2,2,9,15,4,12,10,9
VLS_A,9,1,3,10,18,3,15,11,12
VLS_B,11,1,1,10,19,2,17,11,12
VRJ_A,12,3,1,12,19,4,16,14,13
VRJ_B,3,1,3,7,11,4,7,8,6
ZHJ_A,9,3,3,9,19,5,15,11,12
ZHJ_B,8,4,2,8,17,5,12,12,10
ZLM_A,4,4,2,7,14,6,9,11,6
ZLM_B,3,4,3,7,14,7,8,10,6
ZMB_A,0,4,3,10,16,7,10,13,3
ZMB_B,5,1,3,5,11,3,8,6,8
ZMK_A,0,1,1,11,13,2,11,12,1
ZMK_B,0,4,1,13,17,4,13,17,1
