Locality,Pasti Cerven,Smyk Kveten,Smyk Cerven,Pasti Kveten,All Combined,Smyk Method,Pasti Method,Kveten Month,Cerven Month
BBN_A,11,9,3,9,24,11,14,17,14
BBN_B,13,11,5,11,30,13,18,21,18
BHN_A,11,5,4,13,24,7,17,18,15
BHN_B,5,7,1,19,26,7,20,25,6
BZN_A,6,4,4,2,13,5,8,6,10
BZN_B,8,7,6,6,23,11,12,13,14
BRK_A,11,3,5,12,21,7,14,15,16
BRK_B,9,8,7,8,27,13,14,16,16
DVR_A,0,3,10,11,22,11,11,14,10
DVR_B,8,5,5,11,23,9,14,16,13
HLN_A,0,9,6,13,24,11,13,22,6
HLN_B,0,2,4,8,13,6,8,10,4
HVZ_A,12,8,5,12,30,12,20,18,17
HVZ_B,11,8,6,18,36,14,23,26,16
HRD_A,9,5,5,13,28,10,19,17,14
HRD_B,8,8,6,13,29,11,19,20,14
HRC_A,7,3,7,10,25,10,16,13,14
HRC_B,9,3,1,10,19,4,15,13,10
CHV_A,10,8,6,11,27,11,16,19,16
CHV_B,16,6,7,20,37,11,27,26,23
KLS_A,11,2,6,12,21,6,16,14,17
KLS_B,4,3,3,11,17,5,13,13,7
KCD_A,4,10,9,9,29,18,12,18,13
KCD_B,8,5,3,10,20,7,14,15,10
KKL_A,7,3,4,9,22,7,15,12,11
KKL_B,7,9,9,12,31,16,15,21,16
LCL_A,11,3,5,13,26,7,19,16,16
LCL_B,14,6,3,6,23,8,15,12,17
LVJ_A,6,4,3,15,22,6,16,19,9
LVJ_B,8,9,6,12,31,14,18,21,14
NSV_A,13,5,8,11,29,11,19,16,20
NSV_B,7,3,0,9,16,3,13,12,7
OKL_A,9,3,4,12,20,6,15,14,13
OKL_B,9,3,5,16,24,6,18,19,14
NVS_A,4,8,0,3,14,8,6,11,4
NVS_B,4,3,0,4,9,3,6,7,4
PRZ_A,12,5,0,13,25,5,20,18,12
PRZ_B,10,1,2,5,15,3,12,6,12
PKV_A,13,9,7,16,38,15,23,25,20
PKV_B,0,9,2,10,19,9,10,19,2
RTR_A,5,7,5,12,25,10,15,19,10
RTR_B,1,7,2,8,14,8,9,14,3
STR_A,5,8,6,12,24,12,12,20,11
STR_B,16,9,6,13,36,12,24,22,22
SVD_A,9,5,5,14,27,9,19,19,13
SVD_B,7,5,9,11,26,13,13,16,16
SFR_A,14,12,4,11,28,14,17,21,18
SFR_B,10,5,6,10,24,10,15,14,16
VLS_A,10,2,9,11,25,9,17,13,18
VLS_B,12,3,4,13,26,6,20,16,16
VRJ_A,12,8,4,14,29,12,18,21,16
VRJ_B,4,2,6,10,18,8,10,12,10
ZHJ_A,11,6,7,9,26,10,17,14,18
ZHJ_B,10,7,7,8,26,12,14,15,17
ZLM_A,5,6,8,8,24,14,11,14,13
ZLM_B,4,6,7,10,22,12,11,15,11
ZMB_A,0,9,5,13,25,13,13,21,5
ZMB_B,8,2,4,6,17,5,12,8,12
ZMK_A,0,11,5,16,32,16,16,27,5
ZMK_B,0,5,4,19,27,8,19,24,4
