NA,NA,NA,Full_Names,Agroeca brunnea,Agyneta affinis,Agyneta rurestris,Alopecosa cuneata,Alopecosa pulverulenta,Antistea elegans,Aphileta misera,Araneoncus crassiceps,Araneoncus humilis,Arctosa leopardus,Attulus caricis,Attulus pubescens,Aulonia albimana,Bathyphantes approximatus,Bathyphantes gracilis,Bathyphantes nigrinus,Callobius claustrarius,Centromerus arcanus,Centromerus levitarsis,Ceratinella brevipes,Ceratinella brevis,Cicurina cicur,Clubiona diversa,Clubiona subsaltans,Clubiona subtilis,Cnephalocotes obscurus ,Dicymbium nigrum,Dolomedes fimbriatus,Drassodes cupreus,Drassyllus lutetianus,Drassyllus pusillus,Erigonella ignobilis,Euophrys frontalis,Euryopis flavomaculata,Evarcha arcuata,Gnaphosa nigerrima,Gongylidiellum latebricola,Gongylidiellum vivum,Gongylidium rufipes,Hahnia pusilla,Harpactea lepida,Hygrolycosa rubrofasciata,Hypomma bituberculatum,Inermocoelotes inermis,Lophomma punctatum,Mangora acalypha,Mermessus trilobatus,Metopobactrus prominulus,Micaria pulicaria,Micrommata virescens,Neon valentulus,Neriene clathrata,Notioscopus sarcinatus,Oedothorax gibbosus,Ozyptila atomaria,Ozyptila scabricula,Ozyptila trux,Pachygnatha clercki,Pachygnatha degerii,Pachygnatha listeri,Pardosa alacris,Pardosa amentata,Pardosa lugubris,Pardosa prativaga,Pardosa pullata,Pardosa riparia,Pelecopsis parallela,Pirata piscatorius,Piratula hygrophila,Piratula latitans,Piratula uliginosa,Pisaura mirabilis,Pocadicnemis juncea,Pocadicnemis pumilla,Silometopus elegans,Sintula corniger,Tallusia experta,Taranucnus setosus,Tenuiphantes tenuis,Thanatus striatus,Trichopternoides thorelli,Trochosa spinipalpis,Trochosa terricola,Walckenaeria alticeps,Walckenaeria cuspidata,Walckenaeria dysderoides,Walckenaeria kochi,Walckenaeria obtusa,Walckenaeria vigilax,Xysticus bifasciatus,Xysticus cristatus,Xysticus erraticus,Xysticus kochi,Xysticus ulmi,Zelotes latreilei,Zelotes petrensis,Zelotes subterraneus,Zora spinimana
ORIGINAL_LOC,LOC_Plot,LOC,Plot,AgrBru,AgyAff,AgyRur,AloCun,AloPul,AntEle,AphMis,NA,NA,ArcLeo,AttCar,AttPub,AulAlb,BatApp,BatGra,BatNig,CalCla,CenArc,CenLev,CerBrp,CerBrs,CicCic,CluDiv,CluSus,CluSut,NA,DicNig,DolFim,DraCup,DraLut,DraPus,EriIgn,EuoFro,EurFla,EvaArc,GnaNig,GonLat,GonViv,GonRuf,HahPus,HarLep,HygRub,HypBit,IneIne,LopPun,ManAca,MerTri,MetPro,MicPul,MicVir,NeoVal,NerCla,NotSar,OedGib,OzyAto,OzySca,OzyTru,PacCle,PacDeg,PacLis,ParAla,ParAme,ParLug,ParPra,ParPul,ParRip,PelPar,PirPis,PirHyg,PirLat,PirUli,PisMir,PocJun,NA,SilEle,SinCor,TalExp,TarSet,TenTen,ThaStr,TriTho,TroSpi,TroTer,WalAlt,WalCus,WalDys,WalKoc,WalObt,WalVig,XysBif,XysCri,XysErr,XysKoc,XysUlm,ZelLat,ZelPet,ZelSub,ZorSpi
Babín A,BBN_A,BBN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Babín B,BBN_B,BBN,B,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bahna A,BHN_A,BHN,A,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Bahna B,BHN_B,BHN,B,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0
Bazantka A,BZN_A,BZN,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bazantka B,BZN_B,BZN,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Borky A,BRK_A,BRK,A,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Borky B,BRK_B,BRK,B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Dvo?išt? A,DVR_A,DVR,A,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
