ORIGINAL_LOC,LOC_Plot,LOC,Plot,Aculepeira ceropegia,Achaeridion conigerum,Araeoncus crassiceps,Araneus sturmi,Araniella cucurbitina,Araniella opistographa,Argiope bruennichi,Attulus floricola,Bathyphantes gracilis,Ceratinella brevipes,Cercidia prominens,Clubiona kulczynskii,Clubiona reclusa,Cyclosa conica,Diaea dorsata,Dictyna arundinacea,Dictyna pusilla,Dipoena melanogaster,Dismodiscus bifrons,Dismodiscus elevatus,Dolomedes fimbriatus,Dolomedes sp. juv.,Entelecara congenera,Erigone atra,Evarcha arcuata,Gibbaranea gibbosa,Heliophanus cupreus,Heliophanus dampfi,Hypomma cornutum,Hypsosinga heri,Hypsosinga pygmaea,Hypsosinga sanguinea,Cheiracanthium erraticum,Larinioides cornutus,Lasaeola tristis,Lathys humilis,Linyphia hortensis,Mangora acalypha,Marpissa radiata,Maso sundevalli,Mermessus trilobatus,Metellina mengei,Metopobactrus prominulus,Micrargus herbigradus,Microlinyphia pusilla,Micrommata virescens,Micrommata virescens,Misumena vatia,Neottiura bimaculata,Nusoncus nasutus,Obscuriphantes obscurus,Oedothorax gibbosus,Oxyopes ramosus,Pachygnatha degerii,Pachygnatha listeri,Paidiscura pallens,Philodromus albidus,Philodromus aureolus,Philodromus collinus,Phylloneta impressa,Phylloneta sisyphia,Pisaura mirabilis,Platnickina tincta,Pocadicnemis juncea,Pocadicnemis pumila ,Porrhomma pygmaeum,Robertus arundineti,Sibianor aurocinctus,Simitidion simile,Singa hamata,Tetragnatha extensa,Tetragnatha montana,Tetragnatha nigrita,Tetragnatha obtusa,Tetragnatha pinicola,Theridion boesenbergi,Theridion hemerobium,Theridion varians,Tibellus maritimus,Tibellus oblongus,Tiso vagans,Trematocephalus cristatus,Trichopterna cito,Walckenaeria vigilax,Xysticus bifasciatus,Xysticus cristatus,Xysticus ulmi
Babín A,BBN_A,BBN,A,,,,,,,,,,,,,,,,3,,,,2,,,,,5,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,2,,,,,2,,,,,,3,,,,,,,,,,,,,,,,
Babín B,BBN_B,BBN,B,,,,,,,,,,,,,3,,,3,,,,1,,,,,3,,,2,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,3
Bahna A,BHN_A,BHN,A,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahna B,BHN_B,BHN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,1,,,,,,,,,4,,,,,,,,,,,,,1,,1,1
Bazantka A,BZN_A,BZN,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Bazantka B,BZN_B,BZN,B,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,7,3,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Borky A,BRK_A,BRK,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borky B,BRK_B,BRK,B,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,,1
Dvo?išt? A,DVR_A,DVR,A,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
Dvo?išt? B,DVR_B,DVR,B,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Hliní? A,HLN_A,HLN,A,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,4,,,,,,,,4,,,,,,,3
Hliní? B,HLN_B,HLN,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Hovízna A,HVZ_A,HVZ,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,3,,1,,,1,,,,,1,,,,,,,
Hovízna B,HVZ_B,HVZ,B,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,2,1,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Hráde?ek A,HRD_A,HRD,A,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hráde?ek B,HRD_B,HRD,B,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1
Hrachovišt? A,HRC_A,HRC,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Hrachovišt? B,HRC_B,HRC,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Chvojnov A,CHV_A,CHV,A,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,3,,,,,,,,,,,1,,,,,,,,,,,17,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Chvojnov B,CHV_B,CHV,B,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Kališt? A,KLS_A,KLS,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kališt? B,KLS_B,KLS,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Kocanda A,KCD_A,KCD,A,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,2,,,,,,1,,,,,2,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Kocanda B,KCD_B,KCD,B,,,,,,,,,,,,,,,,,1,,,4,,,,,6,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Kukla A,KKL_A,KKL,A,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kukla B,KKL_B,KKL,B,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,2
Louky u ?. lesa A,LCL_A,LCL,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louky u ?. lesa B,LCL_B,LCL,B,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
Louky v Jeníkov? A,LVJ_A,LVJ,A,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louky v Jeníkov? B,LVJ_B,LVJ,B,,,,,,,,,,,,,5,,1,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,1
Nad Svitákem A,NSV_A,NSV,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,1
Nad Svitákem B,NSV_B,NSV,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Na oklice A,OKL_A,OKL,A,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Na oklice B,OKL_B,OKL,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Návesník A,NVS_A,NVS,A,,,,,,,,,,,,,,,,,,,,3,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,1
Návesník B,NVS_B,NVS,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
Pa?ez A,PRZ_A,PRZ,A,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1
Pa?ez B,PRZ_B,PRZ,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pod kam. vrchem A,PKV_A,PKV,A,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,5,,1,,,,,,,,,,,,,,2
Pod kam. vrchem B,PKV_B,PKV,B,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,5
Rataj.ryb. A,RTR_A,RTR,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,,,,,,1,,,,,2,
