Species,Family,Specialization,Specialization_words,Disperzal,Protection_Status,Short_name
Achaeridion conigerum,Linyphiidae,3,Fen_specialist,2,KO,AchCon
Aphileta misera,Linyphiidae,3,Fen_specialist,2,O,AphMis
Clubiona kulczynskii,Clubionidae,3,Fen_specialist,0,O,CluKul
Cnephalocotes obscurus,Linyphiidae,3,Fen_specialist,2,NO,CneObs
Oryphantes angulatus,Linyphiidae,3,Fen_specialist,2,O,OryAng
Piratula uliginosa,Lycosidae,3,Fen_specialist,1,O,PirUli
Agyneta cauta,Linyphiidae,2,Wetland_specialist,2,TO,AgyCau
Antistea elegans,Hahniidae,2,Wetland_specialist,1,TO,AntEle
Araeoncus crassiceps,Linyphiidae,2,Wetland_specialist,2,TO,AraCra
Arctosa leopardus,Lycosidae,2,Wetland_specialist,1,O,ArcLeo
Attulus caricis,Salticidae,2,Wetland_specialist,1,O,AttCar
Attulus floricola,Salticidae,2,Wetland_specialist,1,TO,AttFlo
Bathyphantes approximatus,Linyphiidae,2,Wetland_specialist,2,NO,BatApp
Bathyphantes gracilis,Linyphiidae,2,Wetland_specialist,2,NO,BatGra
Bathyphantes nigrinus,Linyphiidae,2,Wetland_specialist,2,NO,BatNig
Centromerus levitarsis,Linyphiidae,2,Wetland_specialist,2,O,CenLev
Clubiona phragmitis,Clubionidae,2,Wetland_specialist,0,NO,CluPhr
Clubiona stagnatilis,Clubionidae,2,Wetland_specialist,0,NO,CluSta
Dicymbium nigrum,Linyphiidae,2,Wetland_specialist,2,NO,DicNig
Dolomedes fimbriatus,Pisauridae,2,Wetland_specialist,1,O,DolFim
Drassyllus lutetianus,Gnaphosidae,2,Wetland_specialist,1,NO,DraLut
Erigonella ignobilis,Linyphiidae,2,Wetland_specialist,2,O,EriIgn
Gnaphosa nigerrima,Gnaphosidae,2,Wetland_specialist,1,SO,GnaNig
Gnathonarium dentatum,Linyphiidae,2,Wetland_specialist,2,NO,GnaDen
Gongylidiellum vivum,Linyphiidae,2,Wetland_specialist,2,TO,GonViv
