Locality,DCA1,DCA2,Dataset
BBN_A,-0.006558246300990683,0.10977696364051415,Smyk Cerven
BBN_B,-0.006557974990242554,0.4750490944923573,Smyk Cerven
BHN_A,-0.006557331718516974,-0.45139675764268006,Smyk Cerven
BHN_B,-0.006557375817272465,-0.12106853076449386,Smyk Cerven
BZN_A,-0.006557147984253698,-0.5829492408942514,Smyk Cerven
BZN_B,-0.006557474275825883,-0.5558588115876706,Smyk Cerven
BRK_A,-0.0065573358242868255,0.13967527232147425,Smyk Cerven
BRK_B,-0.0065570980310965315,-0.8293322610021989,Smyk Cerven
DVR_A,-0.006557320016539389,-0.18630968124486014,Smyk Cerven
DVR_B,-0.006557868331748801,0.27446855212737997,Smyk Cerven
HLN_A,-0.006557097652148772,1.8632850158784775,Smyk Cerven
HLN_B,-0.006557739053578373,-4.616951478118267,Smyk Cerven
HVZ_A,-0.006557485391623207,-0.008634796833393743,Smyk Cerven
HVZ_B,-0.006557995125345666,0.3578994397294224,Smyk Cerven
HRD_A,-0.006557562451360644,-0.14881171628197976,Smyk Cerven
HRD_B,-0.006557408753493789,-0.04993253200258163,Smyk Cerven
HRC_A,-0.006557254441002952,-0.4039455450338627,Smyk Cerven
HRC_B,-0.006557482627599431,-0.8237931863901222,Smyk Cerven
CHV_A,-0.006556924825201228,-0.6352358684447572,Smyk Cerven
CHV_B,-0.006556925024850077,-0.5969392675852605,Smyk Cerven
KLS_A,-0.006557279105876653,0.10127563612627011,Smyk Cerven
KLS_B,-0.0065572256618126054,-0.4952136126156672,Smyk Cerven
KCD_A,-0.006557509884174359,-0.05387717447922746,Smyk Cerven
KCD_B,-0.006557173572741327,-0.38967488664761873,Smyk Cerven
KKL_A,-0.006558299956049193,0.6196508069591449,Smyk Cerven
KKL_B,-0.0065581177080650584,0.7800844503819979,Smyk Cerven
LCL_A,-0.006556831986841134,-0.21808849668128705,Smyk Cerven
LCL_B,-0.0065569210484293225,-0.5528497333620921,Smyk Cerven
LVJ_A,-0.0065567851620050325,-1.0766116772742382,Smyk Cerven
LVJ_B,-0.006556759257908744,-0.1684204781107228,Smyk Cerven
NSV_A,-0.0065570681978798055,-0.15709443464613582,Smyk Cerven
OKL_A,-0.006557021213297639,-0.7352372697641112,Smyk Cerven
OKL_B,-0.006557480947596217,-0.05985389102597516,Smyk Cerven
PRZ_B,-0.006557575527069115,-0.24746306754367353,Smyk Cerven
PKV_A,-0.0065574200164061494,-0.21217796104144604,Smyk Cerven
PKV_B,1,1.492813008400696,Smyk Cerven
RTR_A,-0.0065574005790109986,-0.5734233963599653,Smyk Cerven
RTR_B,-0.006556979824678982,-0.4923522926044228,Smyk Cerven
STR_A,-0.006557487234102224,0.3429814205987842,Smyk Cerven
STR_B,-0.006557970628815066,-0.6862367875076911,Smyk Cerven
SVD_A,-0.006558316421397274,0.5013901712509394,Smyk Cerven
SVD_B,-0.0065580219516979356,0.5028290595531306,Smyk Cerven
SFR_A,-0.006556650406559798,-0.8078391519201702,Smyk Cerven
SFR_B,-0.006557107180549869,0.7234449795132081,Smyk Cerven
VLS_A,-0.006557460961924964,-0.7025078707941699,Smyk Cerven
VLS_B,-0.006557588398080935,0.006300044208120248,Smyk Cerven
VRJ_A,-0.006557710120506248,0.2871867464347888,Smyk Cerven
VRJ_B,-0.006557487139810724,-0.28648861148320837,Smyk Cerven
ZHJ_A,-0.006557338979043225,-0.5314195609217949,Smyk Cerven
ZHJ_B,-0.006557418085771828,0.3039821140203287,Smyk Cerven
ZLM_A,-0.00655736709475785,-0.11186690475721317,Smyk Cerven
ZLM_B,-0.006556795234640019,1.9629106499617537,Smyk Cerven
ZMB_A,-0.0065574184920384054,1.0937385954980359,Smyk Cerven
ZMB_B,-0.006553168353543992,4.945405516706023,Smyk Cerven
ZMK_A,-0.006557507423760529,-1.3848027169061714,Smyk Cerven
ZMK_B,-0.006557723504268004,0.03219101492268184,Smyk Cerven
