Locality,DCA1,DCA2,Dataset
BBN_A,-0.7050610359116702,-0.5517442614692345,Smyk Method
BBN_B,-0.32546748971334716,-0.06627720301071216,Smyk Method
BHN_A,-0.845534855804398,0.9410543001206717,Smyk Method
BHN_B,0.14689449788649922,0.5132767619051437,Smyk Method
BZN_A,-0.30386169889777603,0.14809759543320067,Smyk Method
BZN_B,-0.1586606116497622,0.13755621027277365,Smyk Method
BRK_A,0.08751546946373168,0.13261267953935008,Smyk Method
BRK_B,0.3817235285633007,0.3108760513930764,Smyk Method
DVR_A,-0.623965955084393,-0.1254383628434217,Smyk Method
DVR_B,-0.04992365026470402,-0.9657660750498951,Smyk Method
HLN_A,1.2096903491628161,-1.0239923549026346,Smyk Method
HLN_B,-2.2136543050870805,-0.5566325313402125,Smyk Method
HVZ_A,1.028139387498204,-1.2572050594540376,Smyk Method
HVZ_B,1.2533014263401698,-0.8667297372777477,Smyk Method
HRD_A,-0.5755576024393232,-0.2402148539315596,Smyk Method
HRD_B,0.5139894440668717,0.00938939994466903,Smyk Method
HRC_A,-0.14814438288748022,0.46273246818609115,Smyk Method
HRC_B,0.16643680858333498,0.5601773862898551,Smyk Method
CHV_A,-0.15730559929201648,0.35172396386017946,Smyk Method
CHV_B,-0.16839766607197326,0.473708156687358,Smyk Method
KLS_A,-0.02734160922090023,0.7418858815668607,Smyk Method
KLS_B,-0.28299376517280894,0.9122119351326323,Smyk Method
KCD_A,-0.5131816966009031,0.09140803847897416,Smyk Method
KCD_B,-0.5033059069306962,0.0666730113409757,Smyk Method
KKL_A,0.3283499704189978,-1.8071412647103524,Smyk Method
KKL_B,-0.07766639888179849,-1.2077149066035013,Smyk Method
LCL_A,-0.42342122688679606,-0.2389481569381775,Smyk Method
LCL_B,-1.1407473035031717,0.9111215583757177,Smyk Method
LVJ_A,-0.7531975142800362,0.5126535954114306,Smyk Method
LVJ_B,-0.1719849918283587,0.39132309300267565,Smyk Method
NSV_A,0.05683279461465229,0.4954291380053344,Smyk Method
NSV_B,0.465607741845274,0.2491293455721313,Smyk Method
OKL_A,-1.0222546877652912,0.4099066725033782,Smyk Method
OKL_B,-0.31594182460048215,-6.460391744609328e-4,Smyk Method
NVS_A,0.05371735953360446,-0.16588966192303478,Smyk Method
NVS_B,-0.05965845745590137,0.7203542689423754,Smyk Method
PRZ_A,0.27592628157428045,-0.24753668273906015,Smyk Method
PRZ_B,0.10697265082692775,-0.3891944685825437,Smyk Method
PKV_A,-0.44343562442236406,0.06153323426475277,Smyk Method
PKV_B,0.7262080329191667,1.7571311473486402,Smyk Method
RTR_A,-0.3888171711834558,0.781878333429729,Smyk Method
RTR_B,0.03493979978788708,1.8093350408221944,Smyk Method
STR_A,-0.09977593390973816,-0.409714174511459,Smyk Method
STR_B,-0.37917725590481277,-0.41617228993319455,Smyk Method
SVD_A,0.254631539771752,-1.3036449729211674,Smyk Method
SVD_B,-0.1537309686620696,-1.1390231654960163,Smyk Method
SFR_A,1.1309471179917834,1.781353384119475,Smyk Method
SFR_B,-0.011850058972434407,1.1192236701415923,Smyk Method
VLS_A,-0.7357111241450571,-0.2788339970066651,Smyk Method
VLS_B,-0.3384739951186151,0.11888888479774917,Smyk Method
VRJ_A,0.13879676397163276,-0.6111528065870877,Smyk Method
VRJ_B,-0.24172347621637957,0.3466533305376931,Smyk Method
ZHJ_A,-0.027068031770398626,0.45101411697050553,Smyk Method
ZHJ_B,0.32400730561801216,0.3147872112574346,Smyk Method
ZLM_A,-0.008880826071616,0.4377229451146212,Smyk Method
ZLM_B,0.7125077568900067,0.2854140298980852,Smyk Method
ZMB_A,1.0086087716570842,0.5130988895683632,Smyk Method
ZMB_B,4.987503015797984,-0.21353151873221132,Smyk Method
ZMK_A,-1.335448401585885,-0.84493876458054,Smyk Method
ZMK_B,0.34560938156903864,-0.5307552263082398,Smyk Method
