Species,DCA1,DCA2,Dataset
AgyRur,-0.27495434537679775,1.6192627248067164,Smyk Method
AraCra,-2.092554435667118,0.19769573755271752,Smyk Method
AraHum,-1.7907157045331912,-0.1289997299529304,Smyk Method
AttCar,-1.4228683169615706,-0.020579936292351997,Smyk Method
BatGra,-0.63289506680517,1.2011647027024335,Smyk Method
CerBrp,1.7401705148828999,2.13527930746079,Smyk Method
CluRec,0.19221137366284946,1.5265854058809136,Smyk Method
CneObs,2.1427117852615516,1.6514050042648987,Smyk Method
DisBif,3.721759996786752,1.6562062006367557,Smyk Method
DolFim,-0.2946433450501147,-1.5212617313774992,Smyk Method
EriAtr,-1.2344248884174038,-0.30753363070356166,Smyk Method
EvaArc,0.16305116660881902,-0.5265705493949973,Smyk Method
MasSun,-0.7698049132070242,-2.207349855688059,Smyk Method
NeoBim,0.6571606870562836,-0.3472415298976008,Smyk Method
OedGib,1.7044116052914418,0.24064828482449352,Smyk Method
OzyTru,2.1980387133440993,-2.1356457533375375,Smyk Method
PacDeg,2.174578673307971,-2.246848176541528,Smyk Method
PacLis,-1.647076493425795,0.2607781015178783,Smyk Method
PocJun,1.8084796951177258,2.2999423428716512,Smyk Method
PocPum,-1.667453726840438,-1.1586441933682419,Smyk Method
RobAru,-1.5879480522706146,0.22365486394841483,Smyk Method
SibAur,-1.4849053175700881,0.11003880287539003,Smyk Method
TenTen,-2.893484598886429,-0.9757393625187704,Smyk Method
WalFur,-1.171501414391785,1.2659852247155285,Smyk Method
WalVig,-0.4430390182305157,1.343043966775637,Smyk Method
XysBif,1.0802873360156813,2.758296181550127,Smyk Method
XysCri,0.6527710838379477,1.9248187589539647,Smyk Method
XysUlm,0.5961207076797992,0.7707458479323481,Smyk Method
ZorSpi,-2.7887545335427317,-0.6197888738967867,Smyk Method
AcuCer,-0.3698391200561477,1.980422031790002,Smyk Method
AchCon,0.5135265538140845,-1.0045826678890908,Smyk Method
AraStu,1.059625289417852,2.1315345675793536,Smyk Method
AraCuc,0.61028133810977,-1.3007012506171438,Smyk Method
AraOpi,-0.5766637140739626,3.170589828528193,Smyk Method
ArgBru,-0.303448165919183,-0.43416093859958016,Smyk Method
AttFlo,-1.8360450509977562,-0.5910110892805476,Smyk Method
CerPro,1.7501898956767676,-1.8228822833230829,Smyk Method
CluKul,1.9393830049876155,2.80915471733837,Smyk Method
CycCon,-2.682278203309205,-1.711526066246394,Smyk Method
DiaDor,-1.0729115053031064,0.9814936468440068,Smyk Method
DicAru,-1.9216561179987959,-0.8829551912269543,Smyk Method
DicPus,-0.3136443271527467,-0.8994351228122327,Smyk Method
DipMel,-0.17678016095865345,-2.66056415270996,Smyk Method
DisEle,-0.84673984548208,0.4450936696986627,Smyk Method
DolSpe,1.133497643010267,-2.024107614396303,Smyk Method
EntCon,0.7818190083600736,-0.7776532245244938,Smyk Method
GibGib,0.33847914042462657,1.1018053021862455,Smyk Method
HelCup,-1.3327701228643063,-1.395321970557611,Smyk Method
HelDam,-0.7040851049433925,1.7519950555858728,Smyk Method
HypCor,0.04231602703452042,-1.7746641357400224,Smyk Method
HypHer,-0.4992939011843194,-0.29377132645503257,Smyk Method
HypPyg,0.29432930667698765,-0.7752553002361422,Smyk Method
HypSan,0.48413635266773003,-0.12761197796400436,Smyk Method
CheErr,-1.647076493425795,0.2607781015178783,Smyk Method
LarCor,-1.0915620075423655,0.6042199967454884,Smyk Method
LasTri,-1.7972218902214392,-1.323828369970564,Smyk Method
LatHum,-2.1380390706623156,1.9061886154439125,Smyk Method
LinHor,-1.04803037411632,1.2060191336475574,Smyk Method
ManAca,-0.20108182211212267,0.6417039610689295,Smyk Method
MarRad,5.954175008917344,-0.01780965329044104,Smyk Method
MerTri,-2.492122733299108,2.0299324016434146,Smyk Method
MetMen,4.651682839140879,-0.7672519881012929,Smyk Method
MetPro,2.1980387133440993,-2.1356457533375375,Smyk Method
MicHer,2.228048880667115,-2.1097529032176756,Smyk Method
MicPus,1.649303662474264,2.0508090928882936,Smyk Method
MicVir,-1.4757579170645634,-1.5619566018060989,Smyk Method
MisVat,0.3610781345702456,-1.4959672795919807,Smyk Method
NusNas,1.9393830049876155,2.80915471733837,Smyk Method
ObsObs,-2.492122733299108,2.0299324016434146,Smyk Method
OxyRam,-0.3599072986803711,-1.989265710369784,Smyk Method
PaiPal,1.0448440305463675,-0.20707565674842954,Smyk Method
PhiAlb,-0.44292007693585633,-1.7561603461788318,Smyk Method
PhiAur,1.7575670873933906,-1.2953869068000465,Smyk Method
PhiCol,1.659782869537802,2.8037215639604987,Smyk Method
PhyImp,-0.3864523382906211,1.175501266055743,Smyk Method
PhySis,-2.682278203309205,-1.711526066246394,Smyk Method
PisMir,0.3403441049094855,-1.4887466693231235,Smyk Method
PlaTin,-1.9513560623184865,1.2898639354957795,Smyk Method
PorPyg,1.363740850013369,-1.0315727942736368,Smyk Method
SimSim,-2.682278203309205,-1.711526066246394,Smyk Method
SinHam,2.174578673307971,-2.246848176541528,Smyk Method
TetExt,-0.38864374175688354,0.21481569283903656,Smyk Method
TetMon,4.6557222252276045,-1.9209924996156371,Smyk Method
TetNig,-0.5854466193637728,0.4831311929423179,Smyk Method
TetObt,-2.9074389477634037,-0.18511264499538127,Smyk Method
TetPin,1.3204615213417852,-0.6794672670196427,Smyk Method
TheBoe,-0.5766637140739626,3.170589828528193,Smyk Method
TheHem,-1.3527106514455862,-1.0919287021500286,Smyk Method
TheVar,-0.8442164324172168,-2.2609979852445212,Smyk Method
TibMar,-0.8313783170892843,-2.20738877231558,Smyk Method
TibObl,1.3816141474388233,-1.7276072494286037,Smyk Method
TisVag,-2.071224886832062,1.9635842426055787,Smyk Method
TreCri,0.5530610171015775,0.3127597323958935,Smyk Method
TriCit,-2.319884513044977,0.9207803301934114,Smyk Method
AraQua,0.4628053289154601,0.9286365490830693,Smyk Method
CluLut,5.954175008917344,-0.01780965329044104,Smyk Method
CluPhr,-3.8606839316371784,-0.017809653290541627,Smyk Method
CluSta,-1.0729115053031064,0.9814936468440068,Smyk Method
EnoOva,1.7044116052914418,0.24064828482449352,Smyk Method
EntFla,-0.63289506680517,1.2011647027024335,Smyk Method
EriDen,-0.5619033522559018,2.2551558880567213,Smyk Method
EvaFal,0.39170921941979975,-3.060130741379948,Smyk Method
HelFla,-1.647076493425795,0.2607781015178783,Smyk Method
LinTri,1.7373450027536737,-2.5978877807099625,Smyk Method
NerRad,-0.41724383623446837,-2.2450179771812944,Smyk Method
SynGlo,-0.7237155443836729,-1.0384036546518889,Smyk Method
TheGem,-0.03555108642952831,-2.3362569447344805,Smyk Method
