Short_name,DCA1,DCA2,Dataset,Species,Specialization
AgyRur,-0.05743412309855511,2.0638266417728985,Kveten Month,Agyneta rurestris,0
AloCun,-0.5158710502602092,-1.9534732627323212,Kveten Month,Alopecosa cuneata,0
AloPul,-0.21737937511376126,0.6033427843643884,Kveten Month,Alopecosa pulverulenta,0
AntEle,-0.3871460360383895,0.5558778546747349,Kveten Month,Antistea elegans,2
AphMis,-2.3463415399429204,-2.582843272750921,Kveten Month,Aphileta misera,3
AraCra,0.3762751581506607,-1.0030376283489528,Kveten Month,Araeoncus crassiceps,2
AraHum,-0.6558637570414476,-3.2000734028821602,Kveten Month,Araeoncus humilis,1
ArcLeo,-0.8869523020810048,2.627997878482101,Kveten Month,Arctosa leopardus,2
AttCar,-1.0289594245640978,-2.1764954939660015,Kveten Month,Attulus caricis,2
AulAlb,1.651435594642009,2.5883306752384536,Kveten Month,Aulonia albimana,0
BatGra,0.36074010299911796,-0.9398092347505647,Kveten Month,Bathyphantes gracilis,2
BatNig,4.3296979197036,0.24223816484675287,Kveten Month,Bathyphantes nigrinus,2
CenArc,-1.7833777186792599,-0.6435772155382434,Kveten Month,Centromerus arcanus,1
CenLev,0.7712014504143614,1.7390831094149195,Kveten Month,Centromerus levitarsis,2
CerBrp,0.3396669689348155,-0.3046514815765502,Kveten Month,Ceratinella brevipes,1
CerBrs,0.5485644941517436,0.7742323629168071,Kveten Month,Ceratinella brevis,0
CluRec,-0.25629550245420474,-0.5829881513337407,Kveten Month,Clubiona reclusa,1
CneObs,0.38808022791197816,0.488951868594222,Kveten Month,Cnephalocotes obscurus,3
DisBif,-0.12823731562831975,-0.8648819374955499,Kveten Month,Dismodiscus bifrons,1
DolFim,-0.6254392810636398,1.6731495778286198,Kveten Month,Dolomedes fimbriatus,2
DraCup,-1.1182916746302498,-0.9767030298529258,Kveten Month,Drassodes cupreus,1
DraLut,0.13640374340964923,0.7534577169535679,Kveten Month,Drassyllus lutetianus,2
DraPus,0.2896982580151599,-1.581025425269269,Kveten Month,Drassyllus pusillus,0
EriAtr,-1.144603427653506,-4.355986316841567,Kveten Month,Erigone atra,0
EriIgn,0.13533395494260314,0.03245272399995547,Kveten Month,Erigonella ignobilis,2
EurFla,-0.16461713990956484,2.4079125094253024,Kveten Month,Euryopis flavomaculata,1
EvaArc,-0.5059655630387674,1.1003887966335675,Kveten Month,Evarcha arcuata,0
GnaNig,-0.5920734649318159,1.0704151641768715,Kveten Month,Gnaphosa nigerrima,2
GonLat,4.007080127133775,1.686909964131604,Kveten Month,Gongylidiellum latebricola,0
GonViv,4.14213301511673,-1.499498003602387,Kveten Month,Gongylidiellum vivum,2
HygRub,-1.2903667042376246,1.744439926589285,Kveten Month,Hygrolycosa rubrofasciata,2
IneIne,-0.7834346148010425,2.231090685234797,Kveten Month,Inermocoelotes inermis,1
LopPun,0.1138722190234478,0.2906659922093895,Kveten Month,Lophomma punctatum,2
MicPul,-0.9347702939066233,3.259443009806578,Kveten Month,Micaria pulicaria,0
MasSun,-2.3463415399429204,-2.582843272750921,Kveten Month,Maso sundevalli,0
NeoVal,-0.917930887171907,0.8221126402885031,Kveten Month,Neon valentulus,2
NeoBim,-0.22964721248519204,0.0556144084115604,Kveten Month,Neottiura bimaculata,0
NerCla,-0.1775383323515355,1.25215809887827,Kveten Month,Neriene clathrata,1
NotSar,-0.07759434015960698,-0.08338950720876848,Kveten Month,Notioscopus sarcinatus,2
OedGib,2.603931787812404,-0.6732873456304399,Kveten Month,Oedothorax gibbosus,2
OzyTru,0.3521292212986702,0.937774227546827,Kveten Month,Ozyptila trux,1
PacCle,0.2172628231946654,-1.6671608229726753,Kveten Month,Pachygnatha clercki,1
PacDeg,-0.6429520676891347,-1.758377774106667,Kveten Month,Pachygnatha degerii,0
PacLis,0.3023070515656163,1.5897891762153875,Kveten Month,Pachygnatha listeri,1
ParAla,-0.38580058097230596,-1.4790378011783285,Kveten Month,Pardosa alacris,0
ParAme,2.0804783215283527,-2.3997365436020757,Kveten Month,Pardosa amentata,2
ParLug,-0.2805525083066307,2.5169558054950594,Kveten Month,Pardosa lugubris,0
ParPra,1.1710057859047287,-1.7355722859160354,Kveten Month,Pardosa prativaga,2
ParPul,-0.05030979843977701,-0.6288669915294912,Kveten Month,Pardosa pullata,1
