Short_name,DCA1,DCA2,Dataset,Species,Specialization
AgyCau,-0.962566231112925,-0.933440232874956,Pasti Cerven,Agyneta cauta,2
AgyRur,-1.1365362767573979,-2.0647951223665224,Pasti Cerven,Agyneta rurestris,0
AloPul,0.0371702542250083,1.1864758894459282,Pasti Cerven,Alopecosa pulverulenta,0
AntEle,-1.4791133890820691,-0.6174618384773376,Pasti Cerven,Antistea elegans,2
AphMis,1.2906524819165166,-1.3634480435715086,Pasti Cerven,Aphileta misera,3
AraCra,-0.856070297049903,-1.0539890970417054,Pasti Cerven,Araeoncus crassiceps,2
ArcLeo,0.8195162633715154,1.4633376350327048,Pasti Cerven,Arctosa leopardus,2
AttCar,-1.4199776745542518,2.2970485214283287,Pasti Cerven,Attulus caricis,2
AulAlb,-1.210843570264498,2.6576662973282477,Pasti Cerven,Aulonia albimana,0
BatGra,1.4915601634855817,1.393251221976353,Pasti Cerven,Bathyphantes gracilis,2
BatNig,4.355332663441702,0.36232182538451374,Pasti Cerven,Bathyphantes nigrinus,2
CenArc,-1.4189089246317512,-2.201031262093072,Pasti Cerven,Centromerus arcanus,1
CenLev,-1.4203221044750942,-2.472878407140751,Pasti Cerven,Centromerus levitarsis,2
CerBrp,0.3599631803291192,-0.3172853684809518,Pasti Cerven,Ceratinella brevipes,1
CerBrs,-1.5601752945785239,-2.487306918482392,Pasti Cerven,Ceratinella brevis,0
CluNeg,-0.6886154116226408,0.9122129770800194,Pasti Cerven,Clubiona neglecta,1
CluRec,0.01036156881923933,-1.6607372322886906,Pasti Cerven,Clubiona reclusa,1
CneObs,-1.3642647418876286,3.2348097209860724,Pasti Cerven,Cnephalocotes obscurus,3
DipCon,4.355332663441702,0.36232182538451374,Pasti Cerven,Diplostyla concolor,0
DisBif,0.3704020982184275,0.3332335618445157,Pasti Cerven,Dismodiscus bifrons,1
DolFim,-1.6229663972082087,0.5130282480686859,Pasti Cerven,Dolomedes fimbriatus,2
DraCup,-0.9495771031156688,-1.5801976401825988,Pasti Cerven,Drassodes cupreus,1
DraPub,-1.7903232890291199,0.032899970694501235,Pasti Cerven,Drassodes pubescens,0
DraLut,-1.1838978410000522,-0.3813941069104425,Pasti Cerven,Drassyllus lutetianus,2
DraPus,-1.7678510148104047,-2.7672557182341606,Pasti Cerven,Drassyllus pusillus,0
EriAtr,1.266484381684271,-1.334195878639906,Pasti Cerven,Erigone atra,0
EriIgn,-0.038396086042467026,-1.0198691329531242,Pasti Cerven,Erigonella ignobilis,2
EuoFro,0.3314194492511491,1.9957834782063677,Pasti Cerven,Euophrys frontalis,0
EurFla,-1.7338034798946236,2.550025449961107,Pasti Cerven,Euryopis flavomaculata,1
EvaArc,-1.630870398583311,-0.9535429593915825,Pasti Cerven,Evarcha arcuata,0
GnaNig,0.390915902942647,-0.9383361951188021,Pasti Cerven,Gnaphosa nigerrima,2
GnaDen,0.9225528288708693,-0.2810766540369136,Pasti Cerven,Gnathonarium dentatum,2
GonLat,1.2151164173354738,0.4147411197163815,Pasti Cerven,Gongylidiellum latebricola,0
GonViv,-1.7678510148104047,-2.7672557182341606,Pasti Cerven,Gongylidiellum vivum,2
HapCog,-3.5347231680628233,0.36232182538436897,Pasti Cerven,Haplodrassus cognatus,1
HygRub,-2.729163154946825,0.022610345618242267,Pasti Cerven,Hygrolycosa rubrofasciata,2
HypFul,0.27848893915614914,-1.4099867288872359,Pasti Cerven,Hypomma fulvum,2
IneIne,-2.014621514711705,2.5385734451022315,Pasti Cerven,Inermocoelotes inermis,1
LopPun,1.195570520777414,1.0383653895662013,Pasti Cerven,Lophomma punctatum,2
MicPul,-1.3642647418876286,3.2348097209860724,Pasti Cerven,Micaria pulicaria,0
MicGeo,-1.4203221044750942,-2.472878407140751,Pasti Cerven,Micrargus georgescuae,1
MasSun,0.2125677659911247,-0.7072706954246233,Pasti Cerven,Maso sundevalli,0
NeoVal,-1.191733000979652,1.1714300033949279,Pasti Cerven,Neon valentulus,2
NeoBim,-0.45728421918794426,-2.2241226183420264,Pasti Cerven,Neottiura bimaculata,0
NerCla,-2.6181793501708155,-1.4431342679196095,Pasti Cerven,Neriene clathrata,1
NotSar,-0.5708789987396505,-1.0982304384581958,Pasti Cerven,Notioscopus sarcinatus,2
OedFus,-7.85028708199853e-4,0.09613284898248287,Pasti Cerven,Oedothorax fuscus,1
OedGib,2.4495807728134333,0.07771863883970109,Pasti Cerven,Oedothorax gibbosus,2
OryAng,-1.7903232890291199,0.032899970694501235,Pasti Cerven,Oryphantes angulatus,3
OzyCla,0.8403103030367611,0.9259306010817205,Pasti Cerven,Ozyptila claveata,0
OzyPra,0.7073395391539674,0.024994205823260174,Pasti Cerven,Ozyptila praticola,0
OzyTru,0.09912168162043589,-0.13920024438577183,Pasti Cerven,Ozyptila trux,1
PacCle,-0.2718148357503878,-0.9303794186414245,Pasti Cerven,Pachygnatha clercki,1
PacDeg,0.15754866717553462,-0.3367232702393128,Pasti Cerven,Pachygnatha degerii,0
PacLis,0.8503592393120507,0.05712047351844696,Pasti Cerven,Pachygnatha listeri,1
ParAla,4.355332663441702,0.36232182538451374,Pasti Cerven,Pardosa alacris,0
ParAme,1.6943762038035732,-0.41558578941468527,Pasti Cerven,Pardosa amentata,2
ParLug,4.049867907021241,1.4178694787520887,Pasti Cerven,Pardosa lugubris,0
ParPal,0.7871193654093975,0.09699230324491559,Pasti Cerven,Pardosa palustris,0
ParPra,-0.0997530042229744,0.9834527467296983,Pasti Cerven,Pardosa prativaga,2
ParPul,-0.39853345019788056,-0.7910331749284918,Pasti Cerven,Pardosa pullata,1
ParRip,-1.4199776745542518,2.2970485214283287,Pasti Cerven,Pardosa riparia,1
PelRad,-1.3642647418876286,3.2348097209860724,Pasti Cerven,Pelecopsis radicicola,1
PhrFes,-2.0959555619405936,-0.7467561935136546,Pasti Cerven,Phrurolithus festivus,1
PirPir,-0.9174699386494132,-0.8401620718577154,Pasti Cerven,Pirata piraticus,2
PirPis,-0.9862836226442404,-1.27448765110787,Pasti Cerven,Pirata piscatorius,2
PirTen,-1.4500174414976212,1.9764696149895342,Pasti Cerven,Pirata tenuitarsis,2
PirHyg,1.7720474832188637,1.076691830450831,Pasti Cerven,Piratula hygrophila,2
PirLat,0.35198307865883693,0.3304578787220942,Pasti Cerven,Piratula latitans,2
PirUli,0.22484902159193476,2.256482766505036,Pasti Cerven,Piratula uliginosa,3
PocJun,-0.13829860375537173,0.3811853687748581,Pasti Cerven,Pocadicnemis juncea,1
PocPum,-0.7312844412400907,-1.732827563631171,Pasti Cerven,Pocadicnemis pumila ,1
RobAru,1.7734739977027205,1.3071071987212326,Pasti Cerven,Robertus arundineti,0
SibAur,-0.8764873551550838,-1.0949295549642137,Pasti Cerven,Sibianor aurocinctus,0
SilEle,0.6973663840704218,-1.1310033820941332,Pasti Cerven,Silometopus elegans,2
TalExp,-1.5994864109241345,-2.620066847202115,Pasti Cerven,Tallusia experta,2
TenFla,-0.38738646878980365,0.9496850895700168,Pasti Cerven,Tenuiphantes flavipes,0
TenTen,-3.5347231680628233,0.36232182538436897,Pasti Cerven,Tenuiphantes tenuis,0
ThaStr,0.14542196418561604,-1.3616141426575568,Pasti Cerven,Thanatus striatus,1
TmeAff,-1.7903232890291199,0.032899970694501235,Pasti Cerven,Tmeticus affinis,2
TroSpi,0.21805787455486003,-0.14765691779607604,Pasti Cerven,Trochosa spinipalpis,2
TroTer,-0.4437854363509002,-1.7957469490151086,Pasti Cerven,Trochosa terricola,1
WalAlt,-2.2294121584829405,-1.3815403911363269,Pasti Cerven,Walckenaeria alticeps,2
WalAtr,3.921096223858297,0.44007675039433236,Pasti Cerven,Walckenaeria atrotibialis,1
WalDys,4.355332663441702,0.36232182538451374,Pasti Cerven,Walckenaeria dysderoides,1
WalFur,-1.3642647418876286,3.2348097209860724,Pasti Cerven,Walckenaeria furcillata,0
WalKoc,-0.037896121923416626,-0.03438709994424238,Pasti Cerven,Walckenaeria kochi,2
WalVig,0.23428361480975823,0.051947166427920966,Pasti Cerven,Walckenaeria vigilax,2
XysBif,0.016194094987232344,-0.07863508554155585,Pasti Cerven,Xysticus bifasciatus,1
XysCri,-0.1598321969707548,-0.22832293254792768,Pasti Cerven,Xysticus cristatus,1
XysKoc,0.27439180606001123,0.15686012759285806,Pasti Cerven,Xysticus kochi,0
XysUlm,-0.16678990240740554,1.506941366010611,Pasti Cerven,Xysticus ulmi,2
ZelLat,-1.6113014550594302,1.7544447062033246,Pasti Cerven,Zelotes latreilei,0
ZelSub,1.2906524819165166,-1.3634480435715086,Pasti Cerven,Zelotes subterraneus,1
ZorSpi,0.4352259478602494,-0.17060911238783838,Pasti Cerven,Zora spinimana,1
