Short_name,DCA1,DCA2,Dataset,Species,Specialization
AcuCer,-0.07453873532203037,-0.7128301318968646,Smyk Kveten,Aculepeira ceropegia,0
AchCon,2.246011997941091,0.6368268763733893,Smyk Kveten,Achaeridion conigerum,3
AraCra,-2.6711065668854346,2.661158363026737,Smyk Kveten,Araeoncus crassiceps,2
AraStu,1.272969290916218,-0.4704544701364577,Smyk Kveten,Araneus sturmi,0
AraCuc,-3.208052542255217,-1.6891455287067842,Smyk Kveten,Araniella cucurbitina,0
AraOpi,-0.44631106471075577,-0.8602722876877751,Smyk Kveten,Araniella opistographa,0
ArgBru,1.1674796245753072e-5,-1.8479904891164944,Smyk Kveten,Argiope bruennichi,0
AttFlo,-2.60101878378807,-1.4087886703347132,Smyk Kveten,Attulus floricola,2
BatGra,-0.6528722162362242,1.6581784052079167,Smyk Kveten,Bathyphantes gracilis,2
CerBrp,2.1136084054236832,-0.48578388562782937,Smyk Kveten,Ceratinella brevipes,1
CerPro,2.778415108171666,0.3769181703709863,Smyk Kveten,Cercidia prominens,1
CluKul,1.272969290916218,-0.4704544701364577,Smyk Kveten,Clubiona kulczynskii,3
CluRec,-0.8816436997794204,2.8688836576886674,Smyk Kveten,Clubiona reclusa,1
CycCon,-2.1821967231946395,-2.181737968007515,Smyk Kveten,Cyclosa conica,0
DiaDor,-1.0457396559252972,2.040691539698752,Smyk Kveten,Diaea dorsata,0
DicAru,-0.26724753280091096,2.367467445410816,Smyk Kveten,Dictyna arundinacea,0
DicPus,-0.6588774382288771,-1.1867648360067915,Smyk Kveten,Dictyna pusilla,0
DipMel,-1.9074497710120986,1.0681344961321095,Smyk Kveten,Dipoena melanogaster,0
DisBif,0.18044981630264179,-0.4034493412979465,Smyk Kveten,Dismodiscus bifrons,1
DisEle,-0.5557757152787939,1.2161631424642578,Smyk Kveten,Dismodiscus elevatus,1
DolFim,-1.6288377190411634,-2.8803390037664145,Smyk Kveten,Dolomedes fimbriatus,2
EntCon,-1.3552853017883146,-1.945929793690356,Smyk Kveten,Entelecara congenera,0
EriAtr,-1.6651716473335183,-0.46111312761316103,Smyk Kveten,Erigone atra,0
EvaArc,0.3274256083800684,0.8382476086977031,Smyk Kveten,Evarcha arcuata,0
GibGib,0.8045050099017965,0.7688822355851916,Smyk Kveten,Gibbaranea gibbosa,0
HelCup,-1.567586619363701,-2.351610681269065,Smyk Kveten,Heliophanus cupreus,0
HelDam,0.24231574416925472,2.2859911218665436,Smyk Kveten,Heliophanus dampfi,1
HypCor,-1.0812832339070106,1.0955692490963778,Smyk Kveten,Hypomma cornutum,2
HypHer,-1.948277167145926,-0.28279803884084176,Smyk Kveten,Hypsosinga heri,2
HypPyg,0.36149594073151636,-1.157957979010176,Smyk Kveten,Hypsosinga pygmaea,1
HypSan,2.428918635111642,1.6237008994015525,Smyk Kveten,Hypsosinga sanguinea,1
CheErr,0.6761972310501689,1.5291504716250073,Smyk Kveten,Cheiracanthium erraticum,1
LarCor,1.4302570056389547,-0.16651996546349768,Smyk Kveten,Larinioides cornutus,2
LasTri,-0.07886982390280473,-1.6452213184139508,Smyk Kveten,Lasaeola tristis,0
LatHum,-0.6369526260210641,0.6061495794537486,Smyk Kveten,Lathys humilis,0
LinHor,-1.1015934133090381,-0.4154503033500667,Smyk Kveten,Linyphia hortensis,0
ManAca,0.9010176455992127,-0.5466139203330991,Smyk Kveten,Mangora acalypha,0
MarRad,5.845360190078314,0.10531437020340051,Smyk Kveten,Marpissa radiata,2
MasSun,-3.208052542255217,-1.6891455287067842,Smyk Kveten,Maso sundevalli,0
MerTri,-1.666097862606445,3.4901543369440846,Smyk Kveten,Mermessus trilobatus,1
MetMen,4.511626055051912,0.1320339382191833,Smyk Kveten,Metellina mengei,0
MetPro,3.0085981573312743,0.10531437020335654,Smyk Kveten,Metopobactrus prominulus,1
MicHer,-1.01949896226915,-2.065913005747564,Smyk Kveten,Micrargus herbigradus,0
MicPus,2.40661711915235,-0.02165322030886352,Smyk Kveten,Microlinyphia pusilla,0
MicVir,-0.8582718535743359,1.9180349348804502,Smyk Kveten,Micrommata virescens,0
MisVat,-1.6288377190411634,-2.8803390037664145,Smyk Kveten,Misumena vatia,0
NeoBim,-0.2870186557339529,-0.6686732698156501,Smyk Kveten,Neottiura bimaculata,0
NusNas,1.272969290916218,-0.4704544701364577,Smyk Kveten,Nusoncus nasutus,0
ObsObs,-1.666097862606445,3.4901543369440846,Smyk Kveten,Obscuriphantes obscurus,0
OedGib,-0.8734297860915947,0.2607276334808233,Smyk Kveten,Oedothorax gibbosus,2
OxyRam,-2.3433401699351886,-1.6434576722400762,Smyk Kveten,Oxyopes ramosus,1
PacDeg,-1.1260758216890496,-2.6502718682625126,Smyk Kveten,Pachygnatha degerii,0
PacLis,0.6761972310501689,1.5291504716250073,Smyk Kveten,Pachygnatha listeri,1
PaiPal,2.2862196179446954,0.004113584521727942,Smyk Kveten,Paidiscura pallens,0
PhiAlb,-2.029168714083217,-1.7042710169768065,Smyk Kveten,Philodromus albidus,0
PhiAur,-1.01949896226915,-2.065913005747564,Smyk Kveten,Philodromus aureolus,0
PhiCol,1.5312773660611834,0.7464204881071674,Smyk Kveten,Philodromus collinus,0
PhyImp,-0.15030065356442446,1.0686799721102027,Smyk Kveten,Phylloneta impressa,0
PhySis,-2.1821967231946395,-2.181737968007515,Smyk Kveten,Phylloneta sisyphia,0
PisMir,-0.2956363303931926,-0.9584902175169762,Smyk Kveten,Pisaura mirabilis,0
PlaTin,-1.5787723896364931,-1.9527825651884434,Smyk Kveten,Platnickina tincta,0
PocJun,2.394776697367294,0.47745615192574253,Smyk Kveten,Pocadicnemis juncea,1
PocPum,-0.26724753280091096,2.367467445410816,Smyk Kveten,Pocadicnemis pumila ,1
PorPyg,-1.1446044334672154,-0.541524399599111,Smyk Kveten,Porrhomma pygmaeum,2
RobAru,-1.2072806379567702,2.783065476854012,Smyk Kveten,Robertus arundineti,0
SibAur,-1.181108775204929,0.4201883046298469,Smyk Kveten,Sibianor aurocinctus,0
SimSim,-2.1821967231946395,-2.181737968007515,Smyk Kveten,Simitidion simile,0
SinHam,-1.1260758216890496,-2.6502718682625126,Smyk Kveten,Singa hamata,1
TetExt,0.2544292915273143,1.5410958155184578,Smyk Kveten,Tetragnatha extensa,2
TetMon,-1.07315420313761,-2.358094171433627,Smyk Kveten,Tetragnatha montana,2
TetNig,-0.8483203261161263,0.22210742023027952,Smyk Kveten,Tetragnatha nigrita,1
TetObt,-0.06604935950725688,-2.3850325961285,Smyk Kveten,Tetragnatha obtusa,2
TetPin,-1.3913661919572786,-2.76530599542143,Smyk Kveten,Tetragnatha pinicola,1
TheBoe,-0.44631106471075577,-0.8602722876877751,Smyk Kveten,Theridion boesenbergi,0
TheHem,-0.12496005369649277,-1.8680074050251896,Smyk Kveten,Theridion hemerobium,1
TheVar,-3.208052542255217,-1.6891455287067842,Smyk Kveten,Theridion varians,0
TibMar,-3.208052542255217,-1.6891455287067842,Smyk Kveten,Tibellus maritimus,2
TibObl,1.2861910511317953,-1.8067455244923167,Smyk Kveten,Tibellus oblongus,0
TisVag,-1.4526505018169682,3.141882410350032,Smyk Kveten,Tiso vagans,1
TreCri,0.5465220773769408,1.2036815210414822,Smyk Kveten,Trematocephalus cristatus,0
TriCit,-2.9362352353398746,3.0161092769545332,Smyk Kveten,Trichopterna cito,2
WalVig,-0.770415272470907,0.5535421209915772,Smyk Kveten,Walckenaeria vigilax,2
XysBif,0.6981059481534642,-0.5606734475896327,Smyk Kveten,Xysticus bifasciatus,1
XysCri,0.012121920599968306,0.603608818689801,Smyk Kveten,Xysticus cristatus,1
XysUlm,0.02485692240678361,-0.03706007260853372,Smyk Kveten,Xysticus ulmi,2
