Short_name,DCA1,DCA2,Dataset,Species,Specialization
AgyRur,-0.27495434537679775,1.6192627248067164,Smyk Method,Agyneta rurestris,0
AraCra,-2.092554435667118,0.19769573755271752,Smyk Method,Araeoncus crassiceps,2
AraHum,-1.7907157045331912,-0.1289997299529304,Smyk Method,Araeoncus humilis,1
AttCar,-1.4228683169615706,-0.020579936292351997,Smyk Method,Attulus caricis,2
BatGra,-0.63289506680517,1.2011647027024335,Smyk Method,Bathyphantes gracilis,2
CerBrp,1.7401705148828999,2.13527930746079,Smyk Method,Ceratinella brevipes,1
CluRec,0.19221137366284946,1.5265854058809136,Smyk Method,Clubiona reclusa,1
CneObs,2.1427117852615516,1.6514050042648987,Smyk Method,Cnephalocotes obscurus,3
DisBif,3.721759996786752,1.6562062006367557,Smyk Method,Dismodiscus bifrons,1
DolFim,-0.2946433450501147,-1.5212617313774992,Smyk Method,Dolomedes fimbriatus,2
EriAtr,-1.2344248884174038,-0.30753363070356166,Smyk Method,Erigone atra,0
EvaArc,0.16305116660881902,-0.5265705493949973,Smyk Method,Evarcha arcuata,0
MasSun,-0.7698049132070242,-2.207349855688059,Smyk Method,Maso sundevalli,0
NeoBim,0.6571606870562836,-0.3472415298976008,Smyk Method,Neottiura bimaculata,0
OedGib,1.7044116052914418,0.24064828482449352,Smyk Method,Oedothorax gibbosus,2
OzyTru,2.1980387133440993,-2.1356457533375375,Smyk Method,Ozyptila trux,1
PacDeg,2.174578673307971,-2.246848176541528,Smyk Method,Pachygnatha degerii,0
PacLis,-1.647076493425795,0.2607781015178783,Smyk Method,Pachygnatha listeri,1
PocJun,1.8084796951177258,2.2999423428716512,Smyk Method,Pocadicnemis juncea,1
PocPum,-1.667453726840438,-1.1586441933682419,Smyk Method,Pocadicnemis pumila ,1
RobAru,-1.5879480522706146,0.22365486394841483,Smyk Method,Robertus arundineti,0
SibAur,-1.4849053175700881,0.11003880287539003,Smyk Method,Sibianor aurocinctus,0
TenTen,-2.893484598886429,-0.9757393625187704,Smyk Method,Tenuiphantes tenuis,0
WalFur,-1.171501414391785,1.2659852247155285,Smyk Method,Walckenaeria furcillata,0
WalVig,-0.4430390182305157,1.343043966775637,Smyk Method,Walckenaeria vigilax,2
XysBif,1.0802873360156813,2.758296181550127,Smyk Method,Xysticus bifasciatus,1
XysCri,0.6527710838379477,1.9248187589539647,Smyk Method,Xysticus cristatus,1
XysUlm,0.5961207076797992,0.7707458479323481,Smyk Method,Xysticus ulmi,2
ZorSpi,-2.7887545335427317,-0.6197888738967867,Smyk Method,Zora spinimana,1
AcuCer,-0.3698391200561477,1.980422031790002,Smyk Method,Aculepeira ceropegia,0
AchCon,0.5135265538140845,-1.0045826678890908,Smyk Method,Achaeridion conigerum,3
AraStu,1.059625289417852,2.1315345675793536,Smyk Method,Araneus sturmi,0
AraCuc,0.61028133810977,-1.3007012506171438,Smyk Method,Araniella cucurbitina,0
AraOpi,-0.5766637140739626,3.170589828528193,Smyk Method,Araniella opistographa,0
ArgBru,-0.303448165919183,-0.43416093859958016,Smyk Method,Argiope bruennichi,0
AttFlo,-1.8360450509977562,-0.5910110892805476,Smyk Method,Attulus floricola,2
CerPro,1.7501898956767676,-1.8228822833230829,Smyk Method,Cercidia prominens,1
CluKul,1.9393830049876155,2.80915471733837,Smyk Method,Clubiona kulczynskii,3
CycCon,-2.682278203309205,-1.711526066246394,Smyk Method,Cyclosa conica,0
DiaDor,-1.0729115053031064,0.9814936468440068,Smyk Method,Diaea dorsata,0
DicAru,-1.9216561179987959,-0.8829551912269543,Smyk Method,Dictyna arundinacea,0
DicPus,-0.3136443271527467,-0.8994351228122327,Smyk Method,Dictyna pusilla,0
DipMel,-0.17678016095865345,-2.66056415270996,Smyk Method,Dipoena melanogaster,0
DisEle,-0.84673984548208,0.4450936696986627,Smyk Method,Dismodiscus elevatus,1
EntCon,0.7818190083600736,-0.7776532245244938,Smyk Method,Entelecara congenera,0
GibGib,0.33847914042462657,1.1018053021862455,Smyk Method,Gibbaranea gibbosa,0
HelCup,-1.3327701228643063,-1.395321970557611,Smyk Method,Heliophanus cupreus,0
