Locality,DCA1,DCA2,Dataset
BBN_A,-0.32785717755576615,0.028768404511414714,All Combined
BBN_B,-0.195554624997345,0.43468341150801204,All Combined
BHN_A,-0.16151540072354864,-1.122151860270139,All Combined
BHN_B,-0.11417149917782066,-0.7148807866503074,All Combined
BZN_A,0.11017766405475093,-0.9291826975072153,All Combined
BZN_B,0.18754460325017774,-0.4027482041802909,All Combined
BRK_A,-0.0749291324463649,-0.5072182878282258,All Combined
BRK_B,-0.23776471311402314,-0.32237458682989895,All Combined
DVR_A,-0.2193837442458092,0.6659042412446028,All Combined
DVR_B,0.30912227902590894,1.2055396626210118,All Combined
HLN_A,0.34024044997836045,0.9968196084861178,All Combined
HLN_B,-0.07145063535383334,0.7902484583539076,All Combined
HVZ_A,0.23534319422885397,0.8461647965583676,All Combined
HVZ_B,0.9005000714229912,0.760900649045607,All Combined
HRD_A,-0.2247679004204981,-0.0850886058041147,All Combined
HRD_B,0.3982264444383845,-0.2147204765595957,All Combined
HRC_A,0.10957202557814738,-0.4301475450276685,All Combined
HRC_B,0.6087340564674748,0.12444582622905931,All Combined
CHV_A,-0.35818371096778473,-0.09549065064140727,All Combined
CHV_B,0.025691835858637213,-0.06744009312174093,All Combined
KLS_A,-0.15064078578904883,-0.45133295450127453,All Combined
KLS_B,0.26067988516988794,-0.7151996516516188,All Combined
KCD_A,-0.32267011758119557,0.33070916076297685,All Combined
KCD_B,-0.37644058093533306,0.04267025278691783,All Combined
KKL_A,-0.6340006508235583,0.9704134631811918,All Combined
KKL_B,-0.5183544834401945,0.8414407236835997,All Combined
LCL_A,-0.07242524342457113,-0.39022272850952633,All Combined
LCL_B,-0.07616861724468038,-0.0891589172396905,All Combined
LVJ_A,-0.5014472849716691,-0.7754144073227327,All Combined
LVJ_B,-0.2749676568432843,-1.1844350602569995,All Combined
NSV_A,0.28487108591792265,-0.6154502538990139,All Combined
NSV_B,0.2947700229762742,-0.9482078105611823,All Combined
OKL_A,-0.2890145462946738,-0.9335040536055679,All Combined
OKL_B,-0.2101325359483609,-0.320506772737966,All Combined
NVS_A,-0.24088278832478927,-0.7612316794502543,All Combined
NVS_B,0.36353529378890603,-0.5028331929663822,All Combined
PRZ_A,0.4844256157763873,-0.9432632093778592,All Combined
PRZ_B,0.7214283745315002,-0.5549120704265265,All Combined
PKV_A,-0.16072999191750859,-0.25852525906013435,All Combined
PKV_B,-0.28458353641020184,-0.43094236569597977,All Combined
RTR_A,-0.05282419565042196,-0.7991882855642549,All Combined
RTR_B,-0.36463438466537823,-0.8887371689137156,All Combined
STR_A,-0.4038186137023658,0.7310111352896982,All Combined
STR_B,-0.47123889143083925,0.9637940127335893,All Combined
SVD_A,-0.02734287270657998,1.3809560109047903,All Combined
SVD_B,-0.2396271794980599,1.2845208717270453,All Combined
SFR_A,0.2087121197262034,-1.1123947978998097,All Combined
SFR_B,-0.32045549457210915,-0.7392805549461225,All Combined
VLS_A,-0.22185856360909018,-0.13603291314803867,All Combined
VLS_B,-0.02395249048685577,-0.3358095352775732,All Combined
VRJ_A,0.19341239705951763,0.3428198936242888,All Combined
VRJ_B,-0.07345966810806215,1.0251011591862262,All Combined
ZHJ_A,0.10149260162120533,-0.3674646168957125,All Combined
ZHJ_B,0.44538541429168044,-0.18410353966082482,All Combined
ZLM_A,-0.17237890520902743,-0.2309225853878445,All Combined
ZLM_B,0.20741602162222073,0.2081951162223299,All Combined
ZMB_A,0.5101361656737935,0.31822552620742295,All Combined
ZMB_B,3.774994328941049,0.18956749204727674,All Combined
ZMK_A,-0.8189865171540223,0.8096496247491725,All Combined
ZMK_B,-0.12366273571333652,0.990426972326746,All Combined
