Species,DCA1,DCA2,Dataset
AgyCau,-0.9653306833435342,0.44855099125592357,Cerven Month
AgyRur,-0.6135583521609482,1.5512759316374174,Cerven Month
AloPul,0.07761368243067057,0.1854854402918753,Cerven Month
AntEle,-1.0256512055970217,-0.8710462744050178,Cerven Month
AphMis,1.219138498513861,1.873592358386857,Cerven Month
AraCra,-0.5071130743592231,-0.9232926506630935,Cerven Month
AraHum,-1.2495947624793853,1.410900651788817,Cerven Month
ArcLeo,0.8139322438538938,-1.1437724001905827,Cerven Month
AttCar,-0.5213888677047298,-0.6199543032562629,Cerven Month
AulAlb,-0.722596674835497,-1.893543988014258,Cerven Month
BatGra,1.2398334365459145,0.983530520788213,Cerven Month
BatNig,4.503790670845322,-0.33565148731867334,Cerven Month
CenArc,-1.620194385840687,2.282571000400131,Cerven Month
CenLev,-1.1233216604030725,-1.173008317130623,Cerven Month
CerBrp,-0.01172703431512323,1.3807885815751528,Cerven Month
CerBrs,-1.111732879164362,-0.07007275759002174,Cerven Month
CluNeg,-0.9229515286506824,1.5397809664512243,Cerven Month
CluRec,0.7389098917218639,1.1942694246867207,Cerven Month
CneObs,0.09131847677255056,-2.640586531999446,Cerven Month
DipCon,4.503790670845322,-0.33565148731867334,Cerven Month
DisBif,3.8278721883079427,-0.5413603405450405,Cerven Month
DolFim,-0.6955641239520785,-2.1093686172630743,Cerven Month
DraCup,-1.5432013799094386,3.992278229743357,Cerven Month
DraPub,-1.2993342919204198,-1.518345219098705,Cerven Month
DraLut,-0.2783522301795398,-0.4426335136267756,Cerven Month
DraPus,-1.4045437743067828,1.2889336256148236,Cerven Month
EriAtr,-0.160139754605932,-0.38396906864437796,Cerven Month
EriIgn,-0.18179685914980004,1.7652762940414668,Cerven Month
EuoFro,0.1751377458199883,-1.7305926671460155,Cerven Month
EurFla,-0.7929037004916841,-2.330916206101994,Cerven Month
EvaArc,0.3445846014421847,-1.461936678374648,Cerven Month
GnaNig,-0.11867152475258935,0.5024292030920274,Cerven Month
GnaDen,0.43399976360101666,2.213380558679813,Cerven Month
GonLat,0.06158610931808095,2.0834113573816797,Cerven Month
GonViv,-1.4045437743067828,1.2889336256148236,Cerven Month
HapCog,-2.313785290808142,-1.3869209891181389,Cerven Month
HygRub,-1.6141011100034388,-2.5748038983967785,Cerven Month
HypFul,0.01840050781587932,2.256470906063209,Cerven Month
IneIne,-1.1736205328697271,-2.1153055189833,Cerven Month
LopPun,0.9920205352793299,-0.18730894776905616,Cerven Month
MicPul,-0.5690173532006919,-2.67977038938134,Cerven Month
MicGeo,-1.1233216604030725,-1.173008317130623,Cerven Month
MasSun,-1.0672427829823297,-1.9910111828520347,Cerven Month
NeoVal,-0.8887710910593214,-0.7850357121084672,Cerven Month
NeoBim,0.07919060908503761,0.03645782606681025,Cerven Month
NerCla,-1.531910925280725,-3.3680211748719016,Cerven Month
NotSar,-0.555961414576593,0.3902514416793008,Cerven Month
OedFus,-0.23878113483801044,1.4669963501470753,Cerven Month
OedGib,2.2746099636798416,1.3204005444346247,Cerven Month
OryAng,-1.2993342919204198,-1.518345219098705,Cerven Month
OzyCla,0.018874825073611046,1.6982966315902588,Cerven Month
OzyPra,0.42100472884991236,1.143813705780694,Cerven Month
OzyTru,0.10628107824178379,0.3056686795012311,Cerven Month
PacCle,-0.34019765425630366,1.9419665252321505,Cerven Month
PacDeg,-0.49206806889862253,2.436320560244448,Cerven Month
PacLis,1.004593377915778,0.08757380550758764,Cerven Month
ParAla,4.503790670845322,-0.33565148731867334,Cerven Month
ParAme,1.4942441908383355,1.3233316232140306,Cerven Month
ParLug,4.0025677820951495,-1.3328135132974754,Cerven Month
ParPal,-0.929258489929689,2.748787681713218,Cerven Month
ParPra,0.3499546618949303,0.23953025766328206,Cerven Month
ParPul,-0.16086193263784931,0.9095806411140352,Cerven Month
ParRip,-0.7657834698110271,-1.9329245929300032,Cerven Month
PelRad,-0.5690173532006919,-2.67977038938134,Cerven Month
PhrFes,-1.2898985203618243,-2.5818822907163064,Cerven Month
PirPir,-0.7882384353750767,-0.3887529915142567,Cerven Month
PirPis,0.06218085612168833,-1.0979788934103472,Cerven Month
PirTen,-0.8578259216895014,-1.682137317237813,Cerven Month
