Species,DCA1,DCA2,Dataset
AgyRur,-0.05743412309855511,2.0638266417728985,Kveten Month
AloCun,-0.5158710502602092,-1.9534732627323212,Kveten Month
AloPul,-0.21737937511376126,0.6033427843643884,Kveten Month
AntEle,-0.3871460360383895,0.5558778546747349,Kveten Month
AphMis,-2.3463415399429204,-2.582843272750921,Kveten Month
AraCra,0.3762751581506607,-1.0030376283489528,Kveten Month
AraHum,-0.6558637570414476,-3.2000734028821602,Kveten Month
ArcLeo,-0.8869523020810048,2.627997878482101,Kveten Month
AttCar,-1.0289594245640978,-2.1764954939660015,Kveten Month
AulAlb,1.651435594642009,2.5883306752384536,Kveten Month
BatGra,0.36074010299911796,-0.9398092347505647,Kveten Month
BatNig,4.3296979197036,0.24223816484675287,Kveten Month
CenArc,-1.7833777186792599,-0.6435772155382434,Kveten Month
CenLev,0.7712014504143614,1.7390831094149195,Kveten Month
CerBrp,0.3396669689348155,-0.3046514815765502,Kveten Month
CerBrs,0.5485644941517436,0.7742323629168071,Kveten Month
CluRec,-0.25629550245420474,-0.5829881513337407,Kveten Month
CneObs,0.38808022791197816,0.488951868594222,Kveten Month
DisBif,-0.12823731562831975,-0.8648819374955499,Kveten Month
DolFim,-0.6254392810636398,1.6731495778286198,Kveten Month
DraCup,-1.1182916746302498,-0.9767030298529258,Kveten Month
DraLut,0.13640374340964923,0.7534577169535679,Kveten Month
DraPus,0.2896982580151599,-1.581025425269269,Kveten Month
EriAtr,-1.144603427653506,-4.355986316841567,Kveten Month
EriIgn,0.13533395494260314,0.03245272399995547,Kveten Month
EurFla,-0.16461713990956484,2.4079125094253024,Kveten Month
EvaArc,-0.5059655630387674,1.1003887966335675,Kveten Month
GnaNig,-0.5920734649318159,1.0704151641768715,Kveten Month
GonLat,4.007080127133775,1.686909964131604,Kveten Month
GonViv,4.14213301511673,-1.499498003602387,Kveten Month
HygRub,-1.2903667042376246,1.744439926589285,Kveten Month
IneIne,-0.7834346148010425,2.231090685234797,Kveten Month
LopPun,0.1138722190234478,0.2906659922093895,Kveten Month
MicPul,-0.9347702939066233,3.259443009806578,Kveten Month
MasSun,-2.3463415399429204,-2.582843272750921,Kveten Month
NeoVal,-0.917930887171907,0.8221126402885031,Kveten Month
NeoBim,-0.22964721248519204,0.0556144084115604,Kveten Month
NerCla,-0.1775383323515355,1.25215809887827,Kveten Month
NotSar,-0.07759434015960698,-0.08338950720876848,Kveten Month
OedGib,2.603931787812404,-0.6732873456304399,Kveten Month
OzyTru,0.3521292212986702,0.937774227546827,Kveten Month
PacCle,0.2172628231946654,-1.6671608229726753,Kveten Month
PacDeg,-0.6429520676891347,-1.758377774106667,Kveten Month
PacLis,0.3023070515656163,1.5897891762153875,Kveten Month
ParAla,-0.38580058097230596,-1.4790378011783285,Kveten Month
ParAme,2.0804783215283527,-2.3997365436020757,Kveten Month
ParLug,-0.2805525083066307,2.5169558054950594,Kveten Month
ParPra,1.1710057859047287,-1.7355722859160354,Kveten Month
ParPul,-0.05030979843977701,-0.6288669915294912,Kveten Month
ParRip,-1.163678009201615,2.4561904478964056,Kveten Month
PirPis,-0.4533701813879591,-1.0895951588524915,Kveten Month
PirHyg,0.44941889530495094,1.0771281586502026,Kveten Month
PirLat,-0.23017059565045161,-1.914166863706384,Kveten Month
PirUli,0.2747622179470699,1.9038658315762256,Kveten Month
PocJun,-0.05337369674917514,0.8017944193157736,Kveten Month
PocPum,-0.37224460518569846,0.3714550488646451,Kveten Month
RobAru,-0.6558637570414476,-3.2000734028821602,Kveten Month
SibAur,-1.0763435726189508,-1.4709254556714313,Kveten Month
SilEle,-0.11143674889961308,-1.1247000784524301,Kveten Month
TalExp,0.16264982576728615,0.14001330392336309,Kveten Month
TenTen,-0.31044031449211307,-1.356552765593626,Kveten Month
