Short_name,DCA1,DCA2,Dataset,Species,Specialization
AgyCau,-1.0519211652695133,0.4887703525851599,All Combined,Agyneta cauta,2
AgyRur,-0.4014928751366709,-1.083880506256717,All Combined,Agyneta rurestris,0
AloCun,-0.8464564576222369,-2.5452872295080837,All Combined,Alopecosa cuneata,0
AloPul,-0.269695082335915,0.3731538536725676,All Combined,Alopecosa pulverulenta,0
AntEle,-0.9044780918219395,1.0084403917401707,All Combined,Antistea elegans,2
AphMis,0.6506470475505288,1.118893461013815,All Combined,Aphileta misera,3
AraCra,0.012591907284495996,-0.8064975520721653,All Combined,Araeoncus crassiceps,2
AraHum,-0.8921760517859404,-1.3103989395156748,All Combined,Araeoncus humilis,1
ArcLeo,-0.26543247332968534,1.5016489151255192,All Combined,Arctosa leopardus,2
AttCar,-0.6553556182297354,-0.4067812477198891,All Combined,Attulus caricis,2
AulAlb,0.9760303219022215,1.6475717415671784,All Combined,Aulonia albimana,0
BatGra,0.5826151387114227,-0.8675646098441091,All Combined,Bathyphantes gracilis,2
BatNig,4.594434237040381,0.234696536934897,All Combined,Bathyphantes nigrinus,2
CenArc,-1.8570352535514247,0.8318654200477225,All Combined,Centromerus arcanus,1
CenLev,0.06130744365398244,1.0617721788126966,All Combined,Centromerus levitarsis,2
CerBrp,0.039015339159497286,-0.885798955166297,All Combined,Ceratinella brevipes,1
CerBrs,0.5639486174582999,0.5391321154167388,All Combined,Ceratinella brevis,0
CluNeg,-0.03162060724653004,0.017498983429617976,All Combined,Clubiona neglecta,1
CluRec,-0.4335338709229039,-0.6597650302684541,All Combined,Clubiona reclusa,1
CneObs,0.8521987041429877,0.2650565936261824,All Combined,Cnephalocotes obscurus,3
DipCon,4.594434237040381,0.234696536934897,All Combined,Diplostyla concolor,0
DisBif,3.7479476664225135,-1.0906485116622453,All Combined,Dismodiscus bifrons,1
DolFim,-0.22633176780330844,2.0480966713596955,All Combined,Dolomedes fimbriatus,2
DraCup,-1.5448253352208972,-1.963303877571943,All Combined,Drassodes cupreus,1
DraPub,-1.682445105899009,1.94892338421434,All Combined,Drassodes pubescens,0
DraLut,0.2529138652795506,0.5971627450884684,All Combined,Drassyllus lutetianus,2
DraPus,-0.005074362130445653,-1.22615032727645,All Combined,Drassyllus pusillus,0
EriAtr,-0.9456661460215802,-1.4641392159890259,All Combined,Erigone atra,0
EriIgn,-0.29453161936028915,-0.44402428603602817,All Combined,Erigonella ignobilis,2
EuoFro,1.047269121982261,1.830692816082069,All Combined,Euophrys frontalis,0
EurFla,0.28412755667578216,1.8342930471855237,All Combined,Euryopis flavomaculata,1
EvaArc,-0.059174378449807996,1.0448646583884784,All Combined,Evarcha arcuata,0
GnaNig,-0.9257163953041959,0.9414753177613671,All Combined,Gnaphosa nigerrima,2
GnaDen,-1.2701464901559343,-3.4823779254223113,All Combined,Gnathonarium dentatum,2
GonLat,3.7683047797661864,0.13238518764287943,All Combined,Gongylidiellum latebricola,0
GonViv,4.0891415595404395,-0.9891640278494016,All Combined,Gongylidiellum vivum,2
HapCog,-2.061987116725447,1.9783849361576133,All Combined,Haplodrassus cognatus,1
HygRub,-1.4178178376414878,2.4857058962898235,All Combined,Hygrolycosa rubrofasciata,2
HypFul,0.5391067753865695,-3.2082567584660344,All Combined,Hypomma fulvum,2
IneIne,-0.9277767181057776,2.0690119461278678,All Combined,Inermocoelotes inermis,1
LopPun,0.6118880316802648,-1.3454338188960084,All Combined,Lophomma punctatum,2
MicPul,1.6715781120487805,2.5377162603828647,All Combined,Micaria pulicaria,0
MicGeo,-1.0837749852266025,1.3477702026771694,All Combined,Micrargus georgescuae,1
MasSun,-1.2744014362417833,1.8603235518137242,All Combined,Maso sundevalli,0
NeoVal,-0.36999539897839034,1.104637381317389,All Combined,Neon valentulus,2
NeoBim,0.15321711245840952,0.11731350819551967,All Combined,Neottiura bimaculata,0
NerCla,-1.5707028076592024,1.3310997617135634,All Combined,Neriene clathrata,1
NotSar,-0.2833546147458783,0.004198968410082049,All Combined,Notioscopus sarcinatus,2
OedFus,-0.9722149859383554,-1.4695261499957784,All Combined,Oedothorax fuscus,1
OedGib,1.9834973488815189,-1.469207464061248,All Combined,Oedothorax gibbosus,2
OryAng,-1.682445105899009,1.94892338421434,All Combined,Oryphantes angulatus,3
OzyCla,-1.34587222665059,-2.41974898164941,All Combined,Ozyptila claveata,0
OzyPra,-0.732478524954331,-1.241922448942543,All Combined,Ozyptila praticola,0
OzyTru,0.18914403917826217,-0.674795133678554,All Combined,Ozyptila trux,1
PacCle,-0.09973535159745717,-1.914592924650585,All Combined,Pachygnatha clercki,1
PacDeg,-0.8650069081646286,-1.7262531499544873,All Combined,Pachygnatha degerii,0
PacLis,0.6519176910891904,1.2508627020966752,All Combined,Pachygnatha listeri,1
ParAla,4.225975103482084,-0.0875911271653278,All Combined,Pardosa alacris,0
ParAme,1.1779719044750177,-2.120249387373669,All Combined,Pardosa amentata,2
ParLug,4.09800013795701,1.4374020494610957,All Combined,Pardosa lugubris,0
ParPal,-0.8339496960744183,-2.8651343070997264,All Combined,Pardosa palustris,0
ParPra,0.5508597064893319,-1.7547785868578014,All Combined,Pardosa prativaga,2
ParPul,-0.4005835050038577,-0.7137184265196985,All Combined,Pardosa pullata,1
ParRip,0.23759704063769105,2.5880087340761952,All Combined,Pardosa riparia,1
PelRad,2.7406308925317324,1.341050990231552,All Combined,Pelecopsis radicicola,1
PhrFes,-1.387972827460322,2.4668452112967136,All Combined,Phrurolithus festivus,1
PirPir,-0.010472986215581237,0.12655632829336216,All Combined,Pirata piraticus,2
PirPis,-0.3942820532754809,-0.4693984189772996,All Combined,Pirata piscatorius,2
PirTen,-1.248613495732759,0.06287280818225005,All Combined,Pirata tenuitarsis,2
