Short_name,DCA1,DCA2,Dataset,Species,Specialization
AgrBru,-0.6208639969815236,-1.108084770169206,Pasti Kveten,Agroeca brunnea,0
AgyAff,-2.219055958109932,-3.288420531654194,Pasti Kveten,Agyneta affinis,0
AgyRur,-0.652616423034434,1.9936267253972466,Pasti Kveten,Agyneta rurestris,0
AloCun,0.11212128518590503,-1.483858960496151,Pasti Kveten,Alopecosa cuneata,0
AloPul,-0.5663121998686489,0.23522798689813373,Pasti Kveten,Alopecosa pulverulenta,0
AntEle,-0.33260187567505173,-1.1336134433154867,Pasti Kveten,Antistea elegans,2
AphMis,-1.580352002861451,-2.6689164547425017,Pasti Kveten,Aphileta misera,3
AraCra,0.9234899450201142,-0.7253314753736491,Pasti Kveten,Araeoncus crassiceps,2
AraHum,0.35686737704274996,-2.8728547980645804,Pasti Kveten,Araeoncus humilis,1
ArcLeo,-2.1948807010618587,2.0912984127543996,Pasti Kveten,Arctosa leopardus,2
AttCar,-0.7473802467248396,-1.2861793747186403,Pasti Kveten,Attulus caricis,2
AttPub,0.7276741788738748,-2.5632727510340043,Pasti Kveten,Attulus pubescens,0
AulAlb,-1.07151127453235,2.098072184490045,Pasti Kveten,Aulonia albimana,0
BatApp,2.041994174467276,-0.8891801972674805,Pasti Kveten,Bathyphantes approximatus,2
BatGra,0.6893387493698246,-1.8313116991174794,Pasti Kveten,Bathyphantes gracilis,2
BatNig,3.725670092981722,0.22827149894072973,Pasti Kveten,Bathyphantes nigrinus,2
CalCla,-1.5689112693538014,1.641897830999154,Pasti Kveten,Callobius claustrarius,0
CenArc,-1.6919936810294107,-2.672770286256469,Pasti Kveten,Centromerus arcanus,1
CenLev,-0.5433134156194485,2.0660571370941834,Pasti Kveten,Centromerus levitarsis,2
CerBrp,0.5398768071507396,-0.030923331355876327,Pasti Kveten,Ceratinella brevipes,1
CerBrs,-0.6528977975631629,1.251313438835767,Pasti Kveten,Ceratinella brevis,0
CicCic,1.795611695404788,-1.3439072084342647,Pasti Kveten,Cicurina cicur,0
