Short_name,DCA1,DCA2,Dataset,Species,Specialization
AcuCer,-0.006556851035118474,-0.6384868960141565,Smyk Cerven,Aculepeira ceropegia,0
AgyRur,-0.006556998854616319,-0.9109680771340147,Smyk Cerven,Agyneta rurestris,0
AraHum,-0.006556635963126957,-1.3050604113081645,Smyk Cerven,Araeoncus humilis,1
AraQua,-0.006557266573364955,2.3764582772151313,Smyk Cerven,Araneus quadratus,0
AraStu,-0.006557734266389028,-1.4079096772373498,Smyk Cerven,Araneus sturmi,0
AraCuc,-0.006557064245604302,-0.5809243894809173,Smyk Cerven,Araniella cucurbitina,0
ArgBru,-0.00655792654892933,-0.526043292439824,Smyk Cerven,Argiope bruennichi,0
AttCar,-0.006557864869191368,-0.6253410771556367,Smyk Cerven,Attulus caricis,2
AttFlo,-0.006556567111886532,-0.862373240007972,Smyk Cerven,Attulus floricola,2
CluLut,-0.006552231303714596,5.794737868838011,Smyk Cerven,Clubiona lutescens,0
CluPhr,-0.0065575116734419795,-5.441806272104663,Smyk Cerven,Clubiona phragmitis,2
CluRec,-0.006557053546421784,2.4122944660212005,Smyk Cerven,Clubiona reclusa,1
CluSta,-0.006555731323139218,-0.5615817640110103,Smyk Cerven,Clubiona stagnatilis,2
CneObs,-0.006557937700653579,1.3871222064056408,Smyk Cerven,Cnephalocotes obscurus,3
DicAru,-0.0065576419636290215,-0.7626474181328282,Smyk Cerven,Dictyna arundinacea,0
DipMel,-0.0065585854103600615,1.0713447787771928,Smyk Cerven,Dipoena melanogaster,0
DisBif,-0.006553642337047754,4.113952881167284,Smyk Cerven,Dismodiscus bifrons,1
DisEle,-0.006557063150644536,-1.1184573706111398,Smyk Cerven,Dismodiscus elevatus,1
EnoOva,-0.0065551692060167146,2.7479628427018206,Smyk Cerven,Enoplognatha ovata,0
EntFla,-0.006558182973875992,-0.5353960250834424,Smyk Cerven,Entelecara flavipes,0
EriAtr,-0.006557491885419371,-0.6810749630401856,Smyk Cerven,Erigone atra,0
EriDen,-0.006556977423937228,1.2058019205567128,Smyk Cerven,Erigone dentipalpis,0
EvaArc,-0.006557668426538799,0.32886705130277605,Smyk Cerven,Evarcha arcuata,0
EvaFal,-0.006558171502035765,0.4953542571821057,Smyk Cerven,Evarcha falcata,0
HelCup,-0.006557575952686258,-0.31116216086286386,Smyk Cerven,Heliophanus cupreus,0
HelFla,-0.006557723196100124,-0.04923728039025388,Smyk Cerven,Heliophanus flavipes,0
HypCor,-0.0065585854103600615,1.0713447787771928,Smyk Cerven,Hypomma cornutum,2
HypHer,-0.00655709828144202,-0.5990446741491633,Smyk Cerven,Hypsosinga heri,2
HypPyg,-0.0065574698831063856,-0.39069089113196664,Smyk Cerven,Hypsosinga pygmaea,1
HypSan,-0.006556143771250113,-1.3863587319309625,Smyk Cerven,Hypsosinga sanguinea,1
LarCor,-0.006557155121830155,-1.2275842550381593,Smyk Cerven,Larinioides cornutus,2
LasTri,-0.006558332472002305,-2.160501841817523,Smyk Cerven,Lasaeola tristis,0
LinTri,-0.0065583747699783715,0.30629462019968745,Smyk Cerven,Linyphia triangularis,0
ManAca,-0.00655682021612897,-0.6751074293138095,Smyk Cerven,Mangora acalypha,0
MarRad,-0.006552231303714596,5.794737868838011,Smyk Cerven,Marpissa radiata,2
MasSun,-0.006559143927503917,0.5265071320585912,Smyk Cerven,Maso sundevalli,0
MicPus,1,1.492813008400696,Smyk Cerven,Microlinyphia pusilla,0
MicVir,-0.006557700119096221,-0.545316893436782,Smyk Cerven,Micrommata virescens,0
MisVat,-0.006558274587205836,2.419506759277599,Smyk Cerven,Misumena vatia,0
NeoBim,-0.006557482627599431,-0.8237931863901222,Smyk Cerven,Neottiura bimaculata,0
NerRad,-0.006558391649428551,0.33894137958802784,Smyk Cerven,Neriene radiata,0
OxyRam,-0.0065573938618171375,-0.48335975125336894,Smyk Cerven,Oxyopes ramosus,1
OzyTru,-0.006558725292788397,0.11452951555713398,Smyk Cerven,Ozyptila trux,1
PacLis,-0.006557723196100124,-0.04923728039025388,Smyk Cerven,Pachygnatha listeri,1
PhiAlb,-0.006556336737611934,-0.34108152011210535,Smyk Cerven,Philodromus albidus,0
PhiAur,-0.006556333805723097,-1.5385167575161485,Smyk Cerven,Philodromus aureolus,0
PhiCol,-0.006555636509158707,-1.5082930491885076,Smyk Cerven,Philodromus collinus,0
PhyImp,-0.006557146046335197,-0.13698805204434716,Smyk Cerven,Phylloneta impressa,0
PisMir,-0.006557905179786747,0.8093000520811442,Smyk Cerven,Pisaura mirabilis,0
PlaTin,-0.006556573476552942,-1.7877865684702035,Smyk Cerven,Platnickina tincta,0
RobAru,-0.006557741859815695,-0.42907307715073983,Smyk Cerven,Robertus arundineti,0
SynGlo,-0.006557352353172279,0.24767259974449995,Smyk Cerven,Synema globosum,1
TenTen,-0.006557021540257616,-3.5051039653534874,Smyk Cerven,Tenuiphantes tenuis,0
TetExt,-0.006557375817272465,-0.12106853076449386,Smyk Cerven,Tetragnatha extensa,2
TetMon,-0.00655456846969902,4.078193447980787,Smyk Cerven,Tetragnatha montana,2
TetNig,-0.006557249857278158,-1.3986329514543572,Smyk Cerven,Tetragnatha nigrita,1
TetObt,-0.0065575116734419795,-5.441806272104663,Smyk Cerven,Tetragnatha obtusa,2
TetPin,-0.006556977423937228,1.2058019205567128,Smyk Cerven,Tetragnatha pinicola,1
TheGem,-0.006558790878350537,0.31354979956837337,Smyk Cerven,Theridiosoma gemmosum,2
TibMar,-0.006558290276204366,0.7486057158714265,Smyk Cerven,Tibellus maritimus,2
TibObl,-0.006557329133550362,2.176964904139938,Smyk Cerven,Tibellus oblongus,0
TreCri,-0.006556760825790746,1.8731671279880029,Smyk Cerven,Trematocephalus cristatus,0
WalFur,-0.006557693326031436,-0.9152799815476715,Smyk Cerven,Walckenaeria furcillata,0
XysBif,1,1.492813008400696,Smyk Cerven,Xysticus bifasciatus,1
XysCri,-0.006557139433228995,-0.30959715589503567,Smyk Cerven,Xysticus cristatus,1
XysUlm,-0.006557017766220287,1.8853359715368594,Smyk Cerven,Xysticus ulmi,2
ZorSpi,-0.006558911327171914,-4.079089402910255,Smyk Cerven,Zora spinimana,1
