Species,Family
Alabasta militaris,Arcellinida
Arcella conica,Arcellinida
Arcella costata,Arcellinida
Arcella crenulata,Arcellinida
Arcella dentata,Arcellinida
Arcella excavata,Arcellinida
Arcella gibbosa,Arcellinida
Arcella hemisphaerica,Arcellinida
Arcella mitrata,Arcellinida
Arcella rotunda,Arcellinida
Arcella vulgaris,Arcellinida
Argynnia dentistoma,Arcellinida
Assulina muscorum,Euglyphida
Assulina seminulum,Euglyphida
Awerintzewia cyclostoma,Arcellinida
Bullinularia gracilis,Arcellinida
Centropyxis aculeata,Arcellinida
Centropyxis aerophila,Arcellinida
Centropyxis mirabilis,Arcellinida
Centropyxis constricta,Arcellinida
Centropyxis cryptostoma,Arcellinida
Centropyxis discoides,Arcellinida
Centropyxis ecornis,Arcellinida
Centropyxis lapponica,Arcellinida
Centropyxis oblonga,Arcellinida
Centropyxis orbicularis,Arcellinida
Centropyxis sphagnicola,Arcellinida
Centropyxis spinosa,Arcellinida
Puytoracia bonneti,Euglyphida
Corythion dubium,Euglyphida
Corythion gigas,Euglyphida
Cryptodifflugia constricta,Arcellinida
Cryptodifflugia glabra,Arcellinida
Cryptodifflugia oviformis,Arcellinida
Cryptodifflugia fusca,Arcellinida
Cryptodifflugia sacculus,Arcellinida
Cyclopyxis arcelloides,Arcellinida
Cyclopyxis eurystoma,Arcellinida
Cyclopyxis intermedia,Arcellinida
Cyphoderia ampulla,Euglyphida
Cyphoderia calceolus,Euglyphida
Diaphoropodon mobile,Chlamydophyridae
Difflugia bacillifera,Arcellinida
Difflugia glans,Arcellinida
Difflugia cylindrus,Arcellinida
Difflugia dujardini,Arcellinida
Difflugia fallax,Arcellinida
Difflugia gigantea,Arcellinida
Difflugia giganteacuminata,Arcellinida
Difflugia lacustris,Arcellinida
Difflugia lanceolata,Arcellinida
Difflugia lebes,Arcellinida
Difflugia lithophila,Arcellinida
Difflugia oblonga,Arcellinida
Difflugia penardii,Arcellinida
Difflugia pyriformis,Arcellinida
Difflugia wailesi,Arcellinida
Euglypha acanthophora,Euglyphida
Euglypha cirrata,Euglyphida
Euglypha bryophila,Euglyphida
Euglypha capsiosa,Euglyphida
Euglypha ciliata,Euglyphida
Euglypha glabra,Euglyphida
Euglypha compressa,Euglyphida
Euglypha cristata,Euglyphida
Euglypha denticulata,Euglyphida
Euglypha filifera,Euglyphida
Euglypha hyalina,Euglyphida
Euglypha laevisgroup,Euglyphida
Euglypha muscorum,Euglyphida
Euglypha penardi,Euglyphida
Euglypha polylepis,Euglyphida
Euglypha rotunda,Euglyphida
Euglypha obliqua,Euglyphida
Euglypha simplex,Euglyphida
Euglypha strigosa,Euglyphida
Euglypha tuberculata,Euglyphida
Frenzelina reniforme,Incertae sedis
Galeripora arenaria,Arcellinida
Galeripora catinus,Arcellinida
Galeripora dentata,Arcellinida
Galeripora discoides,Arcellinida
Galeripora jurassica,Arcellinida
Galeripora scutelliformis,Arcellinida
Gibbocarina galeata,Arcellinida
Gibbocarina gracilis,Arcellinida
Heleopera lucida,Arcellinida
Heleopera petricola,Arcellinida
Heleopera amethystea,Arcellinida
Heleopera sphagni,Arcellinida
Heleopera sylvatica,Arcellinida
Hyalosphenia elegans,Arcellinida
Hyalosphenia insecta,Arcellinida
Hyalosphenia ovalis,Arcellinida
Hyalosphenia papilio,Arcellinida
Hyalosphenia platystoma,Arcellinida
Hyalosphenia punctata,Arcellinida
Lesquereusia modesta,Arcellinida
Lesquereusia spiralis,Arcellinida
Longinebela speciosa,Arcellinida
Longinebela penardiana,Arcellinida
Longinebela speciosa,Arcellinida
Longinebela tubulosa,Arcellinida
Nebela bohemica,Arcellinida
Nebela gimlii,Arcellinida
Nebela guttata,Arcellinida
Nebela collaris,Arcellinida
Nebela guttata,Arcellinida
Nebela rotunda,Arcellinida
Nebela tinctagroup,Arcellinida
Netzelia gramen,Arcellinida
Netzelia lithophila,Arcellinida
Netzelia tuberculata,Arcellinida
Padaungiella nebeloides,Arcellinida
Padaungiella lageniformis,Arcellinida
Padaungiella tubulata,Arcellinida
Padaungiella wailesi,Arcellinida
Paraquadrula irregularis,Arcellinida
Pareuglypha reticulata,Euglyphida
Paulinella chromatophora,Euglyphida
Phryganella acropodia,Arcellinida
Planocarina carinata,Arcellinida
Planocarina marginata,Arcellinida
Pontigulasia elisa,Arcellinida
Pseudonebela rubescens,Arcellinida
Quadrulella longicollis,Arcellinida
Quadrulella quadrigera,Arcellinida
Quadrulella symmetrica,Arcellinida
Sphenoderia fissirostris,Euglyphida
Sphenoderia labiata,Euglyphida
Sphenoderia lenta,Euglyphida
Sphenoderia splendida,Euglyphida
Tracheleuglypha acolla,Euglyphida
Tracheleuglypha dentata,Euglyphida
Trachelocorythion pulchellum,Euglyphida
Trigonopyxis arcula,Arcellinida
Trinema complanatum,Euglyphida
Trinema enchelys,Euglyphida
Trinema lineare,Euglyphida
Wailesella eboracensis,Arcellinida
Zivkovicia compressa,Arcellinida
