NO. SLIDES,3,3,2,1,2,6,1,1,2,1,1,1,2,3,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
NO. OF TAXA,21,27,27,17,27,19,16,16,25,20,12,16,28,25,14,18,24,23,24,20,23,23,23,20,18,30,19,14,15,22,14,18,20,26,13,22,22,22,16,13,24,25,19,30,25,21,11,29,23,25,28,,6,11,14,9,17,5,4,7,6,1,3,9,5,6,6,4,9,13,7,7,6,17,5,8,4,9,1,6,15,7,4,9,9,6,3,13,11,5,3,7,6,5,5,12,10,2,3,3,9,4,10,5,20,1,10,5,2,8,7,12,19,5,14,9,25,8,9,7,16,23,15,17,7,16,15,15,14,17,8,16,18,18,17,9,17,11,10,14,11,15,11,16,7,18,7,15,11,8,4,18,7,4,15,15,16,11,9,26,15,12,7,17,5,23,7,14,4,15,8,15,11,6,4,12,10,14,10,11,4,13,18,17,11,13,9,8,8,16,3,13,5,11,14,16,15,14,8
NO. OF TESTS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,,10,21,28,14,24,5,4,7,6,1,5,9,5,14,6,4,10,15,8,10,6,27,6,12,4,11,1,11,21,9,7,11,9,9,3,22,11,5,3,11,6,8,5,19,10,4,3,3,14,10,11,8,58,1,16,5,2,8,8,17,55,9,38,10,46,13,13,14,56,73,31,38,13,25,27,22,32,23,13,45,32,44,45,16,47,22,47,26,15,23,23,23,7,50,11,31,43,20,13,32,9,4,32,22,30,22,9,42,21,21,19,20,11,51,11,33,5,17,10,24,30,9,5,16,10,17,18,17,6,28,46,59,15,35,20,10,18,30,4,16,6,19,28,83,50,23,11
,VDO A,VDO B,ZKY A,ZKY B,DVO A,DVO B,HLI A,HLI B,RAJ A,RAJ B,KUK A,KUK B,STA A,STA B,HRD A,HRD B,SAF A,HRH A,HRH B,OKL A,OKL B,BAH A,BAH B,PAR A,PAR B,ZLA A,ZLA B,KAM A,KAM B,NAV A,NAV B,BAB A,BAB B,ZEL A,ZEL B,ZHE A,ZHE B,JEN A,JEN B,RAT A,RAT B,SVI B,SVI A,BAZ B,BAZ A,BOR A,BOR B,CHV A,CHV B,LIS A,LIS B,,ZBA A 1,ZBA B 1,KUK A 1,KUK B 1,STA A 1,STA B 1,HOV A 1,HOV B 1,HLI A 1,HLI B 1,DVO A 1,DVO B 1,RAJ A 1,RAJ B 1,HRD A 1,HRD B 1,VDO A 1,BAZ A 1,BAZ B 1,ZHE A 1,ZHE B 1,KAL A 1,KAL B 1,LIS A 1,LIS B 1,BOR A 1,BOR B 1,OKL A 1,OKL B 1,SVI A 1,SVI B 1,CHV A 1,CHV B 1,PAR A 1,PAR B 1,HRH A 1,HRH B 1,RAT A 1,BAH A 1,JEN A 1,JEN B 1,ZLA A 1,ZLA B 1,NAV A 1,KAM A 1,KAM B 1,CER A 1,CER B 1,KOC A 1,BAB A 1,SAF A 1,PAR A 2,RAT A 2,RAT B 2,BAH B 2,JEN A 2,JEN B 2,ZLA A 2,KAM A 2,KAM B 2,CER A 2,CER B 2,BAB A 2,CHV A 2,CHV B 2,SVI A 2,SVI B 2,OKL A 2,OKL B 2,HRH A 2,HRH B 2,BOR A 2,BOR B 2,LIS A 2,LIS B 2,ZHE A 2,BAZ A 2,BAZ B 2,HRD A 2,HRD B 2,STA A 2,STA B 2,KUK A 2,KUK B 2,VDO A 2,VDO B 2,HLI A 2,HLI B 2,DVO A 2,RAJ A 2,RAJ B 2,ZBA A 2,ZBA B 2,PAR A 3,PAR B 3,NAV A 3,NAV B 3,ZLA A 3,ZLA1 B 3,RAT A 3,RAT B 3,BAH A 3,BAH B 3,BAB A 3,BAB B 3,BOR A 3,BOR B 3,CHV A 3,CHV B 3,SAF A 3,SAF B 3,HRH A 3,HRH B 3,KOC A 3,CER A 3,KAM A 3,KAM B 3,SVI A 3,SVI B 3,ZHE A 3,ZHE B 3,BAZ A 3,BAZ B 3,LIS A 3,LIS B 3,HRA A 3,HRA B 3,JEN A 3,JEN B 3,STA A 3,STA B 3,KUK A 3,KUK B 3,VDO A 3,VDO B 3,HLI A 3,HLI B 3,HOV A 3,HOV B 3,DVO A 3,DVO B 3,RAJ A 3,RAJ B 3,ZKY A 3,ZKY B 3,ZBA A 3,ZBA B 3
Alabasta militaris,5,3,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,7,3,,
Arcella conica,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcella costata,1,1,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
Arcella crenulata,3,1,1,,1,,2,1,,,1,1,2,1,9,29,2,1,1,,,,1,2,,1,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,5,,,,,,,,,,,,,,1,
Arcella dentata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcella excavata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Arcella gibbosa,5,4,,,,,,8,,,,14,8,5,,1,,,3,,,,,,,,,,,1,,1,1,,,,,,,,,,,1,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,1,,,1,1,,1,13,8,,7,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,1,3,,,1,,1,,,,,
Arcella hemisphaerica,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,,,,,,,,,,,,,1,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
Arcella mitrata,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcella rotunda,21,14,3,,6,,47,58,,,17,6,1,21,16,11,,,1,,1,,,,,,,1,,,,9,1,6,3,1,,,,,,,,7,6,3,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,1,,,1,1,1,2,1,,2,,4,2,,1,16,1,2,1,32,2,1,,,3,,1,,,,1,,,,,12,,,,,2,,,,1,,,,,1,,2,1,1,1,,1,,1,,,,3,3,7,1,1,,,,4,,1,,,,,,,
Arcella vulgaris,,,,,2,,,1,,,,,18,1,7,,2,5,3,,,1,,2,,5,,6,,,,3,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,1,,,1,1,1,,1,,,1,1,,,1,,1,1,,,,2,,,1,,1,,,,,,,,,,,,1,,,,,,,1,,,3,,,,,,1,,3,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,2,1,,,,,,1,,2,1,,1,,,1,,,,,,,,,
Argynnia dentistoma,,,4,,1,,,1,,1,,,1,,,,,,1,,,,1,,,5,,1,,,,,,,,2,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,1,,,,1,,1,,,,,,,,,,,,,,,1,2,,,,,,,,1,,,1,,,1,
Assulina muscorum,1,4,,,,8,3,3,2,11,3,1,,,1,2,3,17,,,1,3,2,,,,,8,48,,21,1,3,10,24,1,1,2,,10,,,,,,6,7,6,11,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,1,1,1,,,,,,2,,,,,,1,,,
