Locality,,Alabasta militaris,Arcella conica,Arcella costata,Arcella crenulata,Arcella dentata,Arcella excavata,Arcella gibbosa,Arcella hemisphaerica,Arcella mitrata,Arcella rotunda,Arcella vulgaris,Argynnia dentistoma,Assulina muscorum,Assulina seminulum,Awerintzewia cyclostoma,Bullinularia gracilis,Centropyxis aculeata,Centropyxis aerophila,Centropyxis mirabilis,Centropyxis constricta,Centropyxis cryptostoma,Centropyxis discoides,Centropyxis ecornis,Centropyxis lapponica,Centropyxis oblonga,Centropyxis orbicularis,Centropyxis sphagnicola,Centropyxis spinosa,Puytoracia bonneti,Corythion dubium,Corythion gigas,Cryptodifflugia constricta,Cryptodifflugia glabra,Cryptodifflugia oviformis,Cryptodifflugia fusca,Cryptodifflugia sacculus,Cyclopyxis arcelloides,Cyclopyxis eurystoma,Cyclopyxis intermedia,Cyphoderia ampulla,Cyphoderia calceolus,Diaphoropodon mobile,Difflugia bacillifera,Difflugia cylindrus,Difflugia dujardini,Difflugia fallax,Difflugia gigantea,Difflugia giganteacuminata,Difflugia lacustris,Difflugia lanceolata,Difflugia lebes,Difflugia lithophila,Difflugia oblonga,Difflugia penardii,Difflugia pyriformis,Difflugia wailesi,Euglypha acanthophora,Euglypha cirrata,Euglypha bryophila,Euglypha capsiosa,Euglypha ciliata,Euglypha glabra,Euglypha compressa,Euglypha cristata,Euglypha denticulata,Euglypha filifera,Euglypha hyalina,Euglypha laevisgroup,Euglypha muscorum,Euglypha penardi,Euglypha polylepis,Euglypha rotunda,Euglypha obliqua,Euglypha simplex,Euglypha strigosa,Euglypha tuberculata,Frenzelina reniforme,Galeripora arenaria,Galeripora catinus,Galeripora dentata,Galeripora discoides,Galeripora jurassica,Galeripora scutelliformis,Gibbocarina galeata,Gibbocarina gracilis,Heleopera lucida,Heleopera petricola,Heleopera amethystea,Heleopera sphagni,Heleopera sylvatica,Hyalosphenia elegans,Hyalosphenia insecta,Hyalosphenia ovalis,Hyalosphenia papilio,Hyalosphenia platystoma,Hyalosphenia punctata,Lesquereusia modesta,Lesquereusia spiralis,Longinebela speciosa,Longinebela penardiana,Longinebela speciosa,Longinebela tubulosa,Nebela bohemica,Nebela gimlii,Nebela guttata,Nebela collaris,Nebela guttata,Nebela rotunda,Nebela tinctagroup,Netzelia gramen,Netzelia lithophila,Netzelia tuberculata,Padaungiella nebeloides,Padaungiella lageniformis,Padaungiella tubulata,Padaungiella wailesi,Paraquadrula irregularis,Pareuglypha reticulata,Paulinella chromatophora,Phryganella acropodia,Planocarina carinata,Planocarina marginata,Pontigulasia elisa,Pseudonebela rubescens,Quadrulella longicollis,Quadrulella quadrigera,Quadrulella symmetrica,Sphenoderia fissirostris,Sphenoderia labiata,Sphenoderia lenta,Sphenoderia splendida,Tracheleuglypha acolla,Tracheleuglypha dentata,Trachelocorythion pulchellum,Trigonopyxis arcula,Trinema complanatum,Trinema enchelys,Trinema lineare,Wailesella eboracensis,Zivkovicia compressa
BAB A,BBN_A,,,,2,,,1,1,,9,3,,1,,,,,,,,,,2,,,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,3,,,,,15,,,,3,,,17,10,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
BAB B,BBN_B,1,,,,,,1,,,1,,,3,1,,,1,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,,,1,,,1,2,,4,,,,,18,,,,,,,,9,26,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
BAH A,BHN_A,,,,,,,,,,,1,,3,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,2,,,,1,,,,10,,7,2,,,,10,,,,,,,,1,6,,,,,,,,,,,,,,,,,,22,,,4,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,2,3,12,,
BAH B,BHN_B,,,,1,,,,,,,,1,2,,,,,4,,,,,6,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,,,1,1,,8,,,,,,,,,,33,1,,,,,,,,,,,,,1,,,,14,,,,,,,,2,,6,,,,,,,,,,,2,,,,,,1,,,1,1,2,,
BAZ A,BZN_A,,,,,,,,,,6,,,,,,,3,,,4,,,,,,,,,,,2,,,,,,,,,3,,,1,,,1,,,,,,,,,,1,,,,,,,,1,,5,,1,,,,1,,1,3,,,18,,1,3,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,1,,,4,,,,21,11,,
BAZ B,BZN_B,,,,,,,1,,,7,,,,,,,1,1,,4,,,2,,,,,,,1,,,,1,,,,,,4,,,,,,1,,,,,,,,,,1,,,,,,,1,1,,3,,3,,,,5,,4,8,,,,2,,,,,,,1,2,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,7,,,,25,4,,
BOR A,BRK_A,,,,,,,,,,3,,2,6,,,,1,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,50,,,,,,,,2,,4,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,9,,,2,,,,,,,,,,,,,,,,,,,,,3,1,,1,,,,4,1,,
BOR B,BRK_B,2,,,,,,,,,,,,7,,,,,,,,,,,,,1,,,,58,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHV A,CHV_A,1,,,,,,,,,,,,6,1,,,,4,,8,,,1,,,2,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,10,,2,,,1,6,,6,3,,,1,,,,,,,,,,1,,,,1,,14,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,3,,,,1,,,,,6,4,2,,
CHV B,CHV_B,,,,,,,,,,,,,11,,,,,,,,,,,,,1,,,,2,3,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,1,,,1,10,,7,5,,,,1,,,,,,,,,16,1,,,,,2,,,,,,,,1,,,,19,,,3,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,9,,,
DVO A,DVR_A,,,,1,,,,,,6,2,1,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,5,,2,,5,,,,1,,,1,,,,,,1,,,,6,,,,,,1,,,1,,,,3,,,,3,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,6,,,1,,,,5,40,,
